When	WRB	when
means	VBZ	mean
holding	NN	holding
corporations	NNS	corporation
to	TO	to
account	VB	account
for	IN	for
the	DT	the
full	JJ	full
life	NN	life
cycle	NN	cycle
of	IN	of
their	PP$	their
products	NNS	product
and	CC	and
cargo	NN	cargo
—	:	-
from	IN	from
production	NN	production
to	TO	to
transport	VB	transport
to	TO	to
disposal	NN	disposal
—	:	-
and	CC	and
not	RB	not
allowing	VBG	allow
them	PP	them
to	TO	to
walk	VB	walk
away	RP	away
from	IN	from
the	DT	the
harm	NN	harm
they	PP	they
cause	VBP	cause
.	SENT	.
It	PP	it
means	VBZ	mean
recognising	VBG	recognise
that	IN	that
disasters	NNS	disaster
like	IN	like
the	DT	the
X-Press-Pearl	NP	X-Press-Pearl
are	VBP	be
not	RB	not
isolated	VBN	isolate
accidents	NNS	accident
,	,	,
but	CC	but
symptoms	NNS	symptom
of	IN	of
a	DT	a
wider	JJR	wide
system	NN	system
driven	VBN	drive
by	IN	by
unchecked	JJ	unchecked
capitalist	JJ	capitalist
expansion	NN	expansion
and	CC	and
fossil-fuelled	JJ	<unknown>
growth	NN	growth
.	SENT	.
Tashiya	NP	<unknown>
’s	POS	's
work	NN	work
links	VBZ	link
the	DT	the
wreck	NN	wreck
on	IN	on
Sri	NP	Sri
Lanka	NP	Lanka
’s	POS	's
coast	NN	coast
to	TO	to
broader	JJR	broad
climate	NN	climate
and	CC	and
ecological	JJ	ecological
risks	NNS	risk
.	SENT	.
As	IN	as
shipping	NN	shipping
intensifies	VBZ	intensify
,	,	,
storms	NNS	storm
grow	VBP	grow
stronger	JJR	strong
and	CC	and
coastlines	NNS	coastline
become	VBP	become
more	RBR	more
vulnerable	JJ	vulnerable
,	,	,
the	DT	the
likelihood	NN	likelihood
and	CC	and
impact	NN	impact
of	IN	of
similar	JJ	similar
incidents	NNS	incident
only	RB	only
increase	VB	increase
.	SENT	.
Without	IN	without
systemic	JJ	systemic
change	NN	change
,	,	,
communities	NNS	community
like	IN	like
those	DT	those
along	IN	along
Sri	NP	Sri
Lanka	NP	Lanka
’s	POS	's
shore	NN	shore
will	MD	will
continue	VB	continue
to	TO	to
pay	VB	pay
the	DT	the
highest	JJS	high
price	NN	price
for	IN	for
a	DT	a
model	NN	model
of	IN	of
development	NN	development
that	WDT	that
treats	VBZ	treat
oceans	NNS	ocean
and	CC	and
people	NNS	people
as	IN	as
expendable	NN	expendable
.	SENT	.
Her	PP$	her
message	NN	message
,	,	,
grounded	VBN	ground
in	IN	in
the	DT	the
lived	VBN	live
reality	NN	reality
of	IN	of
fishers	NNS	fisher
,	,	,
families	NNS	family
and	CC	and
fragile	JJ	fragile
ecosystems	NNS	ecosystem
,	,	,
is	VBZ	be
a	DT	a
warning	NN	warning
and	CC	and
a	DT	a
call	NN	call
to	TO	to
action	NN	action
:	:	:
stop	VB	stop
plastic	NN	plastic
at	IN	at
the	DT	the
source	NN	source
,	,	,
transform	VB	transform
the	DT	the
economic	JJ	economic
system	NN	system
that	WDT	that
fuels	VBZ	fuel
these	DT	these
crises	NNS	crisis
,	,	,
and	CC	and
confront	VB	confront
the	DT	the
intertwined	VBN	intertwine
threats	NNS	threat
of	IN	of
capitalism	NN	capitalism
and	CC	and
climate	NN	climate
breakdown	NN	breakdown
to	TO	to
prevent	VB	prevent
future	JJ	future
disasters	NNS	disaster
from	IN	from
repeating	VBG	repeat
the	DT	the
story	NN	story
of	IN	of
the	DT	the
X-Press-Pearl	NP	X-Press-Pearl
.	SENT	.
