Fifty	CD	fifty
chance	NN	chance
.	SENT	.
Persistent	JJ	persistent
campaigning	NN	campaigning
has	VBZ	have
played	VBN	play
a	DT	a
role	NN	role
in	IN	in
halting	VBG	halt
nuclear	JJ	nuclear
testing	NN	testing
,	,	,
pushing	VBG	push
governments	NNS	government
to	TO	to
recognize	VB	recognize
that	IN	that
poisoning	VBG	poison
the	DT	the
planet	NN	planet
and	CC	and
future	JJ	future
generations	NNS	generation
is	VBZ	be
never	RB	never
an	DT	an
acceptable	JJ	acceptable
price	NN	price
for	IN	for
power	NN	power
.	SENT	.
Global	JJ	global
pressure	NN	pressure
has	VBZ	have
also	RB	also
helped	VBN	help
safeguard	NN	safeguard
entire	JJ	entire
regions	NNS	region
.	SENT	.
The	DT	the
Antarctic	NP	Antarctic
Treaty	NP	Treaty
system	NN	system
has	VBZ	have
been	VBN	be
strengthened	VBN	strengthen
to	TO	to
protect	VB	protect
the	DT	the
last	JJ	last
great	JJ	great
wilderness	NN	wilderness
on	IN	on
Earth	NP	Earth
,	,	,
recognizing	VBG	recognize
that	IN	that
some	DT	some
places	NNS	place
must	MD	must
remain	VB	remain
off-limits	JJ	off-limits
to	TO	to
exploitation	NN	exploitation
.	SENT	.
Efforts	NNS	effort
to	TO	to
stop	VB	stop
the	DT	the
dumping	VBG	dump
of	IN	of
waste	NN	waste
at	IN	at
sea	NN	sea
have	VBP	have
led	VBN	lead
to	TO	to
bans	NNS	ban
that	WDT	that
protect	VBP	protect
oceans	NNS	ocean
from	IN	from
becoming	VBG	become
sacrifice	NN	sacrifice
zones	NNS	zone
for	IN	for
toxic	JJ	toxic
materials	NNS	material
and	CC	and
industrial	JJ	industrial
byproducts	NNS	byproduct
.	SENT	.
These	DT	these
victories	NNS	victory
matter	NN	matter
,	,	,
but	CC	but
they	PP	they
exist	VBP	exist
alongside	IN	alongside
escalating	VBG	escalate
crises	NNS	crisis
.	SENT	.
Climate	NN	climate
change	NN	change
is	VBZ	be
accelerating	VBG	accelerate
,	,	,
and	CC	and
biodiversity	NN	biodiversity
is	VBZ	be
collapsing	VBG	collapse
at	IN	at
a	DT	a
pace	NN	pace
that	IN	that
scientists	NNS	scientist
warn	VBP	warn
could	MD	could
unravel	VB	unravel
the	DT	the
very	JJ	very
systems	NNS	system
that	WDT	that
sustain	VBP	sustain
life	NN	life
.	SENT	.
These	DT	these
emergencies	NNS	emergency
are	VBP	be
not	RB	not
accidents	NNS	accident
;	:	;
they	PP	they
are	VBP	be
enabled	VBN	enable
by	IN	by
economic	JJ	economic
and	CC	and
political	JJ	political
structures	NNS	structure
that	WDT	that
prioritize	VBP	<unknown>
profit	NN	profit
over	IN	over
people	NNS	people
and	CC	and
planet	NN	planet
,	,	,
treating	VBG	treat
nature	NN	nature
as	IN	as
an	DT	an
endless	JJ	endless
resource	NN	resource
and	CC	and
a	DT	a
bottomless	JJ	bottomless
sink	NN	sink
for	IN	for
pollution	NN	pollution
.	SENT	.
Confronting	VBG	confront
this	DT	this
reality	NN	reality
demands	VBZ	demand
more	RBR	more
than	IN	than
small	JJ	small
adjustments	NNS	adjustment
.	SENT	.
It	PP	it
calls	VBZ	call
for	IN	for
transforming	VBG	transform
the	DT	the
systems	NNS	system
that	WDT	that
drive	VBP	drive
environmental	JJ	environmental
destruction	NN	destruction
and	CC	and
inequality	NN	inequality
,	,	,
and	CC	and
for	IN	for
doing	VBG	do
so	RB	so
at	IN	at
a	DT	a
speed	NN	speed
and	CC	and
scale	VB	scale
the	DT	the
world	NN	world
has	VBZ	have
never	RB	never
seen	VBN	see
.	SENT	.
That	DT	that
means	VBZ	mean
unprecedented	JJ	unprecedented
unity	NN	unity
and	CC	and
action	NN	action
:	:	:
people	NNS	people
coming	VBG	come
together	RB	together
across	IN	across
movements	NNS	movement
,	,	,
borders	NNS	border
,	,	,
and	CC	and
identities	NNS	identity
to	TO	to
demand	VB	demand
change	NN	change
and	CC	and
to	TO	to
build	VB	build
it	PP	it
in	IN	in
their	PP$	their
communities	NNS	community
.	SENT	.
The	DT	the
story	NN	story
that	WDT	that
began	VBD	begin
with	IN	with
a	DT	a
single	JJ	single
boat	NN	boat
heading	VBG	head
toward	IN	toward
a	DT	a
nuclear	JJ	nuclear
test	NN	test
site	NN	site
offers	VBZ	offer
a	DT	a
reason	NN	reason
for	IN	for
hope	NN	hope
.	SENT	.
Time	NN	time
and	CC	and
again	RB	again
,	,	,
people-powered	JJ	<unknown>
movements	NNS	movement
have	VBP	have
turned	VBN	turn
what	WP	what
seemed	VBD	seem
impossible	JJ	impossible
into	IN	into
reality	NN	reality
.	SENT	.
From	IN	from
stopping	VBG	stop
bombs	NNS	bomb
to	TO	to
saving	NN	saving
whales	NNS	whale
,	,	,
from	IN	from
defending	VBG	defend
Antarctica	NP	Antarctica
to	TO	to
keeping	VBG	keep
waste	NN	waste
out	RP	out
of	IN	of
the	DT	the
oceans	NNS	ocean
,	,	,
collective	JJ	collective
action	NN	action
has	VBZ	have
shifted	VBN	shift
the	DT	the
course	NN	course
of	IN	of
history	NN	history
.	SENT	.
Today	NN	today
,	,	,
that	DT	that
same	JJ	same
spirit	NN	spirit
is	VBZ	be
urgently	RB	urgently
needed	VBN	need
.	SENT	.
The	DT	the
crises	NNS	crisis
we	PP	we
face	VBP	face
are	VBP	be
immense	JJ	immense
,	,	,
but	CC	but
so	RB	so
is	VBZ	be
our	PP$	our
capacity	NN	capacity
to	TO	to
respond	VB	respond
when	WRB	when
we	PP	we
act	VBP	act
together	RB	together
.	SENT	.
Drawing	VBG	draw
strength	NN	strength
from	IN	from
the	DT	the
courage	NN	courage
of	IN	of
those	DT	those
who	WP	who
came	VBD	come
before	IN	before
,	,	,
and	CC	and
from	IN	from
the	DT	the
victories	NNS	victory
already	RB	already
won	VBD	win
,	,	,
we	PP	we
can	MD	can
insist	VB	insist
on	IN	on
a	DT	a
different	JJ	different
path	NN	path
:	:	:
one	CD	one
that	WDT	that
puts	VBZ	put
life	NN	life
before	IN	before
profit	NN	profit
and	CC	and
demands	VBZ	demand
a	DT	a
green	JJ	green
,	,	,
peaceful	JJ	peaceful
future	NN	future
for	IN	for
everyone	NN	everyone
.	SENT	.
