When	WRB	when
are	VBP	be
essential	JJ	essential
to	TO	to
Indigenous	JJ	indigenous
cultural	JJ	cultural
and	CC	and
spiritual	JJ	spiritual
life	NN	life
.	SENT	.
Amid	IN	amid
this	DT	this
mourning	NN	mourning
,	,	,
the	DT	the
women	NNS	woman
continued	VBD	continue
their	PP$	their
work	NN	work
,	,	,
driven	VBN	drive
by	IN	by
the	DT	the
urgency	NN	urgency
to	TO	to
protect	VB	protect
their	PP$	their
peoples	NNS	people
.	SENT	.
Alongside	IN	alongside
the	DT	the
use	NN	use
of	IN	of
masks	NNS	mask
,	,	,
communities	NNS	community
have	VBP	have
also	RB	also
turned	VBN	turn
to	TO	to
traditional	JJ	traditional
medicines	NNS	medicine
,	,	,
drawing	VBG	draw
on	IN	on
ancestral	JJ	ancestral
knowledge	NN	knowledge
to	TO	to
care	VB	care
for	IN	for
the	DT	the
sick	JJ	sick
and	CC	and
strengthen	VB	strengthen
health	NN	health
.	SENT	.
For	IN	for
Elizângela	NP	<unknown>
,	,	,
Janete	NP	<unknown>
,	,	,
and	CC	and
the	DT	the
artisans	NNS	artisan
involved	VBN	involve
,	,	,
each	DT	each
mask	NN	mask
sewn	VBN	sew
is	VBZ	be
an	DT	an
act	NN	act
of	IN	of
resistance	NN	resistance
and	CC	and
love	NN	love
,	,	,
a	DT	a
way	NN	way
to	TO	to
honor	VB	honor
those	DT	those
who	WP	who
have	VBP	have
been	VBN	be
lost	VBN	lose
and	CC	and
to	TO	to
safeguard	VB	safeguard
the	DT	the
lives	NNS	life
and	CC	and
cultures	NNS	culture
of	IN	of
the	DT	the
peoples	NNS	people
of	IN	of
the	DT	the
Rio	NP	Rio
Negro	NP	Negro
.	SENT	.
