Earth	NP	Earth
means	VBZ	mean
challenging	VBG	challenge
the	DT	the
power	NN	power
of	IN	of
polluting	VBG	pollute
industries	NNS	industry
and	CC	and
rejecting	VBG	reject
the	DT	the
idea	NN	idea
that	IN	that
economic	JJ	economic
growth	NN	growth
must	MD	must
come	VB	come
at	IN	at
the	DT	the
expense	NN	expense
of	IN	of
the	DT	the
living	VBG	live
world	NN	world
.	SENT	.
A	DT	a
crucial	JJ	crucial
step	NN	step
is	VBZ	be
to	TO	to
secure	VB	secure
strong	JJ	strong
protections	NNS	protection
for	IN	for
nature	NN	nature
on	IN	on
a	DT	a
global	JJ	global
scale	NN	scale
.	SENT	.
Safeguarding	VBG	safeguard
at	IN	at
least	JJS	least
30	CD	@card@
%	NN	%
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
lands	NNS	land
and	CC	and
oceans	NNS	ocean
by	IN	by
2030	CD	@card@
is	VBZ	be
a	DT	a
key	JJ	key
milestone	NN	milestone
.	SENT	.
But	CC	but
protection	NN	protection
on	IN	on
paper	NN	paper
is	VBZ	be
not	RB	not
enough	JJ	enough
.	SENT	.
These	DT	these
efforts	NNS	effort
must	MD	must
be	VB	be
built	VBN	build
in	IN	in
genuine	JJ	genuine
partnership	NN	partnership
with	IN	with
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
and	CC	and
local	JJ	local
communities	NNS	community
,	,	,
whose	WP$	whose
knowledge	NN	knowledge
,	,	,
stewardship	NN	stewardship
and	CC	and
rights	NNS	right
are	VBP	be
essential	JJ	essential
to	TO	to
keeping	VBG	keep
ecosystems	NNS	ecosystem
healthy	JJ	healthy
and	CC	and
resilient	JJ	resilient
.	SENT	.
Where	WRB	where
Indigenous	JJ	indigenous
rights	NNS	right
are	VBP	be
respected	VBN	respect
and	CC	and
their	PP$	their
leadership	NN	leadership
recognized	VBD	recognize
,	,	,
biodiversity	NN	biodiversity
tends	VBZ	tend
to	TO	to
thrive	VB	thrive
.	SENT	.
Ambitious	JJ	ambitious
global	JJ	global
agreements	NNS	agreement
are	VBP	be
central	JJ	central
to	TO	to
this	DT	this
transformation	NN	transformation
.	SENT	.
International	NP	International
processes	VBZ	process
such	JJ	such
as	IN	as
the	DT	the
Convention	NN	convention
on	IN	on
Biological	JJ	biological
Diversity	NN	diversity
’s	POS	's
COP15	NP	<unknown>
are	VBP	be
critical	JJ	critical
opportunities	NNS	opportunity
to	TO	to
commit	VB	commit
to	TO	to
real	JJ	real
action	NN	action
that	WDT	that
can	MD	can
restore	VB	restore
balance	NN	balance
between	IN	between
human	JJ	human
societies	NNS	society
and	CC	and
the	DT	the
rest	NN	rest
of	IN	of
the	DT	the
living	VBG	live
world	NN	world
.	SENT	.
These	DT	these
agreements	NNS	agreement
must	MD	must
go	VB	go
beyond	IN	beyond
vague	JJ	vague
promises	NNS	promise
and	CC	and
set	VBN	set
clear	JJ	clear
,	,	,
enforceable	JJ	enforceable
targets	NNS	target
to	TO	to
halt	VB	halt
biodiversity	NN	biodiversity
loss	NN	loss
,	,	,
phase	NN	phase
out	IN	out
destructive	JJ	destructive
practices	NNS	practice
,	,	,
and	CC	and
channel	NN	channel
resources	NNS	resource
into	IN	into
restoration	NN	restoration
and	CC	and
community-led	JJ	<unknown>
protection	NN	protection
.	SENT	.
The	DT	the
collapse	NN	collapse
of	IN	of
biodiversity	NN	biodiversity
is	VBZ	be
a	DT	a
warning	NN	warning
that	IN	that
the	DT	the
way	NN	way
we	PP	we
live	VBP	live
is	VBZ	be
out	RP	out
of	IN	of
balance	NN	balance
with	IN	with
the	DT	the
planet	NN	planet
that	WDT	that
sustains	VBZ	sustain
us	PP	us
.	SENT	.
Choosing	VBG	choose
a	DT	a
different	JJ	different
path	NN	path
–	:	-
one	CD	one
that	WDT	that
values	VBZ	value
nature	NN	nature
for	IN	for
all	DT	all
it	PP	it
gives	VBZ	give
us	PP	us
and	CC	and
respects	VBZ	respect
the	DT	the
communities	NNS	community
who	WP	who
defend	VBP	defend
it	PP	it
–	:	-
is	VBZ	be
not	RB	not
just	RB	just
about	IN	about
saving	VBG	save
species	NNS	specie
.	SENT	.
It	PP	it
is	VBZ	be
about	RB	about
securing	VBG	secure
a	DT	a
livable	JJ	livable
,	,	,
resilient	JJ	resilient
future	NN	future
for	IN	for
everyone	NN	everyone
.	SENT	.
