International	NP	International
demanding	VBG	demand
that	IN	that
polluters	NNS	polluter
pay	VBP	pay
,	,	,
and	CC	and
insisting	VBG	insist
on	IN	on
a	DT	a
just	JJ	just
transition	NN	transition
that	WDT	that
protects	VBZ	protect
people	NNS	people
as	RB	as
well	RB	well
as	IN	as
the	DT	the
planet	NN	planet
,	,	,
we	PP	we
can	MD	can
build	VB	build
an	DT	an
economy	NN	economy
that	WDT	that
honours	VBZ	honour
the	DT	the
legacy	NN	legacy
of	IN	of
past	JJ	past
struggles	NNS	struggle
and	CC	and
creates	VBZ	create
new	JJ	new
possibilities	NNS	possibility
for	IN	for
generations	NNS	generation
to	TO	to
come	VB	come
.	SENT	.
