Fifty	CD	fifty
brittle	JJ	brittle
.	SENT	.
To	TO	to
avoid	VB	avoid
that	DT	that
trap	NN	trap
,	,	,
we	PP	we
need	VBP	need
a	DT	a
deep	JJ	deep
diversity	NN	diversity
of	IN	of
ideas	NNS	idea
.	SENT	.
Not	RB	not
just	RB	just
demographic	JJ	demographic
diversity—though	NN	diversity—though
that	IN	that
matters—but	NN	<unknown>
diversity	NN	diversity
of	IN	of
perspectives	NNS	perspective
,	,	,
disciplines	NNS	discipline
,	,	,
and	CC	and
worldviews	NNS	worldview
.	SENT	.
When	WRB	when
people	NNS	people
from	IN	from
different	JJ	different
backgrounds	NNS	background
and	CC	and
with	IN	with
different	JJ	different
experiences	NNS	experience
are	VBP	be
truly	RB	truly
included	VBN	include
,	,	,
creativity	NN	creativity
flourishes	NNS	flourish
.	SENT	.
New	JJ	new
solutions	NNS	solution
emerge	VBP	emerge
.	SENT	.
Old	JJ	old
assumptions	NNS	assumption
are	VBP	be
challenged	VBN	challenge
.	SENT	.
Movements	NNS	movement
become	VBP	become
more	RBR	more
resilient	JJ	resilient
.	SENT	.
Deep	JJ	deep
ecology	NN	ecology
offers	VBZ	offer
another	DT	another
essential	JJ	essential
lens	NN	lens
.	SENT	.
Rather	RB	rather
than	IN	than
seeing	VBG	see
nature	NN	nature
as	IN	as
a	DT	a
backdrop	NN	backdrop
or	CC	or
a	DT	a
resource	NN	resource
bank	NN	bank
,	,	,
deep	JJ	deep
ecology	NN	ecology
asks	VBZ	ask
us	PP	us
to	TO	to
study	VB	study
how	WRB	how
nature	NN	nature
actually	RB	actually
works—and	NN	<unknown>
to	TO	to
recognize	VB	recognize
that	IN	that
we	PP	we
are	VBP	be
part	NN	part
of	IN	of
these	DT	these
living	VBG	live
systems	NNS	system
,	,	,
not	RB	not
outside	IN	outside
them	PP	them
.	SENT	.
Forests	NNS	forest
,	,	,
oceans	NNS	ocean
,	,	,
soil	NN	soil
,	,	,
and	CC	and
climate	NN	climate
are	VBP	be
not	RB	not
separate	JJ	separate
issues	NNS	issue
;	:	;
they	PP	they
are	VBP	be
intertwined	VBN	intertwine
expressions	NNS	expression
of	IN	of
a	DT	a
single	JJ	single
,	,	,
complex	JJ	complex
Earth	NN	earth
community	NN	community
.	SENT	.
Understanding	VBG	understand
that	DT	that
complexity	NN	complexity
helps	VBZ	help
us	PP	us
see	VB	see
why	WRB	why
quick	JJ	quick
technological	JJ	technological
fixes	NNS	fix
or	CC	or
isolated	JJ	isolated
policies	NNS	policy
are	VBP	be
never	RB	never
enough	RB	enough
on	IN	on
their	PP$	their
own	JJ	own
.	SENT	.
From	IN	from
that	DT	that
perspective	NN	perspective
,	,	,
solutions	NNS	solution
naturally	RB	naturally
begin	VBP	begin
to	TO	to
localize	VB	localize
.	SENT	.
Real	JJ	real
change	NN	change
takes	VBZ	take
root	NN	root
in	IN	in
communities	NNS	community
that	WDT	that
understand	VBP	understand
their	PP$	their
own	JJ	own
ecosystems—their	NN	<unknown>
watersheds	NNS	watershed
,	,	,
soils	NNS	soil
,	,	,
food	NN	food
systems	NNS	system
,	,	,
and	CC	and
social	JJ	social
networks	NNS	network
.	SENT	.
Local	JJ	local
self-reliance	NN	self-reliance
is	VBZ	be
not	RB	not
isolationism	NN	isolationism
;	:	;
it	PP	it
’s	VBZ	be
about	RB	about
building	VBG	build
the	DT	the
capacity	NN	capacity
to	TO	to
meet	VB	meet
basic	JJ	basic
needs	NNS	need
close	JJ	close
to	TO	to
home	NN	home
,	,	,
with	IN	with
respect	NN	respect
for	IN	for
local	JJ	local
conditions	NNS	condition
and	CC	and
limits	NNS	limit
.	SENT	.
When	WRB	when
communities	NNS	community
organize	VB	organize
around	RP	around
their	PP$	their
own	JJ	own
places	NNS	place
,	,	,
they	PP	they
become	VBP	become
less	RBR	less
vulnerable	JJ	vulnerable
to	TO	to
distant	JJ	distant
shocks	NNS	shock
and	CC	and
more	RBR	more
able	JJ	able
to	TO	to
care	VB	care
for	IN	for
each	DT	each
other	JJ	other
and	CC	and
their	PP$	their
environments	NNS	environment
.	SENT	.
This	DT	this
local	JJ	local
focus	NN	focus
is	VBZ	be
especially	RB	especially
important	JJ	important
when	WRB	when
confronting	VBG	confront
overshoot—the	NNS	<unknown>
deeper	JJR	deep
crisis	NN	crisis
beneath	IN	beneath
climate	NN	climate
change	NN	change
.	SENT	.
Overshoot	VB	overshoot
means	NNS	mean
we	PP	we
are	VBP	be
consuming	VBG	consume
more	JJR	more
energy	NN	energy
and	CC	and
materials	NNS	material
than	IN	than
Earth	NP	Earth
can	MD	can
regenerate	VB	regenerate
,	,	,
year	NN	year
after	IN	after
year	NN	year
.	SENT	.
Climate	NN	climate
disruption	NN	disruption
is	VBZ	be
one	CD	one
symptom	NN	symptom
of	IN	of
that	DT	that
deeper	JJR	deep
imbalance	NN	imbalance
.	SENT	.
Addressing	VBG	address
overshoot	VBP	overshoot
requires	VBZ	require
more	RBR	more
than	IN	than
cleaner	JJR	clean
energy	NN	energy
;	:	;
it	PP	it
requires	VBZ	require
less	JJR	less
consumption	NN	consumption
.	SENT	.
That	DT	that
’s	VBZ	be
a	DT	a
hard	JJ	hard
message	NN	message
in	IN	in
consumer	NN	consumer
societies	NNS	society
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
unavoidable	JJ	unavoidable
.	SENT	.
Any	DT	any
honest	JJ	honest
path	NN	path
forward	RB	forward
will	MD	will
involve	VB	involve
learning	VBG	learn
to	TO	to
live	VB	live
with	IN	with
fewer	JJR	few
material	NN	material
goods	NNS	good
and	CC	and
less	JJR	less
waste	NN	waste
,	,	,
while	IN	while
strengthening	VBG	strengthen
what	WP	what
actually	RB	actually
makes	VBZ	make
life	NN	life
meaningful	JJ	meaningful
:	:	:
relationships	NNS	relationship
,	,	,
creativity	NN	creativity
,	,	,
health	NN	health
,	,	,
and	CC	and
community	NN	community
.	SENT	.
Communication	NP	Communication
,	,	,
in	IN	in
this	DT	this
context	NN	context
,	,	,
is	VBZ	be
not	RB	not
just	RB	just
about	IN	about
sharing	VBG	share
facts	NNS	fact
.	SENT	.
It	PP	it
’s	VBZ	be
about	IN	about
stories	NNS	story
.	SENT	.
Our	PP$	our
cultures	NNS	culture
are	VBP	be
shaped	VBN	shape
by	IN	by
powerful	JJ	powerful
myths	NNS	myth
:	:	:
endless	JJ	endless
growth	NN	growth
,	,	,
human	JJ	human
dominance	NN	dominance
over	IN	over
nature	NN	nature
,	,	,
the	DT	the
idea	NN	idea
that	IN	that
technology	NN	technology
alone	RB	alone
will	MD	will
save	VB	save
us	PP	us
.	SENT	.
Effective	JJ	effective
activism	NN	activism
uses	VBZ	use
narrative	JJ	narrative
to	TO	to
gently	RB	gently
but	CC	but
firmly	RB	firmly
disrupt	VB	disrupt
these	DT	these
myths	NNS	myth
and	CC	and
to	TO	to
offer	VB	offer
new	JJ	new
ones—stories	NNS	ones—story
of	IN	of
interdependence	NN	interdependence
,	,	,
limits	NNS	limit
,	,	,
care	NN	care
,	,	,
and	CC	and
shared	JJ	shared
responsibility	NN	responsibility
.	SENT	.
When	WRB	when
people	NNS	people
can	MD	can
see	VB	see
themselves	PP	themselves
inside	IN	inside
a	DT	a
different	JJ	different
story	NN	story
,	,	,
change	NN	change
becomes	VBZ	become
imaginable	JJ	imaginable
.	SENT	.
None	NN	none
of	IN	of
this	DT	this
is	VBZ	be
purely	RB	purely
external	JJ	external
work	NN	work
.	SENT	.
Personal	JJ	personal
growth	NN	growth
is	VBZ	be
part	NN	part
of	IN	of
organizing	VBG	organize
.	SENT	.
Self-examination	NN	self-examination
helps	VBZ	help
us	PP	us
notice	VB	notice
where	WRB	where
our	PP$	our
own	JJ	own
egos	NNS	ego
get	VBP	get
in	IN	in
the	DT	the
way—when	NN	<unknown>
we	PP	we
cling	VBP	cling
to	TO	to
being	JJ	being
right	NN	right
,	,	,
to	TO	to
being	VBG	be
praised	VBN	praise
,	,	,
or	CC	or
to	TO	to
being	VBG	be
in	IN	in
control	NN	control
.	SENT	.
Quieting	VBG	quiet
the	DT	the
ego	NN	ego
does	VBZ	do
n’t	RB	n't
mean	VB	mean
becoming	VBG	become
passive	JJ	passive
;	:	;
it	PP	it
means	VBZ	mean
acting	VBG	act
from	IN	from
a	DT	a
deeper	JJR	deep
place	NN	place
than	IN	than
vanity	NN	vanity
or	CC	or
fear	NN	fear
.	SENT	.
Movements	NNS	movement
rooted	VBN	root
in	IN	in
that	DT	that
kind	NN	kind
of	IN	of
humility	NN	humility
are	VBP	be
harder	JJR	hard
to	TO	to
divide	VB	divide
,	,	,
co-opt	VB	co-opt
,	,	,
or	CC	or
discourage	VB	discourage
.	SENT	.
“	``	"
Be	VB	be
organized	VBN	organize
”	''	"
then	RB	then
becomes	VBZ	become
a	DT	a
much	RB	much
broader	JJR	broad
invitation	NN	invitation
.	SENT	.
Organize	VB	organize
your	PP$	your
research	NN	research
so	IN	so
you	PP	you
are	VBP	be
always	RB	always
learning	VBG	learn
.	SENT	.
Organize	VB	organize
your	PP$	your
community	NN	community
so	IN	so
many	JJ	many
voices	NNS	voice
can	MD	can
contribute	VB	contribute
.	SENT	.
Organize	VB	organize
your	PP$	your
understanding	NN	understanding
of	IN	of
nature	NN	nature
so	IN	so
your	PP$	your
actions	NNS	action
align	VBP	align
with	IN	with
how	WRB	how
life	NN	life
actually	RB	actually
functions	VBZ	function
.	SENT	.
Organize	VB	organize
your	PP$	your
consumption	NN	consumption
so	IN	so
it	PP	it
respects	VBZ	respect
planetary	JJ	planetary
limits	NNS	limit
.	SENT	.
Organize	VB	organize
your	PP$	your
stories	NNS	story
so	IN	so
they	PP	they
challenge	VBP	challenge
destructive	JJ	destructive
myths	NNS	myth
.	SENT	.
And	CC	and
organize	VB	organize
your	PP$	your
inner	JJ	inner
life	NN	life
so	IN	so
your	PP$	your
actions	NNS	action
grow	VBP	grow
from	IN	from
clarity	NN	clarity
rather	RB	rather
than	IN	than
ego	NN	ego
.	SENT	.
Half	PDT	half
a	DT	a
century	NN	century
of	IN	of
activism	NN	activism
suggests	VBZ	suggest
that	IN	that
when	WRB	when
these	DT	these
layers	NNS	layer
come	VBP	come
together—truth-seeking	JJ	<unknown>
,	,	,
deep	JJ	deep
diversity	NN	diversity
,	,	,
ecology	NN	ecology
,	,	,
localization	NN	localization
,	,	,
reduced	VBN	reduce
consumption	NN	consumption
,	,	,
narrative	NN	narrative
,	,	,
and	CC	and
inner	JJ	inner
work—our	NN	<unknown>
movements	NNS	movement
become	VBP	become
not	RB	not
just	RB	just
louder	JJR	loud
,	,	,
but	CC	but
wiser	JJR	wise
.	SENT	.
And	CC	and
wisdom	NN	wisdom
is	VBZ	be
what	WP	what
this	DT	this
moment	NN	moment
demands	NNS	demand
.	SENT	.
