“	``	"
If	IN	if
we	PP	we
always	RB	always
do	VBP	do
what	WP	what
we	PP	we
always	RB	always
did	VBD	do
,	,	,
we	PP	we
will	MD	will
always	RB	always
get	VB	get
what	WP	what
we	PP	we
always	RB	always
got	VBD	get
.	SENT	.
”	''	"
in	IN	in
its	PP$	its
benefits	NNS	benefit
.	SENT	.
It	PP	it
means	VBZ	mean
communities	NNS	community
having	VBG	have
a	DT	a
real	JJ	real
say	NN	say
in	IN	in
decisions	NNS	decision
that	WDT	that
affect	VBP	affect
their	PP$	their
lives	NNS	life
,	,	,
from	IN	from
local	JJ	local
energy	NN	energy
systems	NNS	system
to	TO	to
food	NN	food
production	NN	production
and	CC	and
housing	NN	housing
.	SENT	.
Sharing	NN	sharing
is	VBZ	be
central	JJ	central
to	TO	to
this	DT	this
vision	NN	vision
.	SENT	.
Instead	RB	instead
of	IN	of
concentrating	VBG	concentrate
ownership	NN	ownership
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
a	DT	a
few	JJ	few
,	,	,
resources	NNS	resource
can	MD	can
be	VB	be
shared	VBN	share
through	IN	through
cooperatives	NNS	cooperative
and	CC	and
other	JJ	other
democratic	JJ	democratic
models	NNS	model
.	SENT	.
New	JJ	new
technologies	NNS	technology
,	,	,
including	VBG	include
tools	NNS	tool
like	IN	like
Blockchain	NP	Blockchain
,	,	,
can	MD	can
help	VB	help
build	VB	build
transparent	JJ	transparent
,	,	,
accountable	JJ	accountable
systems	NNS	system
where	WRB	where
people	NNS	people
collectively	RB	collectively
own	VBP	own
and	CC	and
manage	VBP	manage
the	DT	the
infrastructure	NN	infrastructure
they	PP	they
depend	VBP	depend
on	IN	on
.	SENT	.
When	WRB	when
sharing	NN	sharing
is	VBZ	be
genuine—rooted	VBN	genuine—root
in	IN	in
cooperation	NN	cooperation
,	,	,
not	RB	not
extraction—it	NN	<unknown>
can	MD	can
reduce	VB	reduce
waste	NN	waste
,	,	,
cut	NN	cut
emissions	NNS	emission
,	,	,
and	CC	and
strengthen	VB	strengthen
communities	NNS	community
.	SENT	.
But	CC	but
sharing	VBG	share
only	JJ	only
works	NNS	work
if	IN	if
we	PP	we
also	RB	also
challenge	VBP	challenge
the	DT	the
culture	NN	culture
of	IN	of
endless	JJ	endless
consumerism	NN	consumerism
.	SENT	.
A	DT	a
livable	JJ	livable
future	NN	future
depends	VBZ	depend
on	IN	on
valuing	VBG	value
experiences	NNS	experience
,	,	,
relationships	NNS	relationship
,	,	,
and	CC	and
wellbeing	NN	wellbeing
over	IN	over
the	DT	the
relentless	JJ	relentless
drive	NN	drive
to	TO	to
buy	VB	buy
more	JJR	more
stuff	NN	stuff
.	SENT	.
When	WRB	when
success	NN	success
is	VBZ	be
measured	VBN	measure
in	IN	in
connection	NN	connection
,	,	,
creativity	NN	creativity
,	,	,
and	CC	and
health	NN	health
rather	RB	rather
than	IN	than
in	IN	in
how	WRB	how
much	RB	much
we	PP	we
consume	VBP	consume
,	,	,
the	DT	the
pressure	NN	pressure
on	IN	on
ecosystems	NNS	ecosystem
eases—and	VBP	<unknown>
our	PP$	our
lives	NNS	life
can	MD	can
become	VB	become
richer	JJR	rich
in	IN	in
ways	NNS	way
that	WDT	that
do	VBP	do
n’t	RB	n't
cost	VB	cost
the	DT	the
Earth	NN	earth
.	SENT	.
Sustainability	NN	sustainability
in	IN	in
this	DT	this
new	JJ	new
economy	NN	economy
must	MD	must
be	VB	be
real	JJ	real
,	,	,
not	RB	not
a	DT	a
marketing	NN	marketing
slogan	NN	slogan
.	SENT	.
That	DT	that
means	VBZ	mean
regeneration	NN	regeneration
instead	RB	instead
of	IN	of
depletion	NN	depletion
:	:	:
restoring	VBG	restore
forests	NNS	forest
,	,	,
soils	NNS	soil
,	,	,
oceans	NNS	ocean
,	,	,
and	CC	and
biodiversity	NN	biodiversity
rather	RB	rather
than	IN	than
treating	VBG	treat
them	PP	them
as	RB	as
expendable	JJ	expendable
.	SENT	.
It	PP	it
means	VBZ	mean
designing	VBG	design
products	NNS	product
and	CC	and
systems	NNS	system
to	TO	to
eliminate	VB	eliminate
waste	NN	waste
wherever	WRB	wherever
possible	JJ	possible
,	,	,
reusing	VBG	reuse
and	CC	and
repairing	VBG	repair
rather	RB	rather
than	IN	than
throwing	VBG	throw
away	RP	away
.	SENT	.
Genuine	JJ	genuine
sustainability	NN	sustainability
also	RB	also
demands	VBZ	demand
that	IN	that
we	PP	we
look	VBP	look
at	IN	at
the	DT	the
full	JJ	full
life	NN	life
cycle	NN	cycle
of	IN	of
what	WP	what
we	PP	we
produce	VBP	produce
and	CC	and
consume	VBP	consume
,	,	,
and	CC	and
choose	VB	choose
pathways	NNS	pathway
that	WDT	that
respect	VBP	respect
planetary	JJ	planetary
boundaries	NNS	boundary
.	SENT	.
To	TO	to
make	VB	make
this	DT	this
shift	NN	shift
,	,	,
we	PP	we
have	VBP	have
to	TO	to
accept	VB	accept
that	DT	that
economic	JJ	economic
activity	NN	activity
itself	PP	itself
must	MD	must
have	VB	have
limits	NNS	limit
.	SENT	.
Regulations	NNS	regulation
,	,	,
fair	JJ	fair
trade	NN	trade
rules	NNS	rule
,	,	,
and	CC	and
clear	JJ	clear
standards	NNS	standard
can	MD	can
curb	VB	curb
the	DT	the
most	RBS	most
destructive	JJ	destructive
practices	NNS	practice
and	CC	and
ensure	VB	ensure
that	DT	that
trade	NN	trade
supports	VBZ	support
people	NNS	people
and	CC	and
ecosystems	NNS	ecosystem
instead	RB	instead
of	IN	of
undermining	VBG	undermine
them	PP	them
.	SENT	.
Limiting	VBG	limit
harmful	JJ	harmful
activity	NN	activity
is	VBZ	be
not	RB	not
about	RB	about
stopping	VBG	stop
progress	NN	progress
;	:	;
it	PP	it
is	VBZ	be
about	RB	about
redefining	VBG	redefin
progress	NN	progress
so	IN	so
that	WDT	that
it	PP	it
aligns	VBZ	align
with	IN	with
climate	NN	climate
stability	NN	stability
,	,	,
social	JJ	social
justice	NN	justice
,	,	,
and	CC	and
human	JJ	human
dignity	NN	dignity
.	SENT	.
A	DT	a
new	JJ	new
economy	NN	economy
should	MD	should
also	RB	also
give	VB	give
people	NNS	people
more	JJR	more
time	NN	time
.	SENT	.
By	IN	by
reducing	VBG	reduce
working	VBG	work
hours	NNS	hour
and	CC	and
distributing	VBG	distribute
work	NN	work
more	RBR	more
fairly	RB	fairly
,	,	,
we	PP	we
can	MD	can
create	VB	create
space	NN	space
for	IN	for
care	NN	care
,	,	,
community	NN	community
,	,	,
and	CC	and
participation	NN	participation
in	IN	in
democratic	JJ	democratic
life	NN	life
.	SENT	.
More	RBR	more
free	JJ	free
time	NN	time
can	MD	can
mean	VB	mean
stronger	JJR	strong
families	NNS	family
,	,	,
more	JJR	more
civic	JJ	civic
engagement	NN	engagement
,	,	,
and	CC	and
greater	JJR	great
capacity	NN	capacity
to	TO	to
look	VB	look
after	IN	after
each	DT	each
other	JJ	other
and	CC	and
the	DT	the
natural	JJ	natural
world	NN	world
we	PP	we
depend	VBP	depend
on	IN	on
.	SENT	.
Spreading	VBG	spread
wealth	NN	wealth
more	RBR	more
evenly	RB	evenly
is	VBZ	be
essential	JJ	essential
.	SENT	.
Progressive	JJ	Progressive
tax	NN	tax
systems	NNS	system
that	WDT	that
ask	VBP	ask
more	JJR	more
from	IN	from
those	DT	those
who	WP	who
have	VBP	have
more	JJR	more
can	MD	can
help	VB	help
redistribute	VB	redistribute
resources	NNS	resource
and	CC	and
fund	VB	fund
the	DT	the
public	JJ	public
services	NNS	service
and	CC	and
green	JJ	green
infrastructure	NN	infrastructure
we	PP	we
all	RB	all
need	VBP	need
.	SENT	.
When	WRB	when
wealth	NN	wealth
is	VBZ	be
shared	VBN	share
more	RBR	more
fairly	RB	fairly
,	,	,
societies	NNS	society
become	VBP	become
more	RBR	more
resilient	JJ	resilient
,	,	,
and	CC	and
it	PP	it
becomes	VBZ	become
easier	JJR	easy
to	TO	to
tackle	VB	tackle
the	DT	the
climate	NN	climate
crisis	NN	crisis
in	IN	in
ways	NNS	way
that	WDT	that
leave	VBP	leave
no	DT	no
one	CD	one
behind	RB	behind
.	SENT	.
The	DT	the
need	NN	need
for	IN	for
this	DT	this
transformation	NN	transformation
is	VBZ	be
made	VBN	make
clearer	JJR	clear
by	IN	by
the	DT	the
fractures	NNS	fracture
we	PP	we
see	VBP	see
around	IN	around
us	PP	us
.	SENT	.
Technology	NN	technology
,	,	,
instead	RB	instead
of	IN	of
simply	RB	simply
connecting	VBG	connect
us	PP	us
,	,	,
has	VBZ	have
often	RB	often
accelerated	VBN	accelerate
disconnection—isolating	JJ	disconnection—isolating
people	NNS	people
,	,	,
deepening	VBG	deepen
divides	NNS	divide
,	,	,
and	CC	and
concentrating	VBG	concentrate
power	NN	power
in	IN	in
the	DT	the
hands	NNS	hand
of	IN	of
a	DT	a
few	JJ	few
corporations	NNS	corporation
.	SENT	.
Movements	NNS	movement
like	VBP	like
Occupy	VB	occupy
Wall	NP	Wall
Street	NP	Street
have	VBP	have
exposed	VBN	expose
the	DT	the
injustices	NNS	injustice
at	IN	at
the	DT	the
core	NN	core
of	IN	of
our	PP$	our
current	JJ	current
system	NN	system
and	CC	and
shown	VBN	show
how	WRB	how
many	JJ	many
people	NNS	people
are	VBP	be
ready	JJ	ready
for	IN	for
change	NN	change
.	SENT	.
At	IN	at
the	DT	the
same	JJ	same
time	NN	time
,	,	,
ideas	NNS	idea
that	WDT	that
once	RB	once
promised	VBD	promise
a	DT	a
more	RBR	more
democratic	JJ	democratic
“	``	"
sharing	NN	sharing
economy	NN	economy
”	''	"
have	VBP	have
too	RB	too
often	RB	often
been	VBN	be
hijacked	VBN	hijack
.	SENT	.
Platforms	NNS	platform
that	WDT	that
claimed	VBD	claim
to	TO	to
empower	VB	empower
people	NNS	people
have	VBP	have
frequently	RB	frequently
turned	VBN	turn
into	IN	into
new	JJ	new
forms	NNS	form
of	IN	of
extraction	NN	extraction
,	,	,
where	WRB	where
profit	NN	profit
flows	VBZ	flow
upward	RB	upward
while	IN	while
risk	NN	risk
and	CC	and
precarity	NN	<unknown>
are	VBP	be
pushed	VBN	push
downward	RB	downward
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
warning	NN	warning
:	:	:
without	IN	without
clear	JJ	clear
values	NNS	value
and	CC	and
strong	JJ	strong
rules	NNS	rule
,	,	,
even	RB	even
hopeful	JJ	hopeful
innovations	NNS	innovation
can	MD	can
be	VB	be
captured	VBN	capture
and	CC	and
twisted	VBN	twist
to	TO	to
serve	VB	serve
the	DT	the
very	JJ	very
system	NN	system
they	PP	they
were	VBD	be
meant	VBN	mean
to	TO	to
transform	VB	transform
.	SENT	.
That	DT	that
is	VBZ	be
why	WRB	why
we	PP	we
need	VBP	need
bold	JJ	bold
,	,	,
hopeful	JJ	hopeful
visions	NNS	vision
of	IN	of
the	DT	the
future—and	NN	<unknown>
the	DT	the
courage	NN	courage
to	TO	to
act	VB	act
on	IN	on
them	PP	them
.	SENT	.
Imagining	VBG	imagine
an	DT	an
economy	NN	economy
that	WDT	that
truly	RB	truly
serves	VBZ	serve
people	NNS	people
and	CC	and
the	DT	the
planet	NN	planet
is	VBZ	be
not	RB	not
a	DT	a
utopian	JJ	utopian
luxury	NN	luxury
;	:	;
it	PP	it
is	VBZ	be
a	DT	a
practical	JJ	practical
necessity	NN	necessity
in	IN	in
the	DT	the
face	NN	face
of	IN	of
climate	NN	climate
chaos	NN	chaos
and	CC	and
deepening	VBG	deepen
inequality	NN	inequality
.	SENT	.
By	IN	by
centering	VBG	center
inclusivity	NN	<unknown>
,	,	,
genuine	JJ	genuine
sharing	NN	sharing
,	,	,
real	JJ	real
sustainability	NN	sustainability
,	,	,
fair	JJ	fair
limits	NNS	limit
,	,	,
more	JJR	more
free	JJ	free
time	NN	time
,	,	,
and	CC	and
a	DT	a
just	JJ	just
distribution	NN	distribution
of	IN	of
wealth	NN	wealth
,	,	,
we	PP	we
can	MD	can
begin	VB	begin
to	TO	to
build	VB	build
a	DT	a
world	NN	world
that	WDT	that
is	VBZ	be
not	RB	not
just	RB	just
less	RBR	less
destructive	JJ	destructive
,	,	,
but	CC	but
fundamentally	RB	fundamentally
more	RBR	more
humane	JJ	humane
.	SENT	.
New	JJ	new
thinking	NN	thinking
alone	RB	alone
will	MD	will
not	RB	not
change	VB	change
everything	NN	everything
.	SENT	.
But	CC	but
without	IN	without
it	PP	it
,	,	,
we	PP	we
are	VBP	be
condemned	VBN	condemn
to	TO	to
repeat	VB	repeat
the	DT	the
same	JJ	same
patterns	NNS	pattern
that	WDT	that
brought	VBD	bring
us	PP	us
to	TO	to
the	DT	the
brink	NN	brink
.	SENT	.
The	DT	the
choice	NN	choice
is	VBZ	be
clear	JJ	clear
:	:	:
cling	VB	cling
to	TO	to
an	DT	an
economy	NN	economy
that	WDT	that
treats	VBZ	treat
people	NNS	people
and	CC	and
nature	NN	nature
as	IN	as
expendable	JJ	expendable
,	,	,
or	CC	or
work	VB	work
together	RB	together
to	TO	to
create	VB	create
one	CD	one
that	WDT	that
allows	VBZ	allow
both	CC	both
to	TO	to
thrive	VB	thrive
.	SENT	.
