More	JJR	more
each	DT	each
and	CC	and
every	DT	every
one	CD	one
of	IN	of
you	PP	you
that	WDT	that
have	VBP	have
joined	VBN	join
this	DT	this
campaign	NN	campaign
so	RB	so
far	RB	far
and	CC	and
enabled	VBD	enable
us	PP	us
to	TO	to
represent	VB	represent
people	NNS	people
power	NN	power
in	IN	in
a	DT	a
physical	JJ	physical
object	NN	object
.	SENT	.
Seeing	VBG	see
what	WP	what
500,000	CD	@card@
names	NNS	name
looks	VBZ	look
like	IN	like
on	IN	on
page	NN	page
after	IN	after
page	NN	page
of	IN	of
a	DT	a
beautiful	JJ	beautiful
book	NN	book
is	VBZ	be
humbling	VBG	humble
.	SENT	.
But	CC	but
it	PP	it
does	VBZ	do
not	RB	not
even	RB	even
begin	VB	begin
to	TO	to
honour	VB	honour
what	WP	what
half	PDT	half
a	DT	a
million	CD	million
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
calling	VBG	call
for	IN	for
the	DT	the
same	JJ	same
thing	NN	thing
can	MD	can
do	VB	do
.	SENT	.
Why	WRB	why
we	PP	we
are	VBP	be
speaking	VBG	speak
up	RP	up
The	DT	the
largest	JJS	large
global	JJ	global
publishers	NNS	publisher
,	,	,
including	VBG	include
Penguin	NN	penguin
Random	NP	Random
House	NP	House
,	,	,
Macmillan	NP	Macmillan
,	,	,
HarperCollins	NP	HarperCollins
,	,	,
Simon	NP	Simon
&	CC	&
Schuster	NP	Schuster
and	CC	and
Hachette	NP	Hachette
are	VBP	be
buying	VBG	buy
paper	NN	paper
for	IN	for
their	PP$	their
books	NNS	book
from	IN	from
Resolute	JJ	resolute
Forest	NP	Forest
Products	NPS	Products
.	SENT	.
This	DT	this
logging	VBG	log
company	NN	company
is	VBZ	be
controversial	JJ	controversial
to	TO	to
say	VB	say
the	DT	the
least	JJS	least
.	SENT	.
It	PP	it
logs	VBZ	log
in	IN	in
intact	JJ	intact
forests	NNS	forest
and	CC	and
threatened	VBN	threaten
species	NNS	specie
’	POS	'
habitat	NN	habitat
.	SENT	.
It	PP	it
has	VBZ	have
lost	VBN	lose
environmental	JJ	environmental
certification	NN	certification
from	IN	from
the	DT	the
Forest	NP	Forest
Stewardship	NN	stewardship
Council	NP	Council
(FSC)on	NN	<unknown>
more	JJR	more
than	IN	than
6	CD	@card@
million	CD	million
hectares	NNS	hectare
of	IN	of
forestland	NN	forestland
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
suing	VBG	sue
environmental	JJ	environmental
advocates	NNS	advocate
like	IN	like
Greenpeace	NP	Greenpeace
that	WDT	that
believe	VBP	believe
the	DT	the
world	NN	world
has	VBZ	have
a	DT	a
right	NN	right
to	TO	to
know	VB	know
what	WP	what
it	PP	it
is	VBZ	be
doing	VBG	do
.	SENT	.
Given	VBN	give
the	DT	the
true	JJ	true
weight	NN	weight
of	IN	of
these	DT	these
books	NNS	book
and	CC	and
the	DT	the
seriousness	NN	seriousness
of	IN	of
the	DT	the
topic	NN	topic
,	,	,
we	PP	we
had	VBD	have
hopes	NNS	hope
that	IN	that
the	DT	the
publishers	NNS	publisher
receiving	VBG	receive
them	PP	them
would	MD	would
also	RB	also
see	VB	see
the	DT	the
gravity	NN	gravity
of	IN	of
the	DT	the
situation	NN	situation
and	CC	and
be	VB	be
compelled	VBN	compel
to	TO	to
do	VB	do
something	NN	something
.	SENT	.
What	WP	what
the	DT	the
publishers	NNS	publisher
had	VBD	have
to	TO	to
say	VB	say
Last	JJ	last
Tuesday	NP	Tuesday
,	,	,
Hachette	NP	Hachette
Livre	NN	livre
showed	VBD	show
that	IN	that
they	PP	they
were	VBD	be
ready	JJ	ready
to	TO	to
act	VB	act
.	SENT	.
The	DT	the
third	JJ	third
largest	JJS	large
publisher	NN	publisher
in	IN	in
the	DT	the
world	NN	world
wrote	VBD	write
an	DT	an
open	JJ	open
letter	NN	letter
to	TO	to
the	DT	the
CEO	NN	CEO
of	IN	of
Resolute	JJ	resolute
Forest	NP	Forest
Products	NPS	Products
calling	VBG	call
its	PP$	its
legal	JJ	legal
attacks	NNS	attack
on	IN	on
free	JJ	free
speech	NN	speech
and	CC	and
environmental	JJ	environmental
groups	NNS	group
“	``	"
excessive	JJ	excessive
”	''	"
asking	VBG	ask
whether	IN	whether
there	EX	there
are	VBP	be
not	RB	not
“	``	"
other	JJ	other
ways	NNS	way
to	TO	to
deal	VB	deal
with	IN	with
Greenpeace	NP	Greenpeace
’s	POS	's
claims	NNS	claim
.	SENT	.
”	''	"
Hachette	NP	Hachette
also	RB	also
recognised	VBD	recognise
that	IN	that
it	PP	it
had	VBD	have
made	VBN	make
promises	NNS	promise
to	TO	to
its	PP$	its
readers	NNS	reader
to	TO	to
only	RB	only
purchase	VB	purchase
sustainable	JJ	sustainable
paper	NN	paper
and	CC	and
that	IN	that
Resolute	JJ	resolute
needs	NNS	need
to	TO	to
do	VB	do
better	JJR	good
for	IN	for
the	DT	the
forest	NN	forest
if	IN	if
it	PP	it
wants	VBZ	want
to	TO	to
continue	VB	continue
to	TO	to
be	VB	be
Hachette	NP	Hachette
’s	POS	's
supplier	NN	supplier
.	SENT	.
Unfortunately	RB	unfortunately
Hachette	NP	Hachette
Livre	NN	livre
’s	POS	's
leadership	NN	leadership
in	IN	in
taking	VBG	take
this	DT	this
first	JJ	first
step	NN	step
is	VBZ	be
not	RB	not
yet	RB	yet
indicative	JJ	indicative
of	IN	of
the	DT	the
entire	JJ	entire
publishing	NN	publishing
industry	NN	industry
.	SENT	.
So	IN	so
last	JJ	last
week	NN	week
I	PP	I
visited	VBD	visit
publisher	NN	publisher
after	IN	after
publisher	NN	publisher
,	,	,
all	RB	all
headquartered	VBN	headquarter
in	IN	in
New	NP	New
York	NP	York
City	NP	City
,	,	,
to	TO	to
deliver	VB	deliver
the	DT	the
book	NN	book
with	IN	with
its	PP$	its
500,000	CD	@card@
signatures	NNS	signature
to	TO	to
represent	VB	represent
the	DT	the
power	NN	power
of	IN	of
the	DT	the
people	NNS	people
calling	VBG	call
for	IN	for
action	NN	action
.	SENT	.
