How	WRB	how
population	NN	population
that	WDT	that
are	VBP	be
completely	RB	completely
unexposed	JJ	unexposed
,	,	,
and	CC	and
most	JJS	most
diseases	NNS	disease
have	VBP	have
multiple	JJ	multiple
causes	NNS	cause
.	SENT	.
Also	RB	also
,	,	,
most	JJS	most
people	NNS	people
are	VBP	be
exposed	VBN	expose
to	TO	to
a	DT	a
mixture	NN	mixture
of	IN	of
chemicals	NNS	chemical
in	IN	in
their	PP$	their
everyday	JJ	everyday
lives	NNS	life
,	,	,
not	RB	not
just	RB	just
pesticides	NNS	pesticide
.	SENT	.
Whilst	IN	whilst
recognizing	VBG	recognize
these	DT	these
uncertainties	NNS	uncertainty
and	CC	and
the	DT	the
sometimes	RB	sometimes
conflicting	JJ	conflicting
research	NN	research
,	,	,
taken	VBN	take
together	RB	together
the	DT	the
evidence	NN	evidence
is	VBZ	be
clear	JJ	clear
.	SENT	.
The	DT	the
use	NN	use
of	IN	of
pesticides	NNS	pesticide
by	IN	by
industrial	JJ	industrial
agriculture	NN	agriculture
is	VBZ	be
undermining	VBG	undermine
the	DT	the
health	NN	health
of	IN	of
our	PP$	our
farmers	NNS	farmer
,	,	,
their	PP$	their
families	NNS	family
and	CC	and
the	DT	the
general	JJ	general
population	NN	population
.	SENT	.
Most	RBS	most
vulnerable	JJ	vulnerable
to	TO	to
the	DT	the
effects	NNS	effect
of	IN	of
pesticides	NNS	pesticide
are	VBP	be
the	DT	the
farmers	NNS	farmer
that	WDT	that
are	VBP	be
in	IN	in
contact	NN	contact
with	IN	with
them	PP	them
regularly	RB	regularly
.	SENT	.
Even	RB	even
wearing	VBG	wear
protective	JJ	protective
clothing	NN	clothing
can	MD	can
result	VB	result
in	IN	in
low-level	JJ	low-level
exposure	NN	exposure
,	,	,
which	WDT	which
in	IN	in
some	DT	some
cases	NNS	case
can	MD	can
still	RB	still
be	VB	be
harmful	JJ	harmful
.	SENT	.
This	DT	this
is	VBZ	be
especially	RB	especially
true	JJ	true
for	IN	for
those	DT	those
women	NNS	woman
working	VBG	work
in	IN	in
farming	NN	farming
that	WDT	that
are	VBP	be
pregnant	JJ	pregnant
–	:	-
this	DT	this
exposure	NN	exposure
can	MD	can
impact	VB	impact
on	IN	on
the	DT	the
health	NN	health
of	IN	of
their	PP$	their
babies	NNS	baby
with	IN	with
possible	JJ	possible
birth	NN	birth
defects	NNS	defect
,	,	,
developmental	JJ	developmental
issues	NNS	issue
and	CC	and
cancers	NNS	cancer
as	IN	as
a	DT	a
consequence	NN	consequence
.	SENT	.
Children	NNS	child
are	VBP	be
also	RB	also
particularly	RB	particularly
vulnerable	JJ	vulnerable
to	TO	to
the	DT	the
effects	NNS	effect
of	IN	of
harmful	JJ	harmful
pesticides	NNS	pesticide
.	SENT	.
Their	PP$	their
bodies	NNS	body
are	VBP	be
undergoing	VBG	undergo
constant	JJ	constant
development	NN	development
and	CC	and
are	VBP	be
not	RB	not
able	JJ	able
to	TO	to
metabolise	VB	metabolise
some	DT	some
substances	NNS	substance
in	IN	in
the	DT	the
way	NN	way
that	IN	that
adults	NNS	adult
can	MD	can
.	SENT	.
Also	RB	also
children	NNS	child
are	VBP	be
exposed	VBN	expose
to	TO	to
pesticides	NNS	pesticide
in	IN	in
different	JJ	different
ways	NNS	way
–	:	-
through	IN	through
the	DT	the
food	NN	food
they	PP	they
eat	VBP	eat
,	,	,
things	NNS	thing
that	WDT	that
they	PP	they
touch	VBP	touch
and	CC	and
put	VBP	put
in	IN	in
their	PP$	their
mouth	NN	mouth
,	,	,
and	CC	and
on	IN	on
the	DT	the
surfaces	NNS	surface
of	IN	of
the	DT	the
garden	NN	garden
and	CC	and
house	NN	house
,	,	,
as	RB	as
well	RB	well
as	IN	as
through	IN	through
the	DT	the
air	NN	air
they	PP	they
breathe	VBP	breathe
.	SENT	.
For	IN	for
adults	NNS	adult
,	,	,
studies	NNS	study
have	VBP	have
related	VBN	relate
pesticide	NN	pesticide
exposure	NN	exposure
to	TO	to
an	DT	an
increased	VBN	increase
incidence	NN	incidence
of	IN	of
several	JJ	several
cancers	NNS	cancer
–	:	-
including	VBG	include
prostate	NN	prostate
,	,	,
lung	NN	lung
and	CC	and
others	NNS	other
–	:	-
and	CC	and
neurodegenerative	JJ	neurodegenerative
diseases	NNS	disease
such	JJ	such
as	IN	as
Parkinson	NP	Parkinson
’s	POS	's
and	CC	and
Alzheimer	NP	Alzheimer
’s	POS	's
.	SENT	.
There	EX	there
is	VBZ	be
also	RB	also
evidence	NN	evidence
that	WDT	that
suggests	VBZ	suggest
that	IN	that
certain	JJ	certain
pesticides	NNS	pesticide
can	MD	can
disrupt	VB	disrupt
normal	JJ	normal
immune	JJ	immune
system	NN	system
functioning	NN	functioning
and	CC	and
hormones	NNS	hormone
in	IN	in
the	DT	the
body	NN	body
.	SENT	.
There	EX	there
are	VBP	be
people	NNS	people
that	IN	that
,	,	,
because	IN	because
of	IN	of
their	PP$	their
genetic	JJ	genetic
makeup	NN	makeup
,	,	,
are	VBP	be
more	RBR	more
likely	JJ	likely
to	TO	to
be	VB	be
affected	VBN	affect
by	IN	by
the	DT	the
toxic	JJ	toxic
impact	NN	impact
of	IN	of
pesticides	NNS	pesticide
and	CC	and
it	PP	it
is	VBZ	be
possible	JJ	possible
that	IN	that
some	DT	some
of	IN	of
these	DT	these
impacts	NNS	impact
on	IN	on
the	DT	the
body	NN	body
can	MD	can
follow	VB	follow
onto	IN	onto
future	JJ	future
generations	NNS	generation
.	SENT	.
This	DT	this
means	VBZ	mean
that	IN	that
even	RB	even
though	IN	though
those	DT	those
in	IN	in
the	DT	the
future	NN	future
might	MD	might
not	RB	not
be	VB	be
exposed	VBN	expose
to	TO	to
these	DT	these
chemicals	NNS	chemical
,	,	,
they	PP	they
might	MD	might
still	RB	still
be	VB	be
affected	VBN	affect
because	IN	because
their	PP$	their
grandparents	NNS	grandparent
were	VBD	be
in	IN	in
contact	NN	contact
with	IN	with
certain	JJ	certain
chemicals	NNS	chemical
.	SENT	.
Currently	RB	currently
in	IN	in
our	PP$	our
everyday	JJ	everyday
lives	NNS	life
we	PP	we
are	VBP	be
exposed	VBN	expose
to	TO	to
a	DT	a
cocktail	NN	cocktail
of	IN	of
toxic	JJ	toxic
chemicals	NNS	chemical
,	,	,
the	DT	the
impact	NN	impact
of	IN	of
which	WDT	which
is	VBZ	be
impossible	JJ	impossible
to	TO	to
evaluate	VB	evaluate
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
solution	NN	solution
but	CC	but
it	PP	it
involves	VBZ	involve
a	DT	a
fundamental	JJ	fundamental
shift	NN	shift
from	IN	from
an	DT	an
industrial	JJ	industrial
agriculture	NN	agriculture
system	NN	system
to	TO	to
ecological	JJ	ecological
farming	NN	farming
that	WDT	that
grows	VBZ	grow
healthy	JJ	healthy
food	NN	food
using	VBG	use
the	DT	the
benefits	NNS	benefit
of	IN	of
the	DT	the
diversity	NN	diversity
it	PP	it
creates	VBZ	create
.	SENT	.
It	PP	it
can	MD	can
be	VB	be
done	VBN	do
,	,	,
and	CC	and
farmers	NNS	farmer
are	VBP	be
doing	VBG	do
it	PP	it
.	SENT	.
Ecological	JJ	ecological
farming	NN	farming
is	VBZ	be
the	DT	the
only	JJ	only
solution	NN	solution
to	TO	to
grow	VB	grow
healthy	JJ	healthy
food	NN	food
and	CC	and
protect	VB	protect
our	PP$	our
farmers	NNS	farmer
,	,	,
their	PP$	their
families	NNS	family
and	CC	and
our	PP$	our
children	NNS	child
.	SENT	.
If	IN	if
you	PP	you
are	VBP	be
outraged	VBN	outrage
about	IN	about
the	DT	the
findings	NNS	finding
of	IN	of
the	DT	the
report	NN	report
and	CC	and
want	VBP	want
to	TO	to
do	VB	do
something	NN	something
to	TO	to
eliminate	VB	eliminate
the	DT	the
use	NN	use
of	IN	of
chemicals	NNS	chemical
in	IN	in
agriculture	NN	agriculture
and	CC	and
contribute	VB	contribute
to	TO	to
change	VB	change
the	DT	the
food	NN	food
system	NN	system
,	,	,
join	VB	join
the	DT	the
food	NN	food
movement	NN	movement
and	CC	and
make	VB	make
a	DT	a
challenge	NN	challenge
today	NN	today
.	SENT	.
Kirsten	NP	Kirsten
Thompson	NP	Thompson
is	VBZ	be
a	DT	a
scientist	NN	scientist
specialising	VBG	specialise
in	IN	in
conservation	NN	conservation
ecology	NN	ecology
and	CC	and
biodiversity	NN	biodiversity
.	SENT	.
She	PP	she
had	VBD	have
been	VBN	be
involved	VBN	involve
in	IN	in
research	NN	research
for	IN	for
more	JJR	more
than	IN	than
20	CD	@card@
years	NNS	year
,	,	,
working	VBG	work
with	IN	with
both	DT	both
universities	NNS	university
and	CC	and
non-government	NN	non-government
organisations	NNS	organisation
.	SENT	.
She	PP	she
feels	VBZ	feel
that	IN	that
we	PP	we
can	MD	can
use	VB	use
good	JJ	good
science	NN	science
and	CC	and
innovative	JJ	innovative
thinking	NN	thinking
to	TO	to
preserve	VB	preserve
the	DT	the
natural	JJ	natural
world	NN	world
,	,	,
not	RB	not
just	RB	just
for	IN	for
humans	NNS	human
,	,	,
but	CC	but
for	IN	for
all	DT	all
species	NN	species
.	SENT	.
Kirsten	NP	Kirsten
and	CC	and
her	PP$	her
family	NN	family
grow	VB	grow
fresh	JJ	fresh
and	CC	and
healthy	JJ	healthy
food	NN	food
as	IN	as
a	DT	a
way	NN	way
of	IN	of
ensuring	VBG	ensure
local	JJ	local
,	,	,
sustainable	JJ	sustainable
produce	NN	produce
alongside	IN	alongside
educating	VBG	educate
her	PP$	her
children	NNS	child
with	IN	with
an	DT	an
important	JJ	important
lifelong	JJ	lifelong
skill	NN	skill
.	SENT	.
