There	EX	there
start	VB	start
by	IN	by
showing	VBG	show
your	PP$	your
support	NN	support
for	IN	for
the	DT	the
#BetterThanDavos	NNS	<unknown>
action	NN	action
week	NN	week
on	IN	on
social	JJ	social
media	NNS	medium
.	SENT	.
Find	VB	find
a	DT	a
protest	NN	protest
to	TO	to
join	VB	join
.	SENT	.
Or	CC	or
tell	VB	tell
us	PP	us
y	NP	y
our	PP$	our
story	NN	story
of	IN	of
pushing	VBG	push
for	IN	for
change	NN	change
.	SENT	.
Daniel	NP	Daniel
Mittler	NP	Mittler
is	VBZ	be
the	DT	the
Political	JJ	political
Director	NN	director
of	IN	of
Greenpeace	NP	Greenpeace
International	NP	International
Due	NP	Due
to	TO	to
Covid	NP	<unknown>
,	,	,
the	DT	the
World	NP	World
Economic	NP	Economic
Forum	NP	Forum
will	MD	will
be	VB	be
virtual	JJ	virtual
this	DT	this
January	NP	January
–	:	-
and	CC	and
its	PP$	its
elite	JJ	elite
audience	NN	audience
will	MD	will
only	RB	only
meet	VB	meet
in	IN	in
person	NN	person
in	IN	in
May	NP	May
–	:	-
in	IN	in
Singapore	NP	Singapore
.	SENT	.
A	DT	a
symbolic	JJ	symbolic
move	NN	move
showing	NN	showing
how	WRB	how
geopolitics	NNS	geopolitics
are	VBP	be
shifting	VBG	shift
,	,	,
especially	RB	especially
as	IN	as
many	JJ	many
countries	NNS	country
in	IN	in
Asia	NP	Asia
deal	NN	deal
so	RB	so
much	RB	much
more	RBR	more
competently	RB	competently
with	IN	with
Covid-19	NP	<unknown>
than	IN	than
Europe	NP	Europe
or	CC	or
North	NP	North
America	NP	America
.	SENT	.
Cancelled	VBN	cancel
private	JJ	private
plane	NN	plane
trips	NNS	trip
aside	RB	aside
,	,	,
the	DT	the
billionaire	NN	billionaire
class	NN	class
is	VBZ	be
doing	VBG	do
very	RB	very
well	RB	well
indeed	RB	indeed
out	RB	out
of	IN	of
the	DT	the
current	JJ	current
crisis	NN	crisis
you	PP	you
and	CC	and
I	PP	I
are	VBP	be
feeling	VBG	feel
.	SENT	.
I	PP	I
do	VBP	do
n’t	RB	n't
know	VB	know
about	IN	about
you	PP	you
,	,	,
but	CC	but
,	,	,
stuck	VBN	stick
at	IN	at
home	NN	home
–	:	-
and	CC	and
seeing	VBG	see
friends	NNS	friend
losing	VBG	lose
their	PP$	their
jobs	NNS	job
and	CC	and
incomes	NNS	income
–	:	-
the	DT	the
fact	NN	fact
that	IN	that
Jeff	NP	Jeff
Bezos	NP	<unknown>
could	MD	could
have	VB	have
paid	VBN	pay
each	DT	each
and	CC	and
every	DT	every
one	CD	one
of	IN	of
his	PP$	his
Amazon	NP	Amazon
employees	NNS	employee
more	RBR	more
than	IN	than
$100,000	JJ	$@card@
US	NP	US
dollars	NNS	dollar
–	:	-
and	CC	and
would	MD	would
still	RB	still
be	VB	be
as	RB	as
rich	JJ	rich
as	IN	as
before	IN	before
this	DT	this
pandemic	JJ	pandemic
hit	NN	hit
–	:	-
just	RB	just
makes	VBZ	make
me	PP	me
furious	JJ	furious
.	SENT	.
And	CC	and
ever	RB	ever
more	RBR	more
convinced	JJ	convinced
that	IN	that
Jeff	NP	Jeff
Bezos	NP	<unknown>
and	CC	and
his	PP$	his
ilk	NN	ilk
must	MD	must
pay	VB	pay
for	IN	for
the	DT	the
green	JJ	green
and	CC	and
just	RB	just
recovery	NN	recovery
we	PP	we
so	RB	so
urgently	RB	urgently
need	VBP	need
to	TO	to
start	VB	start
this	DT	this
year	NN	year
.	SENT	.
That	DT	that
’s	VBZ	be
why	WRB	why
I	PP	I
am	VBP	be
glad	JJ	glad
that	IN	that
Greenpeace	NP	Greenpeace
is	VBZ	be
backing	VBG	back
the	DT	the
Make	NP	Make
Amazon	NP	Amazon
Pay	NP	Pay
campaign	NN	campaign
by	IN	by
trade	NN	trade
unions	NNS	union
and	CC	and
other	JJ	other
allies	NNS	ally
.	SENT	.
That	DT	that
’s	VBZ	be
why	WRB	why
I	PP	I
am	VBP	be
asking	VBG	ask
you	PP	you
today	NN	today
to	TO	to
join	VB	join
the	DT	the
Fight	NN	fight
Inequality	NN	inequality
Alliance	NP	Alliance
week	NN	week
of	IN	of
action	NN	action
for	IN	for
a	DT	a
People	NNS	people
’s	POS	's
Recovery	NN	recovery
.	SENT	.
Together	RB	together
,	,	,
let	VB	let
us	PP	us
show	VB	show
the	DT	the
virtual	JJ	virtual
Davos	NP	Davos
gathering	NN	gathering
that	WDT	that
starts	VBZ	start
on	IN	on
January	NP	January
25th	JJ	25th
,	,	,
that	IN	that
people	NNS	people
’s	POS	's
solutions	NNS	solution
are	VBP	be
#BetterThanDavos	NNS	<unknown>
.	SENT	.
In	IN	in
2020	CD	@card@
,	,	,
significantly	RB	significantly
more	JJR	more
people	NNS	people
woke	VBD	wake
up	RP	up
to	TO	to
the	DT	the
need	NN	need
for	IN	for
fundamental	JJ	fundamental
change	NN	change
.	SENT	.
Across	IN	across
the	DT	the
globe	NN	globe
vast	JJ	vast
majorities	NNS	majority
indicated	VBN	indicate
(	(	(
in	IN	in
polls	NNS	poll
)	)	)
that	IN	that
they	PP	they
are	VBP	be
looking	VBG	look
for	IN	for
radically	RB	radically
better	JJR	good
policies	NNS	policy
.	SENT	.
In	IN	in
Japan	NP	Japan
,	,	,
for	IN	for
example	NN	example
,	,	,
60	CD	@card@
%	NN	%
want	VBP	want
transformational	JJ	transformational
economic	JJ	economic
change	NN	change
–	:	-
and	CC	and
in	IN	in
many	JJ	many
countries	NNS	country
,	,	,
including	VBG	include
India	NP	India
,	,	,
Mexico	NP	Mexico
,	,	,
China	NP	China
,	,	,
as	RB	as
well	RB	well
as	IN	as
Brazil	NP	Brazil
and	CC	and
South	NP	South
Africa	NP	Africa
,	,	,
support	NN	support
for	IN	for
a	DT	a
green	JJ	green
economic	JJ	economic
recovery	NN	recovery
is	VBZ	be
at	IN	at
80	CD	@card@
percent	NN	percent
or	CC	or
higher	JJR	high
.	SENT	.
Even	RB	even
parts	NNS	part
of	IN	of
the	DT	the
elites	NNS	elite
are	VBP	be
getting	VBG	get
the	DT	the
need	NN	need
for	IN	for
fundamental	JJ	fundamental
change	NN	change
:	:	:
the	DT	the
UN	NP	UN
Secretary	NP	Secretary
General	NP	General
,	,	,
has	VBZ	have
been	VBN	be
bluntly	RB	bluntly
calling	VBG	call
out	RP	out
governments	NNS	government
for	IN	for
spending	VBG	spend
too	RB	too
much	JJ	much
money	NN	money
in	IN	in
their	PP$	their
recovery	NN	recovery
packages	NNS	package
on	IN	on
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
business	NN	business
as	IN	as
usual	JJ	usual
.	SENT	.
As	IN	as
more	JJR	more
and	CC	and
more	JJR	more
people	NNS	people
demand	VBP	demand
radical	JJ	radical
change	NN	change
,	,	,
I	PP	I
am	VBP	be
hopeful	JJ	hopeful
that	IN	that
we	PP	we
can	MD	can
make	VB	make
real	JJ	real
progress	NN	progress
this	DT	this
year	NN	year
with	IN	with
a	DT	a
People	NNS	people
’s	POS	's
Recovery	NN	recovery
.	SENT	.
Most	RBS	most
immediately	RB	immediately
,	,	,
let	VB	let
’s	VBZ	be
ensure	VB	ensure
we	PP	we
get	VB	get
a	DT	a
#PeoplesVaccine	NN	<unknown>
,	,	,
not	RB	not
a	DT	a
profit	NN	profit
vaccine	NN	vaccine
,	,	,
so	RB	so
that	IN	that
all	DT	all
people	NNS	people
,	,	,
all	RB	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
can	MD	can
get	VB	get
access	NN	access
to	TO	to
Covid	NP	<unknown>
19	CD	@card@
vaccines	NNS	vaccine
fast	RB	fast
.	SENT	.
The	DT	the
United	NP	United
Nations	NPS	Nations
has	VBZ	have
backed	VBN	back
calls	NNS	call
for	IN	for
free	JJ	free
and	CC	and
universal	JJ	universal
access	NN	access
,	,	,
because	IN	because
no-one	NN	no-one
is	VBZ	be
safe	JJ	safe
from	IN	from
this	DT	this
virus	NN	virus
until	IN	until
everyone	NN	everyone
is	VBZ	be
.	SENT	.
But	CC	but
trade	NN	trade
rules	NNS	rule
that	WDT	that
secure	VBP	secure
profits	NNS	profit
for	IN	for
multinationals	NNS	multinational
are	VBP	be
preventing	VBG	prevent
faster	JJR	fast
,	,	,
fairer	JJR	fair
production	NN	production
and	CC	and
need	VBP	need
to	TO	to
be	VB	be
urgently	RB	urgently
changed	VBN	change
.	SENT	.
Watch	NN	watch
,	,	,
though	RB	though
,	,	,
as	IN	as
the	DT	the
billionaire	NN	billionaire
class	NN	class
next	JJ	next
week	NN	week
in	IN	in
their	PP$	their
virtual	JJ	virtual
meeting	NN	meeting
tries	VBZ	try
to	TO	to
circumvent	VB	circumvent
calls	NNS	call
for	IN	for
such	JJ	such
fundamental	JJ	fundamental
changes	NNS	change
.	SENT	.
It	PP	it
’s	VBZ	be
telling	VBG	tell
that	IN	that
the	DT	the
meeting	NN	meeting
is	VBZ	be
pitched	VBN	pitch
as	IN	as
aiming	VBG	aim
to	TO	to
“	``	"
rebuild	VB	rebuild
trust	NN	trust
”	''	"
and	CC	and
talks	NNS	talk
of	IN	of
“	``	"
reforming	VBG	reform
”	''	"
systems	NNS	system
.	SENT	.
Indeed	RB	indeed
,	,	,
it	PP	it
describes	VBZ	describe
systemic	JJ	systemic
changes	NNS	change
as	IN	as
something	NN	something
that	WDT	that
may	MD	may
be	VB	be
happening	VBG	happen
in	IN	in
the	DT	the
world	NN	world
but	CC	but
not	RB	not
as	IN	as
something	NN	something
to	TO	to
seek	VB	seek
.	SENT	.
We	PP	we
disagree	VBP	disagree
.	SENT	.
We	PP	we
do	VBP	do
not	RB	not
need	VB	need
small	JJ	small
fixes	NNS	fix
and	CC	and
a	DT	a
restoration	NN	restoration
of	IN	of
a	DT	a
broken	VBN	break
system	NN	system
.	SENT	.
After	IN	after
all	DT	all
,	,	,
2020	CD	@card@
was	VBD	be
the	DT	the
hottest	JJS	hot
year	NN	year
on	IN	on
record	NN	record
–	:	-
and	CC	and
saw	VBD	see
inequalities	NNS	inequality
rise	VB	rise
further	RBR	further
amidst	IN	amidst
the	DT	the
pandemic	NN	pandemic
.	SENT	.
