Who	WP	who
kilograms	NNS	kilogram
a	DT	a
day	NN	day
–	:	-
or	CC	or
688,000	CD	@card@
tonnes	NNS	tonne
a	DT	a
year	NN	year
of	IN	of
plastic	JJ	plastic
waste	NN	waste
.	SENT	.
On	IN	on
May	NP	May
19	CD	@card@
,	,	,
the	DT	the
Turkish	JJ	Turkish
government	NN	government
announced	VBD	announce
a	DT	a
ban	NN	ban
on	IN	on
almost	RB	almost
all	DT	all
foreign	JJ	foreign
waste	NN	waste
imports	NNS	import
,	,	,
including	VBG	include
95	CD	@card@
%	NN	%
of	IN	of
British	JJ	British
plastic	JJ	plastic
waste	NN	waste
.	SENT	.
This	DT	this
came	VBD	come
after	IN	after
years	NNS	year
of	IN	of
incredible	JJ	incredible
campaigning	NN	campaigning
from	IN	from
Greenpeace	NP	Greenpeace
Turkey	NP	Turkey
,	,	,
and	CC	and
the	DT	the
recent	JJ	recent
launch	NN	launch
of	IN	of
Wasteminster	NP	Wasteminster
,	,	,
this	DT	this
viral	JJ	viral
video	NN	video
on	IN	on
the	DT	the
issue	NN	issue
.	SENT	.
Here	RB	here
are	VBP	be
seven	CD	seven
short	JJ	short
animated	JJ	animated
films	NNS	film
we	PP	we
loved	VBD	love
in	IN	in
2021	CD	@card@
.	SENT	.
Stories	NNS	story
that	WDT	that
make	VBP	make
us	PP	us
angry	JJ	angry
and	CC	and
sad	JJ	sad
in	IN	in
parts	NNS	part
,	,	,
but	CC	but
also	RB	also
fire	VB	fire
our	PP$	our
hearts	NNS	heart
and	CC	and
inspire	VB	inspire
action	NN	action
for	IN	for
people	NNS	people
and	CC	and
the	DT	the
environment	NN	environment
we	PP	we
’re	VBP	be
part	NN	part
of	IN	of
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
video	NN	video
that	IN	that
Coca-Cola	NP	Coca-Cola
,	,	,
Nestlé	NP	<unknown>
and	CC	and
Pepsi	NP	Pepsi
do	VBP	do
n’t	RB	n't
want	VB	want
you	PP	you
to	TO	to
see	VB	see
.	SENT	.
Big	JJ	big
Brands	NPS	Brands
want	VBP	want
you	PP	you
to	TO	to
believe	VB	believe
they	PP	they
are	VBP	be
taking	VBG	take
steps	NNS	step
to	TO	to
reduce	VB	reduce
plastic	NN	plastic
but	CC	but
they	PP	they
are	VBP	be
actually	RB	actually
working	VBG	work
hand	NN	hand
in	IN	in
hand	NN	hand
with	IN	with
Big	NP	Big
Oil	NP	Oil
to	TO	to
produce	VB	produce
even	RB	even
more	JJR	more
.	SENT	.
Their	PP$	their
plastic	JJ	plastic
bottles	NNS	bottle
have	VBP	have
devastating	JJ	devastating
effects	NNS	effect
for	IN	for
our	PP$	our
health	NN	health
,	,	,
our	PP$	our
planet	NN	planet
and	CC	and
our	PP$	our
communities	NNS	community
.	SENT	.
And	CC	and
only	RB	only
9	CD	@card@
%	NN	%
of	IN	of
all	DT	all
plastic	JJ	plastic
waste	NN	waste
ever	RB	ever
made	VBD	make
has	VBZ	have
been	VBN	be
actually	RB	actually
recycled	VBN	recycle
.	SENT	.
But	CC	but
with	IN	with
your	PP$	your
help	NN	help
,	,	,
we	PP	we
can	MD	can
all	RB	all
speak	VB	speak
up	RP	up
for	IN	for
real	JJ	real
solutions	NNS	solution
.	SENT	.
Share	NN	share
this	DT	this
video	NN	video
and	CC	and
sign	VB	sign
our	PP$	our
petition	NN	petition
to	TO	to
end-single	NN	end-single
plastic	NN	plastic
and	CC	and
ask	VB	ask
the	DT	the
Big	NP	Big
Brands	NPS	Brands
to	TO	to
switch	VB	switch
to	TO	to
refill	VB	refill
and	CC	and
reuse	VB	reuse
.	SENT	.
Animation	NN	animation
by	IN	by
Daniel	NP	Daniel
Bird	NP	Bird
for	IN	for
Greenpeace	NP	Greenpeace
.	SENT	.
Vocals	NNS	vocal
and	CC	and
arrangement	NN	arrangement
by	IN	by
London	NP	London
Community	NP	Community
Gospel	NN	gospel
Choir	NN	choir
.	SENT	.
“	``	"
Let	VB	let
’s	VBZ	be
dare	VB	dare
to	TO	to
dream	VB	dream
and	CC	and
begin	VB	begin
creating	VBG	create
the	DT	the
change	NN	change
we	PP	we
want	VBP	want
to	TO	to
see	VB	see
today	NN	today
.	SENT	.
”	''	"
This	DT	this
is	VBZ	be
the	DT	the
driver	NN	driver
for	IN	for
4	CD	@card@
conversations	NNS	conversation
with	IN	with
climate	NN	climate
justice	NN	justice
activists	NNS	activist
,	,	,
launched	VBN	launch
by	IN	by
Greenpeace	NP	Greenpeace
in	IN	in
Europe	NP	Europe
in	IN	in
January	NP	January
2021	CD	@card@
.	SENT	.
Campaigner	NN	campaigner
Georgia	NP	Georgia
Whittaker	NP	Whittaker
,	,	,
sums	VBZ	sum
up	RP	up
the	DT	the
context	NN	context
:	:	:
“	``	"
The	DT	the
climate	NN	climate
crisis	NN	crisis
,	,	,
right-wing	JJ	right-wing
populism	NN	populism
,	,	,
health	NN	health
crisis	NN	crisis
,	,	,
discrimination	NN	discrimination
of	IN	of
all	DT	all
kinds	NNS	kind
,	,	,
economic	JJ	economic
and	CC	and
political	JJ	political
pressure	NN	pressure
on	IN	on
poorer	JJR	poor
countries	NNS	country
by	IN	by
the	DT	the
rich	JJ	rich
countries	NNS	country
,	,	,
injustice	NN	injustice
and	CC	and
inequality	NN	inequality
—	:	-
we	PP	we
see	VBP	see
something	NN	something
terribly	RB	terribly
wrong	RB	wrong
happening	VBG	happen
to	TO	to
our	PP$	our
world	NN	world
and	CC	and
how	WRB	how
we	PP	we
live	VBP	live
together	RB	together
within	IN	within
it	PP	it
.	SENT	.
”	''	"
Activists	NNS	activist
and	CC	and
artists	NNS	artist
Guppi	NP	<unknown>
Bola	NN	bola
,	,	,
Chihiro	NP	<unknown>
Geuzebroek	NP	<unknown>
,	,	,
Tatiana	NP	Tatiana
Garavito	NP	<unknown>
and	CC	and
Samie	NP	<unknown>
Blasingame	NP	Blasingame
share	NN	share
their	PP$	their
visions	NNS	vision
for	IN	for
re-imagining	NN	<unknown>
tax	NN	tax
,	,	,
democratic	JJ	democratic
ownership	NN	ownership
,	,	,
stewarding	VBG	steward
nature	NN	nature
and	CC	and
climate	NN	climate
care	NN	care
.	SENT	.
Animation	NN	animation
is	VBZ	be
one	CD	one
medium	NN	medium
they	PP	they
use	VBP	use
to	TO	to
show	VB	show
how	WRB	how
oppressive	JJ	oppressive
systems	NNS	system
intersect	VBP	intersect
and	CC	and
impact	NN	impact
people	NNS	people
’s	POS	's
lives	NNS	life
—	:	-
and	CC	and
to	TO	to
imagine	VB	imagine
how	WRB	how
societies	NNS	society
could	MD	could
do	VB	do
things	NNS	thing
differently	RB	differently
.	SENT	.
Learn	VB	learn
more	RBR	more
about	IN	about
these	DT	these
climate	NN	climate
justice	NN	justice
conversations	NNS	conversation
.	SENT	.
The	DT	the
scene	NN	scene
opens	VBZ	open
with	IN	with
birdsong	NN	<unknown>
and	CC	and
an	DT	an
idyllic	JJ	idyllic
boat	NN	boat
trip	NN	trip
,	,	,
but	CC	but
the	DT	the
story	NN	story
soon	RB	soon
strikes	VBZ	strike
a	DT	a
different	JJ	different
chord	NN	chord
.	SENT	.
Sliding	VBG	slide
into	IN	into
animation	NN	animation
,	,	,
this	DT	this
video	NN	video
exposes	VBZ	expose
the	DT	the
dystopian	JJ	<unknown>
reality	NN	reality
of	IN	of
big	JJ	big
oil	NN	oil
and	CC	and
gas	NN	gas
companies	NNS	company
pretending	VBG	pretend
to	TO	to
be	VB	be
green	JJ	green
while	IN	while
maintaining	VBG	maintain
a	DT	a
fossil	JJ	fossil
fuel	NN	fuel
addiction	NN	addiction
that	WDT	that
’s	VBZ	be
driving	VBG	drive
the	DT	the
climate	NN	climate
and	CC	and
biodiversity	NN	biodiversity
crisis	NN	crisis
.	SENT	.
We	PP	we
learn	VBP	learn
how	WRB	how
French	JJ	French
oil	NN	oil
giant	NN	giant
TotalEnergies	NP	<unknown>
claims	VBZ	claim
they	PP	they
’re	VBP	be
committed	VBN	commit
to	TO	to
a	DT	a
clean	JJ	clean
energy	NN	energy
future	NN	future
while	IN	while
actually	RB	actually
trying	VBG	try
to	TO	to
drill	VB	drill
for	IN	for
oil	NN	oil
in	IN	in
a	DT	a
pristine	JJ	pristine
forest	NN	forest
in	IN	in
the	DT	the
Republic	NP	Republic
of	IN	of
Congo	NP	Congo
.	SENT	.
A	DT	a
forest	NN	forest
that	WDT	that
’s	VBZ	be
home	NN	home
to	TO	to
many	JJ	many
Indigenous	JJ	indigenous
communities	NNS	community
,	,	,
as	RB	as
well	RB	well
as	IN	as
critically	RB	critically
endangered	VBN	endanger
species	NNS	specie
,	,	,
such	JJ	such
as	IN	as
lowland	JJ	lowland
gorillas	NNS	gorilla
.	SENT	.
Share	NN	share
the	DT	the
video	NN	video
to	TO	to
expose	VB	expose
TotalEnergies	NNS	<unknown>
.	SENT	.
These	DT	these
beautifully-made	JJ	<unknown>
films	NNS	film
have	VBP	have
it	PP	it
all	RB	all
.	SENT	.
From	IN	from
precious	JJ	precious
ways	NNS	way
of	IN	of
life	NN	life
and	CC	and
nature	NN	nature
threatened	VBN	threaten
by	IN	by
industrial	JJ	industrial
agriculture	NN	agriculture
,	,	,
plastic	JJ	plastic
pollution	NN	pollution
and	CC	and
climate	NN	climate
breakdown	NN	breakdown
.	SENT	.
To	TO	to
people	NNS	people
organising	VBG	organise
to	TO	to
resist	VB	resist
fossil	JJ	fossil
fuel	NN	fuel
giants	NNS	giant
,	,	,
call	VB	call
out	RP	out
big	JJ	big
name	NN	name
corporations	NNS	corporation
and	CC	and
hold	VB	hold
governments	NNS	government
to	TO	to
account	VB	account
.	SENT	.
This	DT	this
animation	NN	animation
is	VBZ	be
part	NN	part
of	IN	of
a	DT	a
series	NN	series
of	IN	of
4	CD	@card@
shorts	NNS	short
showing	VBG	show
how	WRB	how
greenwashing	NN	greenwashing
and	CC	and
carbon	NN	carbon
“	``	"
offsetting	JJ	offsetting
”	''	"
scams	NNS	scam
are	VBP	be
the	DT	the
new	JJ	new
climate	NN	climate
denial	NN	denial
…	NN	<unknown>
and	CC	and
they	PP	they
have	VBP	have
dangerous	JJ	dangerous
consequences	NNS	consequence
.	SENT	.
Learn	VB	learn
about	IN	about
the	DT	the
#RealZero	NN	<unknown>
video	NN	video
series	NN	series
and	CC	and
the	DT	the
biggest	JJS	big
book	NN	book
keeping	VBG	keep
trick	NN	trick
of	IN	of
the	DT	the
century	NN	century
.	SENT	.
The	DT	the
best	RBS	well
animated	JJ	animated
short	JJ	short
films	NNS	film
that	WDT	that
inspire	VBP	inspire
action	NN	action
have	VBP	have
an	DT	an
amazing	JJ	amazing
capacity	NN	capacity
to	TO	to
convey	VB	convey
powerful	JJ	powerful
stories	NNS	story
in	IN	in
a	DT	a
small	JJ	small
burst	NN	burst
of	IN	of
time	NN	time
.	SENT	.
If	IN	if
you	PP	you
liked	VBD	like
these	DT	these
,	,	,
check	VB	check
out	RP	out
our	PP$	our
animation	NN	animation
playlist	NN	<unknown>
on	IN	on
YouTube	NP	<unknown>
.	SENT	.
Did	VBD	do
we	PP	we
miss	VBP	miss
one	CD	one
of	IN	of
your	PP$	your
favourite	JJ	favourite
animations	NNS	animation
in	IN	in
2021	CD	@card@
?	SENT	?
Know	VB	know
of	IN	of
an	DT	an
environmental	JJ	environmental
justice	NN	justice
film	NN	film
coming	VBG	come
soon	RB	soon
that	IN	that
you	PP	you
do	VBP	do
n’t	RB	n't
want	VB	want
to	TO	to
miss	VB	miss
?	SENT	?
Add	VB	add
your	PP$	your
tips	NNS	tip
in	IN	in
the	DT	the
comments	NNS	comment
.	SENT	.
Above	IN	above
all	DT	all
,	,	,
they	PP	they
show	VBP	show
how	WRB	how
women	NNS	woman
,	,	,
youth	NN	youth
and	CC	and
the	DT	the
most	RBS	most
affected	JJ	affected
communities	NNS	community
are	VBP	be
leading	VBG	lead
–	:	-
with	IN	with
courage	NN	courage
and	CC	and
vision	NN	vision
–	:	-
to	TO	to
protect	VB	protect
what	WP	what
we	PP	we
love	VBP	love
and	CC	and
shape	VBP	shape
a	DT	a
more	RBR	more
green	JJ	green
,	,	,
just	JJ	just
and	CC	and
joyful	JJ	joyful
future	NN	future
for	IN	for
us	PP	us
all	RB	all
.	SENT	.
This	DT	this
is	VBZ	be
the	DT	the
first	JJ	first
in	IN	in
a	DT	a
powerful	JJ	powerful
series	NN	series
of	IN	of
animated	JJ	animated
short	JJ	short
films	NNS	film
from	IN	from
our	PP$	our
friends	NNS	friend
at	IN	at
the	DT	the
African	JJ	African
ecofeminist	NN	ecofeminist
alliance	NN	alliance
WoMin	NP	<unknown>
.	SENT	.
Through	IN	through
beautiful	JJ	beautiful
and	CC	and
moving	VBG	move
animation	NN	animation
,	,	,
Polluters	NNS	polluter
and	CC	and
Plunderers	NNS	plunderer
tells	VBZ	tell
a	DT	a
part	NN	part
of	IN	of
the	DT	the
story	NN	story
that	IN	that
rural	JJ	rural
and	CC	and
working-class	JJ	working-class
communities	NNS	community
across	IN	across
the	DT	the
African	JJ	African
continent	NN	continent
have	VBP	have
confronted	VBN	confront
from	IN	from
the	DT	the
start	NN	start
of	IN	of
colonisation	NN	<unknown>
to	TO	to
present	VB	present
day	NN	day
global	JJ	global
capitalism	NN	capitalism
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
story	NN	story
of	IN	of
lives	NNS	life
disrupted	VBN	disrupt
and	CC	and
destroyed	VBN	destroy
,	,	,
of	IN	of
environmental	JJ	environmental
catastrophe	NN	catastrophe
caused	VBN	cause
by	IN	by
unfettered	JJ	unfettered
extractive	JJ	extractive
industries	NNS	industry
,	,	,
of	IN	of
the	DT	the
violence	NN	violence
perpetrated	VBN	perpetrate
upon	IN	upon
Brown	NP	Brown
and	CC	and
Black	NP	Black
people	NNS	people
,	,	,
and	CC	and
of	IN	of
the	DT	the
exploitation	NN	exploitation
of	IN	of
women	NNS	woman
’s	POS	's
labour	NN	labour
of	IN	of
care	NN	care
and	CC	and
harm	NN	harm
inflicted	VBN	inflict
on	IN	on
their	PP$	their
bodies	NNS	body
.	SENT	.
But	CC	but
,	,	,
it	PP	it
is	VBZ	be
also	RB	also
a	DT	a
story	NN	story
of	IN	of
resistance	NN	resistance
led	VBN	lead
by	IN	by
women	NNS	woman
and	CC	and
their	PP$	their
communities	NNS	community
as	IN	as
they	PP	they
rise	VBP	rise
to	TO	to
defend	VB	defend
people	NNS	people
and	CC	and
nature	NN	nature
,	,	,
and	CC	and
put	VBD	put
forward	RB	forward
a	DT	a
different	JJ	different
vision	NN	vision
of	IN	of
Africa	NP	Africa
and	CC	and
their	PP$	their
ideas	NNS	idea
for	IN	for
a	DT	a
different	JJ	different
life	NN	life
for	IN	for
its	PP$	its
peoples	NNS	people
,	,	,
freed	VBN	free
from	IN	from
plunderers	NNS	plunderer
and	CC	and
polluters	NNS	polluter
.	SENT	.
Find	VB	find
out	RP	out
more	JJR	more
about	IN	about
the	DT	the
film	NN	film
and	CC	and
the	DT	the
work	NN	work
of	IN	of
WoMin	NP	<unknown>
.	SENT	.
As	IN	as
climate	NN	climate
chaos	NN	chaos
impacts	NNS	impact
Africa	NP	Africa
and	CC	and
Africans	NNS	African
,	,	,
who	WP	who
have	VBP	have
contributed	VBN	contribute
least	JJS	least
to	TO	to
a	DT	a
rapidly	RB	rapidly
heating	VBG	heat
planet	NN	planet
,	,	,
this	DT	this
animation	NN	animation
tells	VBZ	tell
the	DT	the
story	NN	story
of	IN	of
people	NNS	people
resisting	VBG	resist
a	DT	a
fossil-fuelled	JJ	<unknown>
economic	JJ	economic
system	NN	system
.	SENT	.
A	DT	a
system	NN	system
that	WDT	that
steals	VBZ	steal
their	PP$	their
livelihoods	NNS	livelihood
,	,	,
exploits	VBZ	exploit
their	PP$	their
labour	NN	labour
,	,	,
destroys	VBZ	destroy
the	DT	the
ecosystems	NNS	ecosystem
on	IN	on
which	WDT	which
life	NN	life
depends	VBZ	depend
,	,	,
and	CC	and
is	VBZ	be
ultimately	RB	ultimately
causing	VBG	cause
planetary	JJ	planetary
crisis	NN	crisis
.	SENT	.
