(	(	(
to	TO	to
trans	NNS	<unknown>
and	CC	and
queer	JJ	queer
people	NNS	people
being	VBG	be
disproportionately	RB	disproportionately
affected	VBN	affect
during	IN	during
climate	NN	climate
disasters	NNS	disaster
and	CC	and
by	IN	by
the	DT	the
wider	JJR	wide
effects	NNS	effect
of	IN	of
climate	NN	climate
breakdown	NN	breakdown
on	IN	on
society	NN	society
.	SENT	.
In	IN	in
the	DT	the
US	NP	US
,	,	,
research	NN	research
showed	VBD	show
that	IN	that
LGBTQIA2S+	NP	<unknown>
individuals	NNS	individual
have	VBP	have
a	DT	a
120	CD	@card@
%	NN	%
higher	JJR	high
risk	NN	risk
of	IN	of
experiencing	VBG	experience
homelessness	NN	homelessness
.	SENT	.
Despite	IN	despite
only	RB	only
9.5	CD	@card@
%	NN	%
of	IN	of
the	DT	the
US	NP	US
youth	NN	youth
identifying	VBG	identify
as	IN	as
LGBTQIA2S+	NP	<unknown>
,	,	,
they	PP	they
make	VBP	make
for	IN	for
40	CD	@card@
%	NN	%
of	IN	of
the	DT	the
homeless	JJ	homeless
youth	NN	youth
.	SENT	.
While	IN	while
those	DT	those
statistics	NNS	statistic
are	VBP	be
already	RB	already
disproportionate	JJ	disproportionate
,	,	,
the	DT	the
percentages	NNS	percentage
are	VBP	be
even	RB	even
higher	JJR	high
for	IN	for
the	DT	the
population	NN	population
of	IN	of
Black	NP	Black
and	CC	and
Indigenous	JJ	indigenous
People	NNS	people
of	IN	of
Colour	NN	colour
(	(	(
BIPOC	NP	<unknown>
)	)	)
LGBTQIA2S+	NP	<unknown>
.	SENT	.
Homeless	JJ	homeless
people	NNS	people
and	CC	and
those	DT	those
with	IN	with
inadequate	JJ	inadequate
housing	NN	housing
such	JJ	such
as	IN	as
the	DT	the
LGBTQIA2S+	NP	<unknown>
community	NN	community
will	MD	will
always	RB	always
be	VB	be
the	DT	the
most	RBS	most
affected	VBN	affect
by	IN	by
natural	JJ	natural
disasters	NNS	disaster
,	,	,
temperature	NN	temperature
rise	NN	rise
and	CC	and
polluted	JJ	polluted
air	NN	air
.	SENT	.
Not	RB	not
only	RB	only
are	VBP	be
they	PP	they
often	RB	often
on	IN	on
the	DT	the
front	JJ	front
lines	NNS	line
of	IN	of
natural	JJ	natural
disasters	NNS	disaster
,	,	,
but	CC	but
they	PP	they
also	RB	also
often	RB	often
get	VB	get
refused	VBD	refuse
the	DT	the
help	NN	help
and	CC	and
shelter	NN	shelter
meant	VBD	mean
to	TO	to
assist	VB	assist
climate	NN	climate
impacted	JJ	impacted
communities	NNS	community
.	SENT	.
For	IN	for
example	NN	example
,	,	,
during	IN	during
Hurricane	NP	Hurricane
Katrina	NP	Katrina
,	,	,
trans	NNS	<unknown>
people	NNS	people
were	VBD	be
turned	VBN	turn
away	RB	away
from	IN	from
emergency	NN	emergency
shelters	NNS	shelter
,	,	,
and	CC	and
the	DT	the
ones	NNS	one
who	WP	who
did	VBD	do
get	VB	get
in	IN	in
faced	VBN	face
discrimination	NN	discrimination
.	SENT	.
One	CD	one
transgender	NN	transgender
person	NN	person
was	VBD	be
jailed	VBN	jail
for	IN	for
showering	VBG	shower
in	IN	in
the	DT	the
women	NNS	woman
’s	POS	's
bathroom	NN	bathroom
,	,	,
even	RB	even
after	IN	after
having	VBG	have
permission	NN	permission
from	IN	from
a	DT	a
volunteer	NN	volunteer
.	SENT	.
Another	DT	another
example	NN	example
of	IN	of
this	DT	this
discrimination	NN	discrimination
is	VBZ	be
found	VBN	find
in	IN	in
India	NP	India
in	IN	in
2004	CD	@card@
,	,	,
when	WRB	when
the	DT	the
Indian	JJ	Indian
Ocean	NP	Ocean
tsunami	NN	tsunami
took	VBD	take
place	NN	place
.	SENT	.
The	DT	the
Aravanis	NP	Aravanis
,	,	,
a	DT	a
group	NN	group
of	IN	of
people	NNS	people
who	WP	who
do	VBP	do
not	RB	not
identify	VB	identify
as	IN	as
either	DT	either
male	JJ	male
or	CC	or
female	JJ	female
,	,	,
were	VBD	be
excluded	VBN	exclude
from	IN	from
temporary	JJ	temporary
shelters	NNS	shelter
and	CC	and
official	JJ	official
death	NN	death
records	NNS	record
.	SENT	.
This	DT	this
excluded	VBD	exclude
them	PP	them
from	IN	from
many	JJ	many
of	IN	of
the	DT	the
relief	NN	relief
and	CC	and
reconstruction	NN	reconstruction
agenda	NN	agenda
’s	VBZ	be
,	,	,
giving	VBG	give
them	PP	them
less	JJR	less
opportunity	NN	opportunity
to	TO	to
bounce	VB	bounce
back	RB	back
after	IN	after
the	DT	the
crisis	NN	crisis
.	SENT	.
