“	``	"
Human-induced	JJ	<unknown>
climate	NN	climate
change	NN	change
and	CC	and
the	DT	the
war	NN	war
on	IN	on
Ukraine	NP	Ukraine
have	VBP	have
the	DT	the
same	JJ	same
roots	NNS	root
:	:	:
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
our	PP$	our
dependence	NN	dependence
on	IN	on
them	PP	them
”	''	"
fossil	JJ	fossil
fuel	NN	fuel
dependency	NN	dependency
.	SENT	.
To	TO	to
transition	NN	transition
quickly	RB	quickly
,	,	,
wealthy	JJ	wealthy
countries	NNS	country
must	MD	must
first	RB	first
reduce	VB	reduce
their	PP$	their
energy	NN	energy
demand	NN	demand
and	CC	and
maximise	VB	maximise
energy	NN	energy
efficiency	NN	efficiency
.	SENT	.
Then	RB	then
move	VB	move
fast	RB	fast
to	TO	to
fill	VB	fill
their	PP$	their
remaining	VBG	remain
energy	NN	energy
needs	NNS	need
with	IN	with
renewable	JJ	renewable
energy	NN	energy
.	SENT	.
Unlike	IN	unlike
fossil	JJ	fossil
fuels	NNS	fuel
,	,	,
renewable	JJ	renewable
energy	NN	energy
is	VBZ	be
less	RBR	less
likely	JJ	likely
to	TO	to
feed	VB	feed
geopolitical	JJ	geopolitical
power	NN	power
struggles	NNS	struggle
or	CC	or
inequality	NN	inequality
,	,	,
as	IN	as
its	PP$	its
infrastructure	NN	infrastructure
has	VBZ	have
the	DT	the
potential	NN	potential
to	TO	to
be	VB	be
largely	RB	largely
localised	VBN	localise
.	SENT	.
This	DT	this
could	MD	could
in	RB	in
turn	VB	turn
help	VB	help
to	TO	to
reduce	VB	reduce
trade	NN	trade
with	IN	with
countries	NNS	country
with	IN	with
questionable	JJ	questionable
human	JJ	human
rights	NNS	right
records	NNS	record
.	SENT	.
Localised	VBN	localise
renewable	JJ	renewable
energy	NN	energy
could	MD	could
also	RB	also
help	VB	help
to	TO	to
protect	VB	protect
consumers	NNS	consumer
from	IN	from
price	NN	price
shocks	NNS	shock
like	IN	like
the	DT	the
global	JJ	global
energy	NN	energy
crisis	NN	crisis
we	PP	we
are	VBP	be
seeing	VBG	see
today	NN	today
.	SENT	.
The	DT	the
combination	NN	combination
of	IN	of
renewable	JJ	renewable
energy	NN	energy
and	CC	and
energy	NN	energy
efficiency	NN	efficiency
is	VBZ	be
a	DT	a
better	JJR	good
choice	NN	choice
for	IN	for
energy	NN	energy
security	NN	security
.	SENT	.
If	IN	if
the	DT	the
potential	NN	potential
of	IN	of
these	DT	these
two	CD	two
are	VBP	be
combined	JJ	combined
,	,	,
total	JJ	total
global	JJ	global
energy	NN	energy
demand	NN	demand
could	MD	could
be	VB	be
reduced	VBN	reduce
by	IN	by
up	RB	up
to	TO	to
a	DT	a
quarter	NN	quarter
by	IN	by
2030	CD	@card@
.	SENT	.
Energy	NN	energy
efficiency	NN	efficiency
measures	NNS	measure
would	MD	would
account	VB	account
for	IN	for
half	NN	half
to	TO	to
three-quarters	NNS	three-quarter
of	IN	of
the	DT	the
total	JJ	total
energy	NN	energy
savings	NNS	saving
,	,	,
with	IN	with
renewables	NNS	<unknown>
delivering	VBG	deliver
the	DT	the
rest	NN	rest
.	SENT	.
This	DT	this
could	MD	could
have	VB	have
huge	JJ	huge
implications	NNS	implication
for	IN	for
safeguarding	VBG	safeguard
the	DT	the
climate	NN	climate
,	,	,
with	IN	with
fossil	JJ	fossil
fuels	NNS	fuel
being	VBG	be
the	DT	the
number	NN	number
one	CD	one
contributor	NN	contributor
to	TO	to
global	JJ	global
heating	NN	heating
.	SENT	.
A	DT	a
fast	JJ	fast
and	CC	and
just	RB	just
transition	NN	transition
to	TO	to
renewable	JJ	renewable
energy	NN	energy
is	VBZ	be
possible	JJ	possible
.	SENT	.
Installing	VBG	install
renewable	JJ	renewable
capacity	NN	capacity
is	VBZ	be
much	RB	much
faster	RBR	faster
than	IN	than
building	VBG	build
new	JJ	new
fossil	JJ	fossil
fuel	NN	fuel
infrastructure	NN	infrastructure
–	:	-
In	IN	in
the	DT	the
UK	NP	UK
it	PP	it
takes	VBZ	take
on	IN	on
average	JJ	average
28	CD	@card@
years	NNS	year
to	TO	to
develop	VB	develop
a	DT	a
new	JJ	new
oil	NN	oil
well	RB	well
,	,	,
versus	CC	versus
two	CD	two
years	NNS	year
to	TO	to
build	VB	build
a	DT	a
solar	JJ	solar
farm	NN	farm
.	SENT	.
And	CC	and
if	IN	if
the	DT	the
world	NN	world
invests	VBZ	invest
in	IN	in
more	JJR	more
renewable	JJ	renewable
energy	NN	energy
it	PP	it
will	MD	will
become	VB	become
an	DT	an
even	RB	even
cheaper	JJR	cheap
,	,	,
more	RBR	more
viable	JJ	viable
option	NN	option
.	SENT	.
Morocco	NP	Morocco
and	CC	and
Egypt	NP	Egypt
are	VBP	be
rapidly	RB	rapidly
scaling	VBG	scale
up	RP	up
their	PP$	their
renewable	JJ	renewable
energy	NN	energy
capacity	NN	capacity
,	,	,
and	CC	and
showing	VBG	show
how	WRB	how
collaboration	NN	collaboration
can	MD	can
help	VB	help
everyone	NN	everyone
go	VB	go
farther	RBR	farther
and	CC	and
faster	RBR	faster
together	RB	together
.	SENT	.
This	DT	this
is	VBZ	be
a	DT	a
chance	NN	chance
for	IN	for
governments	NNS	government
to	TO	to
break	VB	break
the	DT	the
cycle	NN	cycle
of	IN	of
fossil	JJ	fossil
fuel	NN	fuel
destruction	NN	destruction
and	CC	and
transition	NN	transition
to	TO	to
a	DT	a
green	JJ	green
peaceful	JJ	peaceful
future	NN	future
.	SENT	.
Governments	NNS	government
must	MD	must
act	VB	act
for	IN	for
peace	NN	peace
and	CC	and
a	DT	a
safe	JJ	safe
climate	NN	climate
with	IN	with
a	DT	a
transition	NN	transition
to	TO	to
efficient	JJ	efficient
and	CC	and
renewable	JJ	renewable
energy	NN	energy
as	IN	as
quickly	RB	quickly
as	RB	as
possible	JJ	possible
.	SENT	.
Marie	NP	Marie
Bout	NN	bout
is	VBZ	be
Global	JJ	global
Climate	NN	climate
Communications	NP	Communications
Strategist	NN	strategist
at	IN	at
Greenpeace	NP	Greenpeace
International	NP	International
At	IN	at
the	DT	the
time	NN	time
,	,	,
she	PP	she
was	VBD	be
addressing	VBG	address
The	DT	the
Intergovernmental	NP	Intergovernmental
Panel	NP	Panel
on	IN	on
Climate	NN	climate
Change	VB	change
from	IN	from
her	PP$	her
home	NN	home
in	IN	in
Kyiv	NP	<unknown>
,	,	,
and	CC	and
had	VBD	have
to	TO	to
withdraw	VB	withdraw
from	IN	from
the	DT	the
approval	NN	approval
session	NN	session
of	IN	of
the	DT	the
latest	JJS	late
report	NN	report
as	IN	as
bombs	NNS	bomb
hit	VBD	hit
her	PP$	her
city	NN	city
.	SENT	.
[	SYM	[
1	CD	@card@
]	SYM	]
According	VBG	accord
to	TO	to
a	DT	a
2017	CD	@card@
report	NN	report
posted	VBD	post
by	IN	by
the	DT	the
company	NN	company
in	IN	in
Russian	NP	Russian
,	,	,
companies	NNS	company
in	IN	in
the	DT	the
Rosneft	NP	<unknown>
group	NN	group
supplied	VBD	supply
the	DT	the
Russian	NP	Russian
Ministry	NP	Ministry
of	IN	of
Defence	NN	defence
,	,	,
the	DT	the
Investigative	JJ	investigative
Committee	NN	committee
of	IN	of
the	DT	the
Russian	NP	Russian
Federation	NP	Federation
,	,	,
the	DT	the
Russian	JJ	Russian
Emergencies	NNS	emergency
Ministry	NP	Ministry
,	,	,
the	DT	the
Russian	NP	Russian
Ministry	NP	Ministry
of	IN	of
Internal	NP	Internal
Affairs	NPS	Affairs
,	,	,
the	DT	the
Russian	NP	Russian
Guard	NP	Guard
and	CC	and
was	VBD	be
at	IN	at
the	DT	the
time	NN	time
the	DT	the
sole	JJ	sole
supplier	NN	supplier
of	IN	of
motor	NN	motor
fuels	NNS	fuel
to	TO	to
the	DT	the
National	NP	National
Guard	NP	Guard
,	,	,
which	WDT	which
has	VBZ	have
since	RB	since
been	VBN	be
deployed	VBN	deploy
on	IN	on
the	DT	the
border	NN	border
with	IN	with
Ukraine	NP	Ukraine
.	SENT	.
A	DT	a
month	NN	month
later	RBR	later
the	DT	the
war	NN	war
in	IN	in
Ukraine	NP	Ukraine
is	VBZ	be
now	RB	now
a	DT	a
humanitarian	JJ	humanitarian
crisis	NN	crisis
:	:	:
more	JJR	more
than	IN	than
3.7	CD	@card@
million	CD	million
people	NNS	people
who	WP	who
have	VBP	have
fled	VBN	flee
the	DT	the
country	NN	country
,	,	,
and	CC	and
roughly	RB	roughly
13	CD	@card@
million	CD	million
people	NNS	people
are	VBP	be
estimated	VBN	estimate
to	TO	to
be	VB	be
unable	JJ	unable
to	TO	to
leave	VB	leave
with	IN	with
limited	JJ	limited
access	NN	access
to	TO	to
food	NN	food
,	,	,
water	NN	water
,	,	,
and	CC	and
medical	JJ	medical
care	NN	care
.	SENT	.
There	EX	there
’s	VBZ	be
a	DT	a
direct	JJ	direct
relationship	NN	relationship
between	IN	between
fossil	JJ	fossil
fuels	NNS	fuel
and	CC	and
the	DT	the
Russian	JJ	Russian
war	NN	war
machine	NN	machine
.	SENT	.
Rosneft	NP	<unknown>
,	,	,
one	CD	one
of	IN	of
Russia	NP	Russia
’s	POS	's
main	JJ	main
petroleum	NN	petroleum
companies	NNS	company
,	,	,
is	VBZ	be
reported	VBN	report
to	TO	to
be	VB	be
one	CD	one
of	IN	of
the	DT	the
main	JJ	main
suppliers	NNS	supplier
of	IN	of
fuel	NN	fuel
to	TO	to
the	DT	the
Russian	JJ	Russian
army	NN	army
.	SENT	.
Rosneft	NP	<unknown>
also	RB	also
supplies	VBZ	supply
petroleum	NN	petroleum
to	TO	to
companies	NNS	company
like	IN	like
BP	NP	BP
.	SENT	.
So	IN	so
every	DT	every
time	NN	time
Russian	JJ	Russian
oil	NN	oil
or	CC	or
gas	NN	gas
are	VBP	be
bought	VBN	buy
it	PP	it
’s	VBZ	be
not	RB	not
just	RB	just
contributing	VBG	contribute
funds	NNS	fund
to	TO	to
the	DT	the
war	NN	war
chest	NN	chest
,	,	,
it	PP	it
may	MD	may
be	VB	be
keeping	VBG	keep
military	JJ	military
machinery	NN	machinery
running	NN	running
.	SENT	.
Rosneft	NN	<unknown>
and	CC	and
subsidiary	NN	subsidiary
company	NN	company
Rosneft-Aero	NP	<unknown>
and	CC	and
Transneft	NP	<unknown>
reportedly	RB	reportedly
delivered	VBD	deliver
fuel	NN	fuel
to	TO	to
the	DT	the
Russian	JJ	Russian
Army	NN	army
before	IN	before
and	CC	and
during	IN	during
the	DT	the
invasion	NN	invasion
.	SENT	.
[	SYM	[
1	CD	@card@
]	SYM	]
To	TO	to
stop	VB	stop
this	DT	this
war	NN	war
we	PP	we
need	VBP	need
a	DT	a
global	JJ	global
divestment	NN	divestment
from	IN	from
,	,	,
and	CC	and
an	DT	an
embargo	NN	embargo
on	IN	on
,	,	,
Russian	JJ	Russian
fossil	JJ	fossil
fuels	NNS	fuel
as	IN	as
soon	RB	soon
as	RB	as
possible	JJ	possible
,	,	,
as	RB	as
well	RB	well
as	IN	as
urgent	JJ	urgent
delivery	NN	delivery
of	IN	of
humanitarian	JJ	humanitarian
aid	NN	aid
to	TO	to
those	DT	those
in	IN	in
need	NN	need
.	SENT	.
The	DT	the
struggle	NN	struggle
over	IN	over
energy	NN	energy
resources	NNS	resource
has	VBZ	have
been	VBN	be
a	DT	a
conspicuous	JJ	conspicuous
factor	NN	factor
in	IN	in
many	JJ	many
recent	JJ	recent
conflicts	NNS	conflict
,	,	,
including	VBG	include
the	DT	the
Iran-Iraq	NP	Iran-Iraq
War	NP	War
of	IN	of
1980-1988	CD	@card@
,	,	,
the	DT	the
Gulf	NP	Gulf
War	NP	War
of	IN	of
1990-1991	CD	@card@
,	,	,
and	CC	and
the	DT	the
Sudanese	JJ	Sudanese
Civil	NP	Civil
War	NP	War
of	IN	of
1983-2005	CD	@card@
.	SENT	.
Greenpeace	NP	Greenpeace
has	VBZ	have
spoken	VBN	speak
out	RP	out
about	IN	about
such	JJ	such
conflicts	NNS	conflict
in	IN	in
the	DT	the
past	NN	past
,	,	,
especially	RB	especially
during	IN	during
the	DT	the
last	JJ	last
Iraq	NP	Iraq
war	NN	war
.	SENT	.
The	DT	the
1990	CD	@card@
Gulf	NP	Gulf
war	NN	war
was	VBD	be
largely	RB	largely
a	DT	a
conflict	NN	conflict
about	IN	about
oil	NN	oil
.	SENT	.
The	DT	the
issues	NNS	issue
which	WDT	which
provided	VBD	provide
Iraq	NP	Iraq
with	IN	with
the	DT	the
pretext	NN	pretext
for	IN	for
its	PP$	its
invasion	NN	invasion
of	IN	of
Kuwait	NP	Kuwait
were	VBD	be
oil	NN	oil
pricing	NN	pricing
policies	NNS	policy
and	CC	and
oil	NN	oil
revenues	NNS	revenue
.	SENT	.
Though	IN	though
oil	NN	oil
was	VBD	be
not	RB	not
the	DT	the
sole	JJ	sole
reason	NN	reason
for	IN	for
Iraq	NP	Iraq
’s	POS	's
actions	NNS	action
,	,	,
it	PP	it
was	VBD	be
a	DT	a
powerful	JJ	powerful
motivator	NN	motivator
for	IN	for
swift	JJ	swift
action	NN	action
from	IN	from
the	DT	the
United	NP	United
States	NPS	States
and	CC	and
its	PP$	its
allies	NNS	ally
who	WP	who
moved	VBD	move
quickly	RB	quickly
to	TO	to
protect	VB	protect
its	PP$	its
own	JJ	own
and	CC	and
OECD	NP	OECD
countries	NNS	country
’	POS	'
access	NN	access
to	TO	to
important	JJ	important
oil	NN	oil
supplies	NNS	supply
.	SENT	.
And	CC	and
the	DT	the
large-scale	JJ	large-scale
exploitation	NN	exploitation
of	IN	of
oil	NN	oil
by	IN	by
foreign	JJ	foreign
companies	NNS	company
operating	VBG	operate
in	IN	in
southern	JJ	southern
Sudan	NP	Sudan
has	VBZ	have
increased	VBN	increase
human	JJ	human
rights	NNS	right
abuses	NNS	abuse
there	RB	there
and	CC	and
has	VBZ	have
exacerbated	VBN	exacerbate
the	DT	the
long-running	JJ	long-running
conflict	NN	conflict
in	IN	in
Sudan	NP	Sudan
,	,	,
resulting	VBG	result
in	IN	in
two	CD	two
million	CD	million
people	NNS	people
dying	VBG	die
and	CC	and
four	CD	four
million	CD	million
displaced	VBN	displace
since	IN	since
1983	CD	@card@
,	,	,
as	RB	as
well	RB	well
as	IN	as
recurring	VBG	recur
famine	NN	famine
and	CC	and
epidemics	NNS	epidemic
.	SENT	.
According	VBG	accord
to	TO	to
research	NN	research
in	IN	in
2021	CD	@card@
by	IN	by
Greenpeace	NP	Greenpeace
Italy	NP	Italy
,	,	,
Greenpeace	NP	Greenpeace
Spain	NP	Spain
and	CC	and
Greenpeace	NP	Greenpeace
Germany	NP	Germany
,	,	,
almost	RB	almost
two-thirds	NNS	two-third
of	IN	of
all	DT	all
EU	NP	EU
military	JJ	military
missions	NNS	mission
monitor	VBP	monitor
and	CC	and
secure	VBP	secure
the	DT	the
production	NN	production
and	CC	and
transport	NN	transport
of	IN	of
oil	NN	oil
and	CC	and
gas	NN	gas
to	TO	to
Europe	NP	Europe
.	SENT	.
The	DT	the
governments	NNS	government
of	IN	of
Italy	NP	Italy
,	,	,
Spain	NP	Spain
and	CC	and
Germany	NP	Germany
have	VBP	have
invested	VBN	invest
more	JJR	more
than	IN	than
€4	JJ	<unknown>
billion	NNS	billion
to	TO	to
protect	VB	protect
climate-damaging	VBG	climate-damage
fossil	JJ	fossil
fuels	NNS	fuel
since	IN	since
2018	CD	@card@
.	SENT	.
Early	RB	early
in	IN	in
the	DT	the
war	NN	war
in	IN	in
Ukraine	NP	Ukraine
,	,	,
oil	NN	oil
companies	NNS	company
jumped	VBD	jump
on	IN	on
the	DT	the
opportunity	NN	opportunity
to	TO	to
expand	VB	expand
their	PP$	their
operations	NNS	operation
,	,	,
using	VBG	use
a	DT	a
looming	VBG	loom
energy	NN	energy
crisis	NN	crisis
as	IN	as
a	DT	a
reason	NN	reason
to	TO	to
pedal	VB	pedal
their	PP$	their
polluting	VBG	pollute
business	NN	business
.	SENT	.
Shell	NP	Shell
even	RB	even
bought	VBD	buy
oil	NN	oil
from	IN	from
Russia	NP	Russia
after	IN	after
the	DT	the
invasion	NN	invasion
,	,	,
and	CC	and
only	RB	only
apologised	VBN	apologise
and	CC	and
pledged	VBN	pledge
to	TO	to
cut	VB	cut
ties	NNS	tie
with	IN	with
Russia	NP	Russia
after	IN	after
huge	JJ	huge
public	JJ	public
backlash	NN	backlash
that	WDT	that
could	MD	could
affect	VB	affect
their	PP$	their
bottom	JJ	bottom
line	NN	line
.	SENT	.
Now	RB	now
other	JJ	other
oil	NN	oil
companies	NNS	company
such	JJ	such
as	IN	as
BP	NP	BP
and	CC	and
Total	JJ	total
Energies	NNS	energy
promise	VBP	promise
to	TO	to
be	VB	be
divesting	VBG	divest
from	IN	from
Russia	NP	Russia
,	,	,
after	IN	after
being	VBG	be
directly	RB	directly
linked	VBN	link
to	TO	to
the	DT	the
Ukraine	NP	Ukraine
war	NN	war
.	SENT	.
