Turtles	NPS	Turtles
based	VBN	base
in	IN	in
Hong	NP	Hong
Kong	NP	Kong
You	PP	you
’d	MD	will
be	VB	be
forgiven	VBN	forgive
if	IN	if
you	PP	you
believed	VBD	believe
humans	NNS	human
were	VBD	be
somehow	RB	somehow
immune	JJ	immune
to	TO	to
this	DT	this
tragedy	NN	tragedy
,	,	,
as	IN	as
their	PP$	their
stories	NNS	story
are	VBP	be
so	RB	so
rarely	RB	rarely
broadcast	VBN	broadcast
.	SENT	.
Our	PP$	our
social	JJ	social
media	NNS	medium
feeds	NNS	feed
are	VBP	be
rightfully	RB	rightfully
overflowing	VBG	overflow
(	(	(
at	IN	at
least	JJS	least
mine	NN	mine
is	VBZ	be
)	)	)
with	IN	with
videos	NNS	video
of	IN	of
turtles	NNS	turtle
with	IN	with
straws	NNS	straw
jammed	VBN	jam
in	IN	in
their	PP$	their
nostrils	NNS	nostril
or	CC	or
photos	NNS	photo
of	IN	of
dead	JJ	dead
birds	NNS	bird
and	CC	and
whales	NNS	whale
with	IN	with
single-use	NN	<unknown>
plastics	NNS	plastic
in	IN	in
their	PP$	their
stomach	NN	stomach
.	SENT	.
This	DT	this
coverage	NN	coverage
is	VBZ	be
heart-wrenching	VBG	heart-wrench
,	,	,
and	CC	and
essential	JJ	essential
,	,	,
but	CC	but
it	PP	it
fails	VBZ	fail
to	TO	to
tell	VB	tell
the	DT	the
whole	JJ	whole
story	NN	story
of	IN	of
the	DT	the
plastics	NNS	plastic
pollution	NN	pollution
crisis	NN	crisis
.	SENT	.
Both	CC	both
around	IN	around
the	DT	the
world	NN	world
and	CC	and
in	IN	in
our	PP$	our
own	JJ	own
countries	NNS	country
,	,	,
waste	NN	waste
often	RB	often
flows	VBZ	flow
into	IN	into
the	DT	the
communities	NNS	community
without	IN	without
the	DT	the
money	NN	money
or	CC	or
government	NN	government
support	NN	support
to	TO	to
protect	VB	protect
themselves	PP	themselves
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
wake	VB	wake
up	RP	up
to	TO	to
the	DT	the
fact	NN	fact
that	IN	that
plastic	JJ	plastic
pollution	NN	pollution
is	VBZ	be
an	DT	an
environmental	JJ	environmental
justice	NN	justice
issue	NN	issue
.	SENT	.
A	DT	a
new	JJ	new
research	NN	research
collaboration	NN	collaboration
between	IN	between
Greenpeace	NP	Greenpeace
East	NP	East
Asia	NP	Asia
and	CC	and
the	DT	the
Global	NP	Global
Alliance	NP	Alliance
for	IN	for
Incinerator	NN	incinerator
Alternatives	NNS	alternative
(	(	(
GAIA	NP	Gaia
)	)	)
has	VBZ	have
detailed	VBN	detail
the	DT	the
flow	NN	flow
of	IN	of
“	``	"
recyclable	JJ	recyclable
”	''	"
plastics	NNS	plastic
around	IN	around
the	DT	the
world	NN	world
and	CC	and
its	PP$	its
impact	NN	impact
on	IN	on
people	NNS	people
.	SENT	.
At	IN	at
the	DT	the
beginning	NN	beginning
of	IN	of
2018	CD	@card@
,	,	,
China	NP	China
stopped	VBD	stop
accepting	VBG	accept
the	DT	the
world	NN	world
’s	POS	's
waste	NN	waste
including	VBG	include
plastic	NN	plastic
,	,	,
paper	NN	paper
and	CC	and
textile	NN	textile
.	SENT	.
Previously	RB	previously
,	,	,
Chinese	JJ	Chinese
recyclers	NNS	recycler
had	VBD	have
accepted	VBN	accept
recycled	JJ	recycled
plastic	JJ	plastic
waste	NN	waste
from	IN	from
the	DT	the
world	NN	world
’s	POS	's
top	JJ	top
exporters	NNS	exporter
–	:	-
USA	NP	USA
,	,	,
UK	NP	UK
,	,	,
Germany	NP	Germany
,	,	,
and	CC	and
Japan	NP	Japan
to	TO	to
feed	VB	feed
the	DT	the
country	NN	country
’s	POS	's
demand	NN	demand
for	IN	for
materials	NNS	material
.	SENT	.
All	DT	all
of	IN	of
that	DT	that
practically	RB	practically
stopped	VBN	stop
in	IN	in
2018	CD	@card@
,	,	,
and	CC	and
waste	NN	waste
started	VBD	start
to	TO	to
flood	VB	flood
into	IN	into
Southeast	NP	Southeast
Asia	NP	Asia
.	SENT	.
First	RB	first
,	,	,
it	PP	it
went	VBD	go
to	TO	to
Thailand	NP	Thailand
,	,	,
Malaysia	NP	Malaysia
,	,	,
and	CC	and
Vietnam	NP	Vietnam
,	,	,
who	WP	who
all	RB	all
set	VBD	set
up	RP	up
restrictions	NNS	restriction
to	TO	to
limit	VB	limit
the	DT	the
plastic	JJ	plastic
waste	NN	waste
from	IN	from
coming	VBG	come
in	RP	in
.	SENT	.
Once	RB	once
they	PP	they
had	VBD	have
some	DT	some
success	NN	success
in	IN	in
slowing	VBG	slow
down	RP	down
the	DT	the
flow	NN	flow
,	,	,
it	PP	it
went	VBD	go
to	TO	to
the	DT	the
next	JJ	next
victim	NN	victim
:	:	:
most	RBS	most
noticeably	RB	noticeably
Indonesia	NP	Indonesia
.	SENT	.
GAIA	NP	Gaia
investigated	VBD	investigate
the	DT	the
impact	NN	impact
of	IN	of
the	DT	the
plastics	NNS	plastic
waste	NN	waste
flowing	VBG	flow
into	IN	into
these	DT	these
communities	NNS	community
,	,	,
where	WRB	where
it	PP	it
found	VBD	find
waste	NN	waste
piled	VBD	pile
ten	CD	ten
feet	NNS	foot
high	JJ	high
,	,	,
crops	NNS	crop
poisoned	VBD	poison
,	,	,
and	CC	and
open	JJ	open
plastic	JJ	plastic
burning	NN	burning
,	,	,
which	WDT	which
seriously	RB	seriously
affects	VBZ	affect
people	NNS	people
living	VBG	live
nearby	RB	nearby
,	,	,
as	IN	as
toxic	JJ	toxic
gases	NNS	gas
release	NN	release
into	IN	into
the	DT	the
air	NN	air
while	IN	while
plastic	JJ	plastic
burns	NNS	burn
.	SENT	.
Not	RB	not
knowing	VBG	know
where	WRB	where
to	TO	to
export	VB	export
plastics	NNS	plastic
to	TO	to
,	,	,
many	JJ	many
exporting	VBG	export
countries	NNS	country
in	IN	in
North	NP	North
America	NP	America
and	CC	and
Europe	NP	Europe
have	VBP	have
watched	VBN	watch
the	DT	the
waste	NN	waste
pile	VB	pile
up	RP	up
at	IN	at
home	NN	home
.	SENT	.
News	NN	news
reports	NNS	report
have	VBP	have
shown	VBN	show
that	IN	that
it	PP	it
piles	VBZ	pile
up	RP	up
in	IN	in
less-wealthy	JJ	less-wealthy
,	,	,
more	JJR	more
at-risk	NN	at-risk
communities	NNS	community
.	SENT	.
There	RB	there
,	,	,
it	PP	it
becomes	VBZ	become
a	DT	a
public	JJ	public
health	NN	health
problem	NN	problem
.	SENT	.
The	DT	the
recycling	NN	recycling
system	NN	system
only	RB	only
works	VBZ	work
to	TO	to
target	VB	target
the	DT	the
vulnerable	JJ	vulnerable
—	:	-
around	IN	around
the	DT	the
world	NN	world
and	CC	and
around	IN	around
your	PP$	your
city	NN	city
.	SENT	.
Corporations	NNS	corporation
like	IN	like
Nestlé	NP	<unknown>
and	CC	and
Unilever	NP	Unilever
profit	NN	profit
wildly	RB	wildly
from	IN	from
single-use	NN	<unknown>
plastic	NN	plastic
packaging	NN	packaging
,	,	,
while	IN	while
peddling	VBG	peddle
the	DT	the
myth	NN	myth
of	IN	of
recycling	NN	recycling
as	IN	as
a	DT	a
solution	NN	solution
.	SENT	.
But	CC	but
anyone	NN	anyone
who	WP	who
has	VBZ	have
thought	VBN	think
seriously	RB	seriously
about	IN	about
the	DT	the
issue	NN	issue
can	MD	can
see	VB	see
that	DT	that
recycling	NN	recycling
could	MD	could
never	RB	never
handle	VB	handle
the	DT	the
amount	NN	amount
of	IN	of
plastic	NN	plastic
surrounding	VBG	surround
our	PP$	our
everyday	JJ	everyday
life	NN	life
.	SENT	.
