Fifty	CD	fifty
changed	VBD	change
the	DT	the
world	NN	world
in	IN	in
many	JJ	many
ways	NNS	way
,	,	,
from	IN	from
the	DT	the
moratorium	NN	moratorium
on	IN	on
whaling	VBG	whale
and	CC	and
stopping	VBG	stop
nuclear	JJ	nuclear
testing	NN	testing
to	TO	to
the	DT	the
Antarctic	NP	Antarctic
Treaty	NP	Treaty
and	CC	and
the	DT	the
banning	NN	banning
of	IN	of
toxic	JJ	toxic
dumping	VBG	dump
at	IN	at
sea	NN	sea
.	SENT	.
They	PP	they
changed	VBD	change
Greenpeace	NP	Greenpeace
in	IN	in
many	JJ	many
more	JJR	more
ways	NNS	way
–	:	-
from	IN	from
a	DT	a
small	JJ	small
group	NN	group
of	IN	of
predominantly	RB	predominantly
male	JJ	male
,	,	,
white	JJ	white
,	,	,
Canadians	NNS	Canadian
and	CC	and
Americans	NPS	Americans
taking	VBG	take
action	NN	action
on	IN	on
local	JJ	local
issues	NNS	issue
to	TO	to
a	DT	a
globally	RB	globally
diverse	JJ	diverse
organisation	NN	organisation
operating	VBG	operate
in	IN	in
every	DT	every
continent	NN	continent
on	IN	on
earth	NN	earth
and	CC	and
working	VBG	work
on	IN	on
root	NN	root
causes	NNS	cause
–	:	-
the	DT	the
very	JJ	very
power	NN	power
structures	NNS	structure
and	CC	and
mindsets	NNS	<unknown>
which	WDT	which
enable	VBP	enable
ongoing	JJ	ongoing
environmental	JJ	environmental
destruction	NN	destruction
.	SENT	.
They	PP	they
learned	VBD	learn
hard	JJ	hard
lessons	NNS	lesson
about	IN	about
how	WRB	how
to	TO	to
become	VB	become
a	DT	a
better	JJR	good
,	,	,
more	RBR	more
diverse	JJ	diverse
,	,	,
more	RBR	more
just	RB	just
and	CC	and
equitable	JJ	equitable
,	,	,
and	CC	and
more	RBR	more
effective	JJ	effective
organisation	NN	organisation
.	SENT	.
They	PP	they
made	VBD	make
mistakes	NNS	mistake
,	,	,
and	CC	and
we	PP	we
will	MD	will
too	RB	too
,	,	,
those	DT	those
will	MD	will
be	VB	be
the	DT	the
lessons	NNS	lesson
we	PP	we
pass	VBP	pass
to	TO	to
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
Greenpeace	NP	Greenpeace
,	,	,
to	TO	to
the	DT	the
next	JJ	next
generation	NN	generation
of	IN	of
the	DT	the
movement	NN	movement
.	SENT	.
Most	RBS	most
importantly	RB	importantly
they	PP	they
prepared	VBD	prepare
us	PP	us
for	IN	for
today	NN	today
.	SENT	.
This	DT	this
moment	NN	moment
in	IN	in
history	NN	history
demands	VBZ	demand
a	DT	a
Greenpeace	NP	Greenpeace
which	WDT	which
is	VBZ	be
the	DT	the
best	JJS	good
it	PP	it
has	VBZ	have
ever	RB	ever
been	VBN	be
,	,	,
the	DT	the
most	RBS	most
creative	JJ	creative
,	,	,
the	DT	the
most	RBS	most
determined	VBN	determine
,	,	,
the	DT	the
most	RBS	most
effective	JJ	effective
.	SENT	.
But	CC	but
we	PP	we
are	VBP	be
ready	JJ	ready
.	SENT	.
With	IN	with
our	PP$	our
allies	NNS	ally
,	,	,
our	PP$	our
campaigners	NNS	campaigner
,	,	,
our	PP$	our
activists	NNS	activist
,	,	,
our	PP$	our
tens	NNS	ten
of	IN	of
millions	NNS	million
of	IN	of
supporters	NNS	supporter
around	IN	around
the	DT	the
world	NN	world
,	,	,
and	CC	and
with	IN	with
the	DT	the
billions	NNS	billion
who	WP	who
we	PP	we
hope	VBP	hope
will	MD	will
join	VB	join
the	DT	the
fight	NN	fight
–	:	-
we	PP	we
are	VBP	be
ready	JJ	ready
.	SENT	.
I	PP	I
am	VBP	be
here	RB	here
to	TO	to
put	VB	put
my	PP$	my
hope	NN	hope
into	IN	into
action	NN	action
.	SENT	.
Today	NN	today
,	,	,
as	IN	as
we	PP	we
mark	VBP	mark
50	CD	@card@
years	NNS	year
since	IN	since
Greenpeace	NP	Greenpeace
’s	POS	's
founding	JJ	founding
voyage	NN	voyage
,	,	,
we	PP	we
stand	VBP	stand
on	IN	on
a	DT	a
precipice	NN	precipice
.	SENT	.
The	DT	the
impacts	NNS	impact
of	IN	of
climate	NN	climate
change	NN	change
and	CC	and
biodiversity	NN	biodiversity
collapse	NN	collapse
are	VBP	be
already	RB	already
taking	VBG	take
their	PP$	their
toll	NN	toll
on	IN	on
people	NNS	people
and	CC	and
ecosystems	NNS	ecosystem
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
This	DT	this
destruction	NN	destruction
is	VBZ	be
enabled	VBN	enable
by	IN	by
power	NN	power
structures	NNS	structure
and	CC	and
mindsets	NNS	<unknown>
which	WDT	which
far	RB	far
too	RB	too
often	RB	often
put	VB	put
pollution	NN	pollution
and	CC	and
profit	NN	profit
in	IN	in
front	NN	front
of	IN	of
people	NNS	people
and	CC	and
planet	NN	planet
.	SENT	.
This	DT	this
is	VBZ	be
not	RB	not
a	DT	a
time	NN	time
when	WRB	when
it	PP	it
feels	VBZ	feel
right	RB	right
to	TO	to
celebrate	VB	celebrate
,	,	,
but	CC	but
it	PP	it
is	VBZ	be
a	DT	a
time	NN	time
to	TO	to
remember	VB	remember
the	DT	the
past	NN	past
so	IN	so
we	PP	we
can	MD	can
look	VB	look
to	TO	to
the	DT	the
future	NN	future
with	IN	with
hope	NN	hope
,	,	,
and	CC	and
with	IN	with
action	NN	action
.	SENT	.
Today	NN	today
we	PP	we
need	VBP	need
huge	JJ	huge
,	,	,
unprecedented	JJ	unprecedented
change	NN	change
.	SENT	.
For	IN	for
billions	NNS	billion
to	TO	to
unite	VB	unite
as	IN	as
a	DT	a
movement	NN	movement
,	,	,
taking	VBG	take
action	NN	action
around	IN	around
the	DT	the
world	NN	world
and	CC	and
demanding	VBG	demand
a	DT	a
green	JJ	green
and	CC	and
peaceful	JJ	peaceful
future	NN	future
.	SENT	.
And	CC	and
it	PP	it
is	VBZ	be
possible	JJ	possible
.	SENT	.
The	DT	the
last	JJ	last
50	CD	@card@
years	NNS	year
of	IN	of
Greenpeace	NP	Greenpeace
is	VBZ	be
the	DT	the
story	NN	story
of	IN	of
ordinary	JJ	ordinary
people	NNS	people
doing	VBG	do
extraordinary	JJ	extraordinary
things	NNS	thing
,	,	,
but	CC	but
we	PP	we
were	VBD	be
never	RB	never
a	DT	a
lone	JJ	lone
hero	NN	hero
,	,	,
we	PP	we
have	VBP	have
always	RB	always
been	VBN	be
part	NN	part
of	IN	of
a	DT	a
movement	NN	movement
of	IN	of
people	NNS	people
willing	JJ	willing
to	TO	to
combine	VB	combine
their	PP$	their
dream	NN	dream
of	IN	of
a	DT	a
better	JJR	good
future	NN	future
with	IN	with
action	NN	action
.	SENT	.
We	PP	we
find	VBP	find
that	IN	that
same	JJ	same
hope	NN	hope
when	WRB	when
we	PP	we
trace	VBP	trace
our	PP$	our
roots	NNS	root
back	RB	back
to	TO	to
the	DT	the
peace	NN	peace
,	,	,
environment	NN	environment
,	,	,
youth	NN	youth
,	,	,
anti-war	JJ	anti-war
,	,	,
civil	JJ	civil
rights	NNS	right
,	,	,
and	CC	and
women	NNS	woman
’s	POS	's
rights	NNS	right
movements	NNS	movement
,	,	,
we	PP	we
find	VBP	find
that	IN	that
same	JJ	same
hope	NN	hope
in	IN	in
the	DT	the
campaigns	NNS	campaign
and	CC	and
actions	NNS	action
we	PP	we
see	VBP	see
happening	VBG	happen
around	RP	around
the	DT	the
world	NN	world
today	NN	today
.	SENT	.
When	WRB	when
our	PP$	our
founders	NNS	founder
fused	VBD	fuse
the	DT	the
words	NNS	word
‘	``	'
green	JJ	green
’	''	'
and	CC	and
‘	``	'
peace	NN	peace
’	''	'
they	PP	they
sought	VBD	seek
to	TO	to
address	VB	address
a	DT	a
complex	JJ	complex
relationship	NN	relationship
–	:	-
that	IN	that
we	PP	we
are	VBP	be
part	NN	part
of	IN	of
nature	NN	nature
,	,	,
not	RB	not
apart	RB	apart
from	IN	from
it	PP	it
,	,	,
and	CC	and
that	IN	that
there	EX	there
can	MD	can
be	VB	be
no	RB	no
green	JJ	green
without	IN	without
peace	NN	peace
or	CC	or
peace	NN	peace
without	IN	without
green	NN	green
.	SENT	.
When	WRB	when
Marie	NP	Marie
Bohlen	NP	Bohlen
suggested	VBD	suggest
sailing	VBG	sail
a	DT	a
boat	NN	boat
into	IN	into
a	DT	a
nuclear	JJ	nuclear
test	NN	test
zone	NN	zone
,	,	,
to	TO	to
what	WP	what
was	VBD	be
then	RB	then
called	VBN	call
the	DT	the
Do	VBP	do
n’t	RB	n't
Make	VB	make
A	DT	a
Wave	NP	Wave
Committee	NP	Committee
,	,	,
nobody	NN	nobody
who	WP	who
agreed	VBD	agree
intended	VBN	intend
to	TO	to
create	VB	create
an	DT	an
organization	NN	organization
.	SENT	.
But	CC	but
they	PP	they
did	VBD	do
intend	VB	intend
to	TO	to
reach	VB	reach
people	NNS	people
,	,	,
they	PP	they
were	VBD	be
thinking	VBG	think
about	RB	about
more	RBR	more
than	IN	than
just	RB	just
that	DT	that
nuclear	JJ	nuclear
test	NN	test
,	,	,
they	PP	they
hoped	VBD	hope
their	PP$	their
action	NN	action
would	MD	would
inspire	VB	inspire
millions	NNS	million
of	IN	of
people	NNS	people
and	CC	and
that	IN	that
it	PP	it
would	MD	would
not	RB	not
only	RB	only
stop	VB	stop
the	DT	the
one	CD	one
test	NN	test
,	,	,
but	CC	but
that	IN	that
it	PP	it
would	MD	would
disrupt	VB	disrupt
and	CC	and
change	VB	change
the	DT	the
whole	JJ	whole
system	NN	system
.	SENT	.
