Earlier	RBR	earlier
emissions	NNS	emission
need	VBP	need
to	TO	to
start	VB	start
declining	VBG	decline
now	RB	now
.	SENT	.
But	CC	but
here	RB	here
’s	VBZ	be
the	DT	the
thing	NN	thing
on	IN	on
the	DT	the
IPCC	NP	<unknown>
report	NN	report
that	WDT	that
has	VBZ	have
n’t	RB	n't
received	VBN	receive
enough	JJ	enough
attention	NN	attention
yet	RB	yet
:	:	:
We	PP	we
Can	MD	can
!	SENT	!
According	VBG	accord
to	TO	to
the	DT	the
IPCC	NN	<unknown>
,	,	,
we	PP	we
have	VBP	have
all	PDT	all
the	DT	the
tools	NNS	tool
we	PP	we
need	VBP	need
to	TO	to
halve	VB	halve
global	JJ	global
emissions	NNS	emission
in	IN	in
just	RB	just
eight	CD	eight
years	NNS	year
,	,	,
which	WDT	which
is	VBZ	be
required	VBN	require
to	TO	to
meet	VB	meet
the	DT	the
Paris	NP	Paris
Agreement	NN	agreement
goal	NN	goal
.	SENT	.
More	JJR	more
than	IN	than
half	NN	half
of	IN	of
these	DT	these
measures	NNS	measure
would	MD	would
come	VB	come
with	IN	with
low	JJ	low
costs	NNS	cost
or	CC	or
even	RB	even
negative	JJ	negative
costs	NNS	cost
!	SENT	!
Much	RB	much
of	IN	of
this	DT	this
is	VBZ	be
due	JJ	due
to	TO	to
solar	JJ	solar
and	CC	and
wind	NN	wind
,	,	,
which	WDT	which
have	VBP	have
become	VBN	become
cheaper	JJR	cheap
and	CC	and
bigger	JJR	big
much	RB	much
faster	JJR	fast
than	IN	than
expected	VBN	expect
,	,	,
now	RB	now
undercutting	VBG	undercut
the	DT	the
costs	NNS	cost
of	IN	of
coal	NN	coal
and	CC	and
gas	NN	gas
in	IN	in
most	JJS	most
markets	NNS	market
.	SENT	.
They	PP	they
have	VBP	have
the	DT	the
potential	NN	potential
to	TO	to
change	VB	change
the	DT	the
game	NN	game
for	IN	for
good	JJ	good
,	,	,
if	IN	if
governments	NNS	government
allow	VBP	allow
them	PP	them
to	TO	to
by	IN	by
forcing	VBG	force
fossil	JJ	fossil
fuels	NNS	fuel
out	IN	out
of	IN	of
the	DT	the
way	NN	way
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
make	VB	make
sure	JJ	sure
science	NN	science
is	VBZ	be
n’t	RB	n't
ignored	VBN	ignore
,	,	,
but	CC	but
acted	VBD	act
on	RP	on
.	SENT	.
You	PP	you
can	MD	can
start	VB	start
by	IN	by
watching	VBG	watch
&	CC	&
sharing	VBG	share
the	DT	the
video	NN	video
below	RB	below
:	:	:
Solutions	NNS	solution
are	VBP	be
here	RB	here
.	SENT	.
Let	VB	let
’s	VBZ	be
go	VB	go
!	SENT	!
