“	``	"
We	PP	we
cannot	MD	can
solve	VB	solve
problems	NNS	problem
with	IN	with
the	DT	the
same	JJ	same
kind	NN	kind
of	IN	of
thinking	VBG	think
that	IN	that
created	VBN	create
them	PP	them
.	SENT	.
”	''	"
pollution	NN	pollution
,	,	,
engage	VBP	engage
in	IN	in
financial	JJ	financial
transactions	NNS	transaction
and	CC	and
harmful	JJ	harmful
speculation	NN	speculation
and	CC	and
other	JJ	other
activities	NNS	activity
detrimental	JJ	detrimental
to	TO	to
public	JJ	public
interest	NN	interest
and	CC	and
the	DT	the
common	JJ	common
goods	NNS	good
,	,	,
pay	VB	pay
the	DT	the
most	JJS	most
tax	NN	tax
.	SENT	.
Shift	VB	shift
the	DT	the
burden	NN	burden
of	IN	of
taxes	NNS	tax
away	RB	away
from	IN	from
labor	NN	labor
and	CC	and
wages	NNS	wage
,	,	,
and	CC	and
end	NN	end
subsidies	NNS	subsidy
for	IN	for
companies	NNS	company
that	WDT	that
are	VBP	be
environmentally	RB	environmentally
or	CC	or
socially	RB	socially
harmful	JJ	harmful
.	SENT	.
This	DT	this
would	MD	would
be	VB	be
a	DT	a
new	JJ	new
system	NN	system
that	WDT	that
works	VBZ	work
for	IN	for
the	DT	the
many	JJ	many
and	CC	and
their	PP$	their
environment	NN	environment
instead	RB	instead
of	IN	of
just	RB	just
the	DT	the
few	JJ	few
.	SENT	.
One	PP	one
that	RB	that
moves	VBZ	move
away	RB	away
from	IN	from
a	DT	a
throwaway	JJ	throwaway
culture	NN	culture
and	CC	and
consumerism	NN	consumerism
.	SENT	.
One	CD	one
which	WDT	which
is	VBZ	be
simultaneously	RB	simultaneously
free	JJ	free
(	(	(
open	JJ	open
knowledge	NN	knowledge
)	)	)
,	,	,
fair	JJ	fair
(	(	(
inclusive	JJ	inclusive
of	IN	of
all	DT	all
cultures	NNS	culture
)	)	)
and	CC	and
sustainable	JJ	sustainable
(	(	(
embedded	VBN	embed
in	IN	in
ecological	JJ	ecological
realities	NNS	reality
)	)	)
.	SENT	.
Does	VBZ	do
all	PDT	all
this	DT	this
sound	NN	sound
too	RB	too
utopian	JJ	utopian
and	CC	and
idealistic	JJ	idealistic
?	SENT	?
If	IN	if
we	PP	we
want	VBP	want
to	TO	to
build	VB	build
a	DT	a
new	JJ	new
economy	NN	economy
and	CC	and
the	DT	the
next	JJ	next
system	NN	system
,	,	,
we	PP	we
need	VBP	need
to	TO	to
gather	VB	gather
the	DT	the
courage	NN	courage
and	CC	and
dare	VBP	dare
to	TO	to
think	VB	think
differently	RB	differently
to	TO	to
solve	VB	solve
our	PP$	our
new	JJ	new
challenges	NNS	challenge
.	SENT	.
New	JJ	new
thinking	NN	thinking
will	MD	will
bring	VB	bring
a	DT	a
new	JJ	new
consciousness	NN	consciousness
and	CC	and
hope	NN	hope
for	IN	for
a	DT	a
world	NN	world
where	WRB	where
we	PP	we
,	,	,
as	IN	as
human	JJ	human
beings	NNS	being
,	,	,
reconnect	VB	reconnect
with	IN	with
our	PP$	our
planet	NN	planet
and	CC	and
with	IN	with
other	JJ	other
each	DT	each
other	JJ	other
.	SENT	.
What	WP	what
future	NN	future
do	VBP	do
you	PP	you
want	VBP	want
to	TO	to
see	VB	see
?	SENT	?
Share	VB	share
your	PP$	your
vision	NN	vision
of	IN	of
hope	NN	hope
in	IN	in
the	DT	the
comments	NNS	comment
.	SENT	.
Paula	NP	Paula
Tejón	NP	<unknown>
Carbajal	NP	Carbajal
is	VBZ	be
a	DT	a
Senior	JJ	Senior
Campaign	NN	campaign
Strategist	NN	strategist
with	IN	with
Greenpeace	NP	Greenpeace
International	NP	International
Technology	NP	Technology
has	VBZ	have
changed	VBN	change
our	PP$	our
lives	NNS	life
at	IN	at
a	DT	a
pace	NN	pace
never	RB	never
experienced	VBD	experience
before	RB	before
.	SENT	.
The	DT	the
global	JJ	global
economic	JJ	economic
crisis	NN	crisis
,	,	,
Trump	NP	Trump
,	,	,
the	DT	the
refugee	NN	refugee
crisis	NN	crisis
,	,	,
Brexit	NP	<unknown>
…	NP	<unknown>
these	DT	these
are	VBP	be
just	RB	just
some	DT	some
of	IN	of
the	DT	the
symptoms	NNS	symptom
of	IN	of
a	DT	a
broken	VBN	break
system	NN	system
.	SENT	.
Its	PP$	its
demise	NN	demise
has	VBZ	have
been	VBN	be
accelerated	VBN	accelerate
,	,	,
and	CC	and
in	IN	in
some	DT	some
cases	NNS	case
triggered	VBN	trigger
by	IN	by
the	DT	the
digital	JJ	digital
innovations	NNS	innovation
of	IN	of
the	DT	the
past	JJ	past
decade	NN	decade
.	SENT	.
There	EX	there
is	VBZ	be
a	DT	a
clear	JJ	clear
detachment	NN	detachment
between	IN	between
technology	NN	technology
and	CC	and
our	PP$	our
current	JJ	current
societal	JJ	societal
needs	NNS	need
.	SENT	.
We	PP	we
’re	VBP	be
experiencing	VBG	experience
a	DT	a
deep	JJ	deep
systemic	JJ	systemic
disconnection	NN	disconnection
:	:	:
an	DT	an
ecological	JJ	ecological
,	,	,
social	JJ	social
and	CC	and
spiritual	JJ	spiritual
cultural	JJ	cultural
divide	NN	divide
.	SENT	.
There	EX	there
’s	VBZ	be
a	DT	a
discernible	JJ	discernible
disconnect	VB	disconnect
between	IN	between
the	DT	the
infinite	JJ	infinite
growth	NN	growth
imperative	NN	imperative
and	CC	and
the	DT	the
finite	JJ	finite
resources	NNS	resource
of	IN	of
planet	NN	planet
Earth	NN	earth
;	:	;
between	IN	between
private	JJ	private
ownership	NN	ownership
and	CC	and
the	DT	the
best	JJS	good
societal	JJ	societal
use	NN	use
of	IN	of
property	NN	property
;	:	;
between	IN	between
gross	JJ	gross
domestic	JJ	domestic
product	NN	product
(	(	(
GDP	NP	GDP
)	)	)
and	CC	and
well-being	NN	well-being
.	SENT	.
But	CC	but
the	DT	the
failure	NN	failure
of	IN	of
our	PP$	our
current	JJ	current
socio-economic	JJ	socio-economic
system	NN	system
has	VBZ	have
also	RB	also
brought	VBN	bring
a	DT	a
strong	JJ	strong
desire	NN	desire
to	TO	to
change	VB	change
the	DT	the
world	NN	world
and	CC	and
co-create	VBG	<unknown>
a	DT	a
better	JJR	good
one	CD	one
.	SENT	.
The	DT	the
Arab	NP	Arab
Spring	NP	Spring
,	,	,
Los	NP	Los
Indignados	NNS	<unknown>
and	CC	and
Occupy	VB	occupy
Wall	NP	Wall
Street	NP	Street
spread	VBD	spread
new	JJ	new
value	NN	value
systems	NNS	system
and	CC	and
sparked	VBN	spark
political	JJ	political
and	CC	and
economic	JJ	economic
initiatives	NNS	initiative
that	WDT	that
questioned	VBD	question
the	DT	the
prioritization	NN	prioritization
of	IN	of
profit	NN	profit
over	IN	over
people	NNS	people
and	CC	and
the	DT	the
endless	JJ	endless
growth	NN	growth
paradigm	NN	paradigm
.	SENT	.
These	DT	these
movements	NNS	movement
used	VBD	use
technology	NN	technology
to	TO	to
envision	VB	envision
a	DT	a
new	JJ	new
,	,	,
more	RBR	more
inclusive	JJ	inclusive
,	,	,
equitable	JJ	equitable
economic	JJ	economic
system	NN	system
that	WDT	that
operates	VBZ	operate
within	IN	within
the	DT	the
environmental	JJ	environmental
limits	NNS	limit
of	IN	of
our	PP$	our
planet	NN	planet
.	SENT	.
Sharing	NN	sharing
and	CC	and
circular	JJ	circular
economies	NNS	economy
were	VBD	be
attempts	NNS	attempt
in	IN	in
this	DT	this
direction	NN	direction
.	SENT	.
They	PP	they
started	VBD	start
in	IN	in
response	NN	response
to	TO	to
the	DT	the
economic	JJ	economic
crisis	NN	crisis
as	IN	as
people	NNS	people
were	VBD	be
pushed	VBN	push
to	TO	to
utilize	VB	utilize
excess	JJ	excess
capacity	NN	capacity
,	,	,
time	NN	time
and	CC	and
goods	NNS	good
and	CC	and
companies	NNS	company
started	VBD	start
to	TO	to
suffer	VB	suffer
from	IN	from
the	DT	the
impacts	NNS	impact
of	IN	of
climate	NN	climate
change	NN	change
and	CC	and
resource	NN	resource
scarcity	NN	scarcity
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
as	RB	as
with	IN	with
many	JJ	many
other	JJ	other
ideas	NNS	idea
,	,	,
they	PP	they
’ve	VBP	have
been	VBN	be
hijacked	VBN	hijack
by	IN	by
the	DT	the
private	JJ	private
sector	NN	sector
and	CC	and
its	PP$	its
main	JJ	main
driver	NN	driver
;	:	;
growth	NN	growth
.	SENT	.
The	DT	the
idea	NN	idea
of	IN	of
a	DT	a
circular	JJ	circular
economy	NN	economy
carries	VBZ	carry
a	DT	a
rebound	NN	rebound
effect	NN	effect
;	:	;
meaning	VBG	mean
we	PP	we
could	MD	could
end	VB	end
up	RP	up
increasing	VBG	increase
overall	JJ	overall
production	NN	production
,	,	,
which	WDT	which
would	MD	would
offset	VB	offset
any	DT	any
benefits	NNS	benefit
.	SENT	.
The	DT	the
environmental	JJ	environmental
crisis	NN	crisis
ca	MD	ca
n’t	RB	n't
be	VB	be
addressed	VBN	address
in	IN	in
isolation	NN	isolation
;	:	;
concepts	NNS	concept
like	IN	like
the	DT	the
sharing	NN	sharing
and	CC	and
circular	JJ	circular
economy	NN	economy
will	MD	will
only	RB	only
work	VB	work
if	IN	if
they	PP	they
are	VBP	be
integrated	VBN	integrate
into	IN	into
wider	JJR	wide
strategies	NNS	strategy
for	IN	for
economic	JJ	economic
system	NN	system
change	NN	change
.	SENT	.
Just	RB	just
imagine	VB	imagine
…	NN	<unknown>
.	SENT	.
What	WP	what
if	IN	if
we	PP	we
shaped	VBD	shape
a	DT	a
new	JJ	new
economy	NN	economy
to	TO	to
:	:	:
