Everyone	NN	everyone
Council	NP	Council
of	IN	of
Europe	NP	Europe
This	DT	this
blog	NN	<unknown>
is	VBZ	be
authored	VBN	authore
by	IN	by
Sébastien	NP	Sébastien
Duyck	NP	Duyck
,	,	,
Senior	NP	Senior
Attorney	NP	Attorney
;	:	;
Campaign	NP	Campaign
Manager	NP	Manager
Human	NP	Human
Rights	NPS	Rights
&	CC	&
Climate	NN	climate
,	,	,
Center	NP	Center
for	IN	for
International	NP	International
Environmental	NP	Environmental
Law	NP	Law
,	,	,
Amy	NP	Amy
Jacobsen	NP	Jacobsen
,	,	,
Legal	NP	Legal
Counsel	NP	Counsel
Communications	NP	Communications
,	,	,
Greenpeace	NP	Greenpeace
International	NP	International
,	,	,
Katharina	NP	Katharina
Rall	NP	Rall
,	,	,
Senior	JJ	Senior
Researcher	NN	researcher
in	IN	in
the	DT	the
Environment	NP	Environment
and	CC	and
Human	NP	Human
Rights	NPS	Rights
Division	NP	Division
at	IN	at
Human	NP	Human
Rights	NPS	Rights
Watch	NN	watch
,	,	,
and	CC	and
Chiara	NP	Chiara
Liguori	NP	Liguori
,	,	,
Climate	NN	climate
Justice	NP	Justice
Policy	NP	Policy
Adviser	NP	Adviser
and	CC	and
Researcher	NN	researcher
,	,	,
Amnesty	NN	amnesty
International	NP	International
.	SENT	.
On	IN	on
May	NP	May
16-17	CD	@card@
,	,	,
2023	CD	@card@
,	,	,
Council	NP	Council
of	IN	of
Europe	NP	Europe
nations	NNS	nation
will	MD	will
gather	VB	gather
for	IN	for
a	DT	a
once-in-a-generation	NN	once-in-a-generation
Summit	NP	Summit
in	IN	in
Reykjavik	NP	Reykjavik
,	,	,
Iceland	NP	Iceland
.	SENT	.
Established	VBD	establish
more	JJR	more
than	IN	than
seventy	CD	seventy
years	NNS	year
ago	RB	ago
,	,	,
the	DT	the
Council	NP	Council
of	IN	of
Europe	NP	Europe
has	VBZ	have
been	VBN	be
shaken	VBN	shake
by	IN	by
Russia	NP	Russia
’s	POS	's
invasion	NN	invasion
of	IN	of
Ukraine	NP	Ukraine
.	SENT	.
To	TO	to
demonstrate	VB	demonstrate
their	PP$	their
unity	NN	unity
in	IN	in
the	DT	the
face	NN	face
of	IN	of
this	DT	this
devastating	JJ	devastating
war	NN	war
,	,	,
European	JJ	European
governments	NNS	government
are	VBP	be
gathering	VBG	gather
to	TO	to
reaffirm	VB	reaffirm
their	PP$	their
commitment	NN	commitment
to	TO	to
core	JJ	core
values	NNS	value
,	,	,
including	VBG	include
the	DT	the
rule	NN	rule
of	IN	of
law	NN	law
,	,	,
democracy	NN	democracy
,	,	,
and	CC	and
human	JJ	human
rights	NNS	right
.	SENT	.
But	CC	but
doing	VBG	do
so	RB	so
will	MD	will
require	VB	require
more	JJR	more
than	IN	than
a	DT	a
family	NN	family
photo	NN	photo
featuring	VBG	feature
heads	NNS	head
of	IN	of
State	NP	State
:	:	:
European	NP	European
States	NPS	States
should	MD	should
use	VB	use
this	DT	this
opportunity	NN	opportunity
to	TO	to
fill	VB	fill
a	DT	a
yawning	VBG	yawn
gap	NN	gap
in	IN	in
the	DT	the
European	JJ	European
human	JJ	human
rights	NNS	right
framework	NN	framework
and	CC	and
take	VB	take
a	DT	a
decisive	JJ	decisive
step	NN	step
towards	IN	towards
the	DT	the
effective	JJ	effective
protection	NN	protection
of	IN	of
the	DT	the
human	JJ	human
right	NN	right
to	TO	to
a	DT	a
clean	JJ	clean
,	,	,
healthy	JJ	healthy
,	,	,
and	CC	and
sustainable	JJ	sustainable
environment	NN	environment
.	SENT	.
For	IN	for
decades	NNS	decade
,	,	,
the	DT	the
European	JJ	European
human	JJ	human
rights	NNS	right
framework	NN	framework
has	VBZ	have
played	VBN	play
a	DT	a
critical	JJ	critical
role	NN	role
in	IN	in
Europe	NP	Europe
and	CC	and
globally	RB	globally
in	IN	in
the	DT	the
protection	NN	protection
of	IN	of
human	JJ	human
rights	NNS	right
.	SENT	.
But	CC	but
human-caused	JJ	<unknown>
environmental	JJ	environmental
threats	NNS	threat
increasingly	RB	increasingly
imperil	VBP	imperil
the	DT	the
protection	NN	protection
of	IN	of
these	DT	these
same	JJ	same
rights	NNS	right
.	SENT	.
And	CC	and
yet	RB	yet
so	RB	so
far	RB	far
,	,	,
European	JJ	European
governments	NNS	government
have	VBP	have
failed	VBN	fail
to	TO	to
adequately	RB	adequately
address	VB	address
these	DT	these
threats	NNS	threat
through	IN	through
the	DT	the
political	JJ	political
institutions	NNS	institution
of	IN	of
the	DT	the
Council	NP	Council
of	IN	of
Europe	NP	Europe
.	SENT	.
We	PP	we
are	VBP	be
experiencing	VBG	experience
a	DT	a
triple	JJ	triple
planetary	JJ	planetary
crisis	NN	crisis
—	:	-
pollution	NN	pollution
,	,	,
climate	NN	climate
change	NN	change
,	,	,
and	CC	and
biodiversity	NN	biodiversity
loss	NN	loss
are	VBP	be
threatening	VBG	threaten
our	PP$	our
environment	NN	environment
,	,	,
our	PP$	our
health	NN	health
,	,	,
our	PP$	our
rights	NNS	right
,	,	,
and	CC	and
our	PP$	our
lives	NNS	life
.	SENT	.
Every	DT	every
year	NN	year
,	,	,
air	NN	air
pollution	NN	pollution
kills	VBZ	kill
an	DT	an
estimated	JJ	estimated
1,200	CD	@card@
children	NNS	child
prematurely	RB	prematurely
in	IN	in
Europe	NP	Europe
.	SENT	.
Extreme	JJ	extreme
temperatures	NNS	temperature
and	CC	and
aberrant	JJ	aberrant
weather	NN	weather
events	NNS	event
continue	VBP	continue
to	TO	to
illustrate	VB	illustrate
the	DT	the
devastating	JJ	devastating
impacts	NNS	impact
of	IN	of
climate	NN	climate
change	NN	change
on	IN	on
human	JJ	human
rights	NNS	right
and	CC	and
the	DT	the
planet	NN	planet
,	,	,
as	RB	as
described	VBN	describe
in	IN	in
the	DT	the
latest	JJS	late
IPCC	NN	<unknown>
climate	NN	climate
reports	NNS	report
.	SENT	.
And	CC	and
the	DT	the
environmental	JJ	environmental
harms	NNS	harm
of	IN	of
the	DT	the
war	NN	war
in	IN	in
Ukraine	NP	Ukraine
are	VBP	be
so	RB	so
severe	JJ	severe
that	IN	that
they	PP	they
are	VBP	be
expected	VBN	expect
to	TO	to
last	VB	last
well	RB	well
beyond	IN	beyond
the	DT	the
current	JJ	current
war	NN	war
and	CC	and
continue	VB	continue
to	TO	to
take	VB	take
a	DT	a
toll	NN	toll
on	IN	on
future	JJ	future
generations	NNS	generation
.	SENT	.
Most	RBS	most
national	JJ	national
legal	JJ	legal
systems	NNS	system
have	VBP	have
already	RB	already
recognised	VBN	recognise
that	IN	that
effective	JJ	effective
enjoyment	NN	enjoyment
of	IN	of
human	JJ	human
rights	NNS	right
requires	VBZ	require
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
right	NN	right
to	TO	to
a	DT	a
healthy	JJ	healthy
environment	NN	environment
.	SENT	.
Following	VBG	follow
the	DT	the
mobilisation	NN	mobilisation
of	IN	of
more	JJR	more
than	IN	than
1000	CD	@card@
civil	JJ	civil
society	NN	society
organisations	NNS	organisation
and	CC	and
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
,	,	,
the	DT	the
United	NP	United
Nations	NPS	Nations
General	NP	General
Assembly	NP	Assembly
affirmed	VBD	affirm
in	IN	in
a	DT	a
historic	JJ	historic
vote	NN	vote
in	IN	in
July	NP	July
2022	CD	@card@
that	IN	that
everyone	NN	everyone
has	VBZ	have
the	DT	the
human	JJ	human
right	NN	right
to	TO	to
live	VB	live
in	IN	in
a	DT	a
clean	JJ	clean
,	,	,
healthy	JJ	healthy
,	,	,
and	CC	and
sustainable	JJ	sustainable
environment	NN	environment
.	SENT	.
By	IN	by
now	RB	now
,	,	,
the	DT	the
European	JJ	European
human	JJ	human
rights	NNS	right
framework	NN	framework
remains	VBZ	remain
the	DT	the
only	RB	only
regional	JJ	regional
human	JJ	human
rights	NNS	right
system	NN	system
whose	WP$	whose
political	JJ	political
institutions	NNS	institution
do	VBP	do
not	RB	not
yet	RB	yet
explicitly	RB	explicitly
recognise	VB	recognise
the	DT	the
right	NN	right
.	SENT	.
The	DT	the
Reykjavik	NP	Reykjavik
Summit	NP	Summit
provides	VBZ	provide
a	DT	a
historic	JJ	historic
opportunity	NN	opportunity
for	IN	for
Member	NP	Member
States	NPS	States
to	TO	to
reaffirm	VB	reaffirm
the	DT	the
commitments	NNS	commitment
they	PP	they
have	VBP	have
already	RB	already
made	VBN	make
elsewhere	RB	elsewhere
to	TO	to
protect	VB	protect
people	NNS	people
and	CC	and
the	DT	the
environment	NN	environment
by	IN	by
recognising	VBG	recognise
the	DT	the
right	NN	right
and	CC	and
committing	VBG	commit
to	TO	to
its	PP$	its
effective	JJ	effective
protection	NN	protection
through	IN	through
the	DT	the
drafting	VBG	draft
of	IN	of
a	DT	a
dedicated	JJ	dedicated
protocol	NN	protocol
to	TO	to
the	DT	the
European	JJ	European
Convention	NN	convention
on	IN	on
Human	NP	Human
Rights	NPS	Rights
.	SENT	.
Establishing	VBG	establish
the	DT	the
legal	JJ	legal
protection	NN	protection
of	IN	of
an	DT	an
autonomous	JJ	autonomous
right	NN	right
to	TO	to
a	DT	a
healthy	JJ	healthy
environment	NN	environment
by	IN	by
the	DT	the
European	NP	European
Court	NP	Court
of	IN	of
Human	NP	Human
Rights	NPS	Rights
through	IN	through
a	DT	a
protocol	NN	protocol
will	MD	will
help	VB	help
catalyse	VB	catalyse
meaningful	JJ	meaningful
environmental	JJ	environmental
protection	NN	protection
and	CC	and
more	JJR	more
ambitious	JJ	ambitious
climate	NN	climate
action	NN	action
across	IN	across
the	DT	the
continent	NN	continent
.	SENT	.
It	PP	it
will	MD	will
promote	VB	promote
legal	JJ	legal
certainty	NN	certainty
and	CC	and
consistency	NN	consistency
across	IN	across
Europe	NP	Europe
,	,	,
including	VBG	include
for	IN	for
corporate	JJ	corporate
actors	NNS	actor
.	SENT	.
Further	RBR	further
,	,	,
it	PP	it
will	MD	will
contribute	VB	contribute
to	TO	to
the	DT	the
vital	JJ	vital
recognition	NN	recognition
of	IN	of
environmental	JJ	environmental
activists	NNS	activist
as	IN	as
defenders	NNS	defender
of	IN	of
human	JJ	human
rights	NNS	right
,	,	,
enhancing	VBG	enhance
protection	NN	protection
for	IN	for
those	DT	those
who	WP	who
are	VBP	be
among	IN	among
the	DT	the
human	JJ	human
rights	NNS	right
defenders	NNS	defender
most	JJS	most
at	IN	at
risk	NN	risk
.	SENT	.
In	IN	in
brief	NN	brief
,	,	,
the	DT	the
benefits	NNS	benefit
are	VBP	be
clear	JJ	clear
:	:	:
all	DT	all
that	WDT	that
’s	VBZ	be
needed	VBN	need
is	VBZ	be
the	DT	the
political	JJ	political
will	NN	will
.	SENT	.
The	DT	the
necessary	JJ	necessary
next	JJ	next
step	NN	step
,	,	,
following	VBG	follow
the	DT	the
political	JJ	political
recognition	NN	recognition
of	IN	of
the	DT	the
right	NN	right
by	IN	by
all	DT	all
46	CD	@card@
Council	NN	council
of	IN	of
Europe	NP	Europe
Member	NP	Member
States	NPS	States
at	IN	at
the	DT	the
UN	NP	UN
,	,	,
is	VBZ	be
the	DT	the
actionable	JJ	actionable
and	CC	and
enforceable	JJ	enforceable
recognition	NN	recognition
of	IN	of
this	DT	this
right	NN	right
at	IN	at
home	NN	home
.	SENT	.
