Every	DT	every
“	``	"
The	DT	the
land	NN	land
demarcation	NN	demarcation
is	VBZ	be
important	JJ	important
not	RB	not
only	RB	only
for	IN	for
the	DT	the
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
who	WP	who
live	VBP	live
in	IN	in
those	DT	those
areas	NNS	area
,	,	,
but	CC	but
for	IN	for
the	DT	the
entire	JJ	entire
world	NN	world
as	IN	as
well	RB	well
.	SENT	.
We	PP	we
know	VBP	know
the	DT	the
importance	NN	importance
of	IN	of
the	DT	the
Indigenous	JJ	indigenous
Territories	NP	Territories
for	IN	for
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
forest	NN	forest
,	,	,
for	IN	for
the	DT	the
protection	NN	protection
of	IN	of
life	NN	life
,	,	,
for	IN	for
the	DT	the
balance	NN	balance
of	IN	of
the	DT	the
planet	NN	planet
’s	POS	's
climate	NN	climate
,	,	,
and	CC	and
for	IN	for
the	DT	the
protection	NN	protection
of	IN	of
the	DT	the
human	JJ	human
beings	NNS	being
who	WP	who
live	VBP	live
on	IN	on
Earth	NP	Earth
”	''	"
,	,	,
said	VBD	say
Marciely	NP	<unknown>
Tupari	NP	<unknown>
,	,	,
from	IN	from
the	DT	the
Coordination	NN	coordination
of	IN	of
Indigenous	JJ	indigenous
Organizations	NNS	organization
of	IN	of
the	DT	the
Brazilian	JJ	Brazilian
Amazon	NP	Amazon
(	(	(
COIAB	NP	<unknown>
)	)	)
.	SENT	.
