“	``	"
We	PP	we
were	VBD	be
already	RB	already
on	IN	on
this	DT	this
land	NN	land
before	IN	before
Brazil	NP	Brazil
was	VBD	be
Brazil	NP	Brazil
,	,	,
”	''	"
to	TO	to
their	PP$	their
lands	NNS	land
unless	IN	unless
it	PP	it
can	MD	can
be	VB	be
proven	VBN	prove
that	IN	that
they	PP	they
occupied	VBD	occupy
them	PP	them
at	IN	at
the	DT	the
time	NN	time
of	IN	of
Brazil	NP	Brazil
’s	POS	's
1988	CD	@card@
constitution—which	NN	<unknown>
was	VBD	be
supposed	VBN	suppose
to	TO	to
have	VB	have
guaranteed	VBN	guarantee
their	PP$	their
land	NN	land
rights	NNS	right
.	SENT	.
Meanwhile	RB	meanwhile
,	,	,
a	DT	a
bill	NN	bill
(	(	(
PL	NP	Pl
490	CD	@card@
)	)	)
being	VBG	be
considered	VBN	consider
by	IN	by
Brazil	NP	Brazil
’s	POS	's
Congress	NP	Congress
seeks	VBZ	seek
to	TO	to
open	VB	open
Indigenous	JJ	indigenous
Lands	NP	Lands
for	IN	for
industrial	JJ	industrial
agriculture	NN	agriculture
,	,	,
mining	NN	mining
,	,	,
and	CC	and
other	JJ	other
extractive	JJ	extractive
activities	NNS	activity
.	SENT	.
If	IN	if
Indigenous	JJ	indigenous
communities	NNS	community
cannot	MD	can
provide	VB	provide
the	DT	the
proof	NN	proof
demanded	VBD	demand
by	IN	by
Marco	NP	Marco
Temporal	JJ	temporal
then	RB	then
they	PP	they
are	VBP	be
at	IN	at
risk	NN	risk
of	IN	of
basically	RB	basically
being	VBG	be
ruled	VBN	rule
not	RB	not
to	TO	to
exist	VB	exist
!	SENT	!
This	DT	this
legal	JJ	legal
loophole	NN	loophole
is	VBZ	be
a	DT	a
brazen	JJ	brazen
attempt	NN	attempt
to	TO	to
trample	VB	trample
over	IN	over
Indigenous	JJ	indigenous
rights	NNS	right
by	IN	by
land	NN	land
grabbers	NNS	grabber
who	WP	who
have	VBP	have
been	VBN	be
emboldened	VBN	embolden
by	IN	by
Brazilian	JJ	Brazilian
President	NP	President
Jair	NP	<unknown>
Bolsonaro	NP	<unknown>
and	CC	and
his	PP$	his
anti-environment	NN	anti-environment
administration	NN	administration
.	SENT	.
For	IN	for
safety	NN	safety
reasons	NNS	reason
,	,	,
many	JJ	many
Indigenous	JJ	indigenous
communities	NNS	community
in	IN	in
Brazil	NP	Brazil
do	VBP	do
not	RB	not
explicitly	RB	explicitly
state	VB	state
the	DT	the
locations	NNS	location
of	IN	of
their	PP$	their
dwellings	NNS	dwelling
,	,	,
and	CC	and
,	,	,
therefore	RB	therefore
,	,	,
they	PP	they
have	VBP	have
not	RB	not
directly	RB	directly
participated	VBN	participate
in	IN	in
the	DT	the
land	NN	land
demarcation	NN	demarcation
process	NN	process
that	WDT	that
could	MD	could
soon	RB	soon
be	VB	be
used	VBN	use
to	TO	to
steal	VB	steal
their	PP$	their
lands	NNS	land
and	CC	and
livelihoods	NNS	livelihood
from	IN	from
them	PP	them
.	SENT	.
The	DT	the
impact	NN	impact
would	MD	would
be	VB	be
most	RBS	most
heavy	JJ	heavy
on	IN	on
the	DT	the
most	RBS	most
isolated	JJ	isolated
Indigenous	JJ	indigenous
communities	NNS	community
.	SENT	.
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
are	VBP	be
the	DT	the
guardians	NNS	guardian
of	IN	of
the	DT	the
forest	NN	forest
.	SENT	.
Protecting	VBG	protect
the	DT	the
rights	NNS	right
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
and	CC	and
their	PP$	their
lands	NNS	land
means	VBZ	mean
protecting	VBG	protect
everyone	NN	everyone
’s	POS	's
future	NN	future
.	SENT	.
It	PP	it
’s	VBZ	be
crucial	JJ	crucial
to	TO	to
protect	VB	protect
the	DT	the
Guardians	NNS	guardian
of	IN	of
the	DT	the
Forest	NP	Forest
and	CC	and
ensure	VB	ensure
that	IN	that
the	DT	the
Brazilian	JJ	Brazilian
Supreme	NP	Supreme
court	NN	court
knows	VBZ	know
the	DT	the
world	NN	world
will	MD	will
be	VB	be
watching	VBG	watch
its	PP$	its
decision	NN	decision
.	SENT	.
Indigenous	JJ	indigenous
rights	NNS	right
groups	NNS	group
like	IN	like
The	DT	the
Articulation	NN	articulation
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
of	IN	of
Brazil	NP	Brazil
(	(	(
APIB	NP	<unknown>
)	)	)
are	VBP	be
calling	VBG	call
on	IN	on
the	DT	the
Brazilian	JJ	Brazilian
Supreme	NP	Supreme
Court	NP	Court
to	TO	to
strike	VB	strike
down	RP	down
Marco	NP	Marco
Temporal	JJ	temporal
as	IN	as
unconstitutional	JJ	unconstitutional
.	SENT	.
The	DT	the
court	NN	court
ended	VBD	end
it	PP	it
’s	VBZ	be
June	NP	June
session	NN	session
without	IN	without
a	DT	a
decision	NN	decision
on	IN	on
the	DT	the
case	NN	case
,	,	,
but	CC	but
stated	VBD	state
the	DT	the
case	NN	case
will	MD	will
return	VB	return
to	TO	to
the	DT	the
Court	NP	Court
’s	POS	's
agenda	NN	agenda
on	IN	on
25	CD	@card@
August	NP	August
.	SENT	.
Alarmingly	RB	alarmingly
,	,	,
the	DT	the
bill	NN	bill
PL490	NP	<unknown>
has	VBZ	have
already	RB	already
advanced	VBN	advance
past	IN	past
Brazil	NP	Brazil
’s	POS	's
constitutional	JJ	constitutional
affairs	NNS	affair
committee	NN	committee
and	CC	and
is	VBZ	be
headed	VBN	head
for	IN	for
the	DT	the
lower	JJR	low
house	NN	house
of	IN	of
Congress	NP	Congress
and	CC	and
then	RB	then
potentially	RB	potentially
to	TO	to
the	DT	the
Senate	NP	Senate
.	SENT	.
In	IN	in
June	NP	June
2021	CD	@card@
,	,	,
hundreds	NNS	hundred
of	IN	of
Indigenous	JJ	indigenous
People	NNS	people
from	IN	from
all	DT	all
across	IN	across
Brazil	NP	Brazil
came	VBD	come
to	TO	to
Brasília	NP	<unknown>
to	TO	to
protest	VB	protest
against	IN	against
the	DT	the
land	NN	land
invasions	NNS	invasion
they	PP	they
all	RB	all
face	VBP	face
and	CC	and
stand	VBP	stand
united	VBN	unite
.	SENT	.
Their	PP$	their
peaceful	JJ	peaceful
protest	NN	protest
in	IN	in
Brazil	NP	Brazil
’s	POS	's
capital	NN	capital
—	:	-
which	WDT	which
included	VBD	include
children	NNS	child
and	CC	and
elders	NNS	elder
—	:	-
was	VBD	be
met	VBN	meet
with	IN	with
violence	NN	violence
.	SENT	.
