“	``	"
How	WRB	how
f*cked	JJ	<unknown>
are	VBP	be
we	PP	we
,	,	,
really	RB	really
?	SENT	?
”	''	"
make	VB	make
a	DT	a
difference	NN	difference
.	SENT	.
Try	VB	try
to	TO	to
influence	VB	influence
others	NNS	other
to	TO	to
think	VB	think
the	DT	the
same	JJ	same
way	NN	way
:	:	:
put	VB	put
pressure	NN	pressure
on	IN	on
corporations	NNS	corporation
,	,	,
challenge	NN	challenge
retailers	NNS	retailer
.	SENT	.
There	EX	there
are	VBP	be
few	JJ	few
better	JJR	good
ways	NNS	way
to	TO	to
try	VB	try
and	CC	and
make	VB	make
a	DT	a
difference	NN	difference
than	IN	than
the	DT	the
willingness	NN	willingness
to	TO	to
get	VB	get
out	RP	out
there	RB	there
and	CC	and
shout	VB	shout
,	,	,
loudly	RB	loudly
but	CC	but
peacefully	RB	peacefully
.	SENT	.
Most	JJS	most
people	NNS	people
have	VBP	have
n’t	RB	n't
even	RB	even
thought	VBN	think
about	IN	about
it	PP	it
.	SENT	.
It	PP	it
’s	VBZ	be
tricky	JJ	tricky
to	TO	to
persuade	VB	persuade
people	NNS	people
to	TO	to
rethink	VB	rethink
their	PP$	their
world	NN	world
view	NN	view
,	,	,
or	CC	or
to	TO	to
even	RB	even
think	VB	think
about	IN	about
a	DT	a
world	NN	world
view	NN	view
in	IN	in
the	DT	the
first	JJ	first
place	NN	place
,	,	,
but	CC	but
it	PP	it
’s	VBZ	be
what	WP	what
needs	VBZ	need
to	TO	to
happen	VB	happen
for	IN	for
us	PP	us
to	TO	to
change	VB	change
.	SENT	.
This	DT	this
Saturday	NP	Saturday
is	VBZ	be
Earth	NP	Earth
Day	NP	Day
(	(	(
22	NP	@card@
April	NP	April
)	)	)
,	,	,
and	CC	and
also	RB	also
the	DT	the
inaugural	JJ	inaugural
March	NP	March
for	IN	for
Science	NP	Science
—	:	-
a	DT	a
global	JJ	global
movement	NN	movement
to	TO	to
defend	VB	defend
the	DT	the
role	NN	role
science	NN	science
plays	VBZ	play
in	IN	in
our	PP$	our
health	NN	health
,	,	,
safety	NN	safety
,	,	,
economies	NNS	economy
,	,	,
and	CC	and
governments	NNS	government
.	SENT	.
Apart	RB	apart
from	IN	from
the	DT	the
obvious	JJ	obvious
,	,	,
why	WRB	why
are	VBP	be
you	PP	you
supporting	VBG	support
the	DT	the
Science	NP	Science
March	NP	March
today	NN	today
?	SENT	?
It	PP	it
’s	VBZ	be
heartening	VBG	hearten
to	TO	to
see	VB	see
that	DT	that
scientists	NNS	scientist
,	,	,
who	WP	who
are	VBP	be
renowned	VBN	renown
for	IN	for
sticking	VBG	stick
to	TO	to
the	DT	the
narrow	JJ	narrow
confines	NNS	confine
of	IN	of
lab	NN	lab
coats	NNS	coat
and	CC	and
never	RB	never
veering	VBG	veer
into	IN	into
politics	NNS	politics
,	,	,
are	VBP	be
feeling	VBG	feel
alarmed	JJ	alarmed
enough	RB	enough
to	TO	to
demonstrate	VB	demonstrate
.	SENT	.
Our	PP$	our
freedom	NN	freedom
to	TO	to
experiment	NN	experiment
is	VBZ	be
being	VBG	be
curtailed	VBN	curtail
by	IN	by
funding	NN	funding
restrictions	NNS	restriction
and	CC	and
led	VBN	lead
by	IN	by
corporate	JJ	corporate
interests	NNS	interest
influencing	VBG	influence
science	NN	science
for	IN	for
commercial	JJ	commercial
gain	NN	gain
.	SENT	.
Representing	VBG	represent
vested	JJ	vested
interests	NNS	interest
is	VBZ	be
not	RB	not
science	NN	science
.	SENT	.
Our	PP$	our
duty	NN	duty
as	IN	as
scientists	NNS	scientist
is	VBZ	be
to	TO	to
go	VB	go
where	WRB	where
the	DT	the
evidence	NN	evidence
is	VBZ	be
pointing	VBG	point
,	,	,
we	PP	we
have	VBP	have
a	DT	a
responsibility	NN	responsibility
to	TO	to
provide	VB	provide
the	DT	the
truth	NN	truth
.	SENT	.
I	PP	I
want	VBP	want
to	TO	to
see	VB	see
science	NN	science
where	WRB	where
we	PP	we
pursued	VBD	pursue
knowledge	NN	knowledge
for	IN	for
its	PP$	its
own	JJ	own
sake	NN	sake
.	SENT	.
Learning	NP	Learning
and	CC	and
education	NN	education
is	VBZ	be
not	RB	not
a	DT	a
commodity	NN	commodity
,	,	,
it	PP	it
’s	VBZ	be
an	DT	an
investment	NN	investment
in	IN	in
the	DT	the
public	JJ	public
good	NN	good
.	SENT	.
Science	NP	Science
needs	VBZ	need
to	TO	to
serve	VB	serve
society	NN	society
,	,	,
rather	RB	rather
than	IN	than
corporate	JJ	corporate
and	CC	and
political	JJ	political
interests	NNS	interest
.	SENT	.
Paul	NP	Paul
was	VBD	be
interviewed	VBN	interview
by	IN	by
Chiara	NP	Chiara
Milford	NP	Milford
,	,	,
an	DT	an
editor	NN	editor
for	IN	for
Greenpeace	NP	Greenpeace
International	NP	International
.	SENT	.
Answers	NNS	answer
were	VBD	be
edited	VBN	edit
for	IN	for
clarity	NN	clarity
.	SENT	.
We	PP	we
talked	VBD	talk
to	TO	to
Dr.	NP	Dr.
Paul	NP	Paul
Johnston	NP	Johnston
,	,	,
who	WP	who
’s	VBZ	be
worked	VBN	work
in	IN	in
Greenpeace	NP	Greenpeace
’s	POS	's
Science	NP	Science
Unit	NP	Unit
for	IN	for
over	IN	over
30	CD	@card@
years	NNS	year
and	CC	and
founded	VBD	found
our	PP$	our
Research	NP	Research
Lab	NP	Lab
,	,	,
about	RB	about
how	WRB	how
to	TO	to
deal	VB	deal
with	IN	with
climate	NN	climate
deniers	NNS	denier
and	CC	and
what	WP	what
the	DT	the
future	NN	future
holds	VBZ	hold
for	IN	for
our	PP$	our
planet	NN	planet
.	SENT	.
The	DT	the
short	JJ	short
answer	NN	answer
is	VBZ	be
an	DT	an
awful	JJ	awful
lot	NN	lot
of	IN	of
things	NNS	thing
.	SENT	.
The	DT	the
variation	NN	variation
is	VBZ	be
what	WP	what
makes	VBZ	make
this	DT	this
job	NN	job
interesting	JJ	interesting
.	SENT	.
In	IN	in
the	DT	the
last	JJ	last
fortnight	NN	fortnight
the	DT	the
science	NN	science
unit	NN	unit
has	VBZ	have
looked	VBN	look
at	IN	at
pesticides	NNS	pesticide
in	IN	in
food	NN	food
,	,	,
analysed	VBD	analyse
reports	NNS	report
on	IN	on
carbon	NN	carbon
storage	NN	storage
,	,	,
nitrogen	NN	nitrogen
pollution	NN	pollution
in	IN	in
animal	JJ	animal
agriculture	NN	agriculture
,	,	,
modelled	VBD	model
air	NN	air
pollution	NN	pollution
,	,	,
sampled	VBN	sample
oceans	NNS	ocean
looking	VBG	look
for	IN	for
plastic	JJ	plastic
particles	NNS	particle
,	,	,
and	CC	and
done	VBN	do
some	DT	some
analysis	NN	analysis
of	IN	of
hazardous	JJ	hazardous
chemicals	NNS	chemical
in	IN	in
children	NNS	child
’s	POS	's
toys	NNS	toy
in	IN	in
Russia	NP	Russia
.	SENT	.
We	PP	we
basically	RB	basically
offer	VBP	offer
information	NN	information
to	TO	to
every	DT	every
campaign	NN	campaign
Greenpeace	NP	Greenpeace
runs	NNS	run
and	CC	and
try	VBP	try
to	TO	to
bear	VB	bear
witness	NN	witness
to	TO	to
environmental	JJ	environmental
damage	NN	damage
through	IN	through
scientific	JJ	scientific
research	NN	research
.	SENT	.
If	IN	if
you	PP	you
had	VBD	have
to	TO	to
summarise	VB	summarise
it	PP	it
into	IN	into
one	CD	one
topic	NN	topic
,	,	,
I	PP	I
’d	MD	will
say	VB	say
it	PP	it
’s	VBZ	be
‘	``	'
environmental	JJ	environmental
forensic	JJ	forensic
chemistry	NN	chemistry
’	''	'
.	SENT	.
Very	RB	very
worried	VBN	worry
indeed	RB	indeed
.	SENT	.
It	PP	it
merits	VBZ	merit
at	IN	at
least	JJS	least
an	DT	an
11	CD	@card@
.	SENT	.
We	PP	we
’re	VBP	be
in	IN	in
the	DT	the
grip	NN	grip
of	IN	of
something	NN	something
that	WDT	that
will	MD	will
fundamentally	RB	fundamentally
change	VB	change
the	DT	the
world	NN	world
we	PP	we
live	VBP	live
in	IN	in
and	CC	and
the	DT	the
world	NN	world
our	PP$	our
children	NNS	child
will	MD	will
inherit	VB	inherit
.	SENT	.
Sea	NP	Sea
level	NN	level
rise	NN	rise
,	,	,
food	NN	food
insecurity	NN	insecurity
and	CC	and
extreme	JJ	extreme
weather	NN	weather
are	VBP	be
going	VBG	go
to	TO	to
reach	VB	reach
critical	JJ	critical
proportions	NNS	proportion
this	DT	this
century	NN	century
.	SENT	.
We	PP	we
have	VBP	have
the	DT	the
means	VBZ	mean
to	TO	to
change	VB	change
this	DT	this
,	,	,
we	PP	we
just	RB	just
need	VBP	need
to	TO	to
implement	VB	implement
them	PP	them
.	SENT	.
That	DT	that
’s	VBZ	be
tricky	JJ	tricky
to	TO	to
predict	VB	predict
.	SENT	.
The	DT	the
world	NN	world
will	MD	will
cease	VB	cease
to	TO	to
exist	VB	exist
as	IN	as
we	PP	we
know	VBP	know
it	PP	it
.	SENT	.
We	PP	we
’re	VBP	be
already	RB	already
committed	VBN	commit
to	TO	to
a	DT	a
certain	JJ	certain
amount	NN	amount
of	IN	of
change	NN	change
;	:	;
no-one	NN	no-one
knows	VBZ	know
how	WRB	how
much	RB	much
yet	RB	yet
,	,	,
but	CC	but
we	PP	we
can	MD	can
be	VB	be
sure	JJ	sure
that	IN	that
this	DT	this
new	JJ	new
climate	NN	climate
wo	MD	wo
n’t	RB	n't
support	VB	support
life	NN	life
as	IN	as
it	PP	it
exists	VBZ	exist
today	NN	today
.	SENT	.
If	IN	if
you	PP	you
want	VBP	want
a	DT	a
nightmare	NN	nightmare
scenario	NN	scenario
,	,	,
there	RB	there
’ll	RB	<unknown>
be	VB	be
profound	JJ	profound
social	JJ	social
change	NN	change
.	SENT	.
Technical	JJ	technical
advances	NNS	advance
wo	MD	wo
n’t	RB	n't
save	VB	save
us	PP	us
.	SENT	.
Our	PP$	our
ability	NN	ability
to	TO	to
cope	VB	cope
depends	VBZ	depend
on	IN	on
how	WRB	how
much	JJ	much
we	PP	we
can	MD	can
afford	VB	afford
,	,	,
which	WDT	which
will	MD	will
increase	VB	increase
inequalities	NNS	inequality
between	IN	between
communities	NNS	community
.	SENT	.
Those	DT	those
with	IN	with
the	DT	the
least	JJS	least
will	MD	will
be	VB	be
the	DT	the
hardest	JJS	hard
hit	NN	hit
.	SENT	.
The	DT	the
more	RBR	more
developed	JJ	developed
world	NN	world
will	MD	will
put	VB	put
up	RP	up
borders	NNS	border
,	,	,
there	RB	there
’ll	RB	<unknown>
likely	RB	likely
be	VB	be
wars	NNS	war
over	IN	over
resources	NNS	resource
—	:	-
it	PP	it
wo	MD	wo
n’t	RB	n't
lead	VB	lead
to	TO	to
a	DT	a
global	JJ	global
human	JJ	human
society	NN	society
working	VBG	work
towards	IN	towards
a	DT	a
common	JJ	common
need	NN	need
.	SENT	.
Humans	NNS	human
are	VBP	be
incredibly	RB	incredibly
adaptable	JJ	adaptable
,	,	,
but	CC	but
this	DT	this
will	MD	will
push	VB	push
that	DT	that
ability	NN	ability
to	TO	to
its	PP$	its
limit	NN	limit
.	SENT	.
We	PP	we
have	VBP	have
evidence	NN	evidence
of	IN	of
climate	NN	climate
change	NN	change
coinciding	VBG	coincide
with	IN	with
the	DT	the
collapse	NN	collapse
of	IN	of
ancient	JJ	ancient
civilisations	NNS	civilisation
in	IN	in
the	DT	the
Middle	NP	Middle
East	NP	East
and	CC	and
Mesoamerica	NP	Mesoamerica
as	IN	as
their	PP$	their
land	NN	land
became	VBD	become
unable	JJ	unable
to	TO	to
support	VB	support
their	PP$	their
populations	NNS	population
.	SENT	.
