How	WRB	how
news	NN	news
for	IN	for
the	DT	the
bees	NNS	bee
and	CC	and
other	JJ	other
insects	NNS	insect
which	WDT	which
are	VBP	be
in	IN	in
serious	JJ	serious
decline	NN	decline
.	SENT	.
All	DT	all
over	IN	over
the	DT	the
world	NN	world
,	,	,
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
’	POS	'
rights	NNS	right
have	VBP	have
been	VBN	be
disrespected	VBN	disrespect
,	,	,
resulting	VBG	result
in	IN	in
the	DT	the
destruction	NN	destruction
of	IN	of
their	PP$	their
lands	NNS	land
and	CC	and
genocide	NN	genocide
.	SENT	.
Not	RB	not
only	RB	only
that	IN	that
,	,	,
but	CC	but
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
are	VBP	be
subject	JJ	subject
to	TO	to
intimidation	NN	intimidation
,	,	,
violence	NN	violence
,	,	,
and	CC	and
even	RB	even
murder	NN	murder
as	IN	as
they	PP	they
come	VBP	come
into	IN	into
conflict	NN	conflict
with	IN	with
companies	NNS	company
and	CC	and
governments	NNS	government
trying	VBG	try
to	TO	to
exploit	VB	exploit
their	PP$	their
land	NN	land
,	,	,
whether	IN	whether
for	IN	for
mining	NN	mining
,	,	,
logging	NN	logging
or	CC	or
industrial	JJ	industrial
agriculture	NN	agriculture
.	SENT	.
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
represent	VBP	represent
less	JJR	less
than	IN	than
5	CD	@card@
%	NN	%
of	IN	of
the	DT	the
world	NN	world
’s	POS	's
population	NN	population
.	SENT	.
Yet	RB	yet
collectively	RB	collectively
,	,	,
their	PP$	their
lands	NNS	land
hold	VBP	hold
over	IN	over
a	DT	a
third	JJ	third
of	IN	of
all	DT	all
remaining	VBG	remain
natural	JJ	natural
areas	NNS	area
and	CC	and
they	PP	they
are	VBP	be
on	IN	on
the	DT	the
frontlines	NNS	frontline
fighting	VBG	fight
to	TO	to
defend	VB	defend
forests	NNS	forest
and	CC	and
other	JJ	other
natural	JJ	natural
areas	NNS	area
.	SENT	.
Studies	NNS	study
have	VBP	have
shown	VBN	show
that	IN	that
areas	NNS	area
governed	VBN	govern
by	IN	by
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
contain	VBP	contain
more	JJR	more
biodiversity	NN	biodiversity
than	IN	than
elsewhere	RB	elsewhere
.	SENT	.
The	DT	the
new	JJ	new
IPCC	NP	<unknown>
land	NN	land
report	NN	report
is	VBZ	be
clear	JJ	clear
that	IN	that
respecting	VBG	respect
and	CC	and
supporting	VBG	support
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
is	VBZ	be
vital	JJ	vital
to	TO	to
make	VB	make
sure	JJ	sure
forests	NNS	forest
and	CC	and
other	JJ	other
natural	JJ	natural
areas	NNS	area
are	VBP	be
healthy	JJ	healthy
and	CC	and
well-managed	VBN	well-manage
.	SENT	.
Stripping	VBG	strip
away	RP	away
the	DT	the
natural	JJ	natural
vegetation	NN	vegetation
to	TO	to
farm	VB	farm
intensively	RB	intensively
is	VBZ	be
bad	JJ	bad
news	NN	news
for	IN	for
the	DT	the
soil	NN	soil
.	SENT	.
Using	VBG	use
the	DT	the
same	JJ	same
land	NN	land
to	TO	to
produce	VB	produce
multiple	JJ	multiple
harvests	NNS	harvest
each	DT	each
year	NN	year
and	CC	and
the	DT	the
extensive	JJ	extensive
use	NN	use
of	IN	of
agrochemicals	NNS	agrochemical
have	VBP	have
caused	VBN	cause
considerable	JJ	considerable
damage	NN	damage
to	TO	to
soil	NN	soil
fertility	NN	fertility
.	SENT	.
According	VBG	accord
to	TO	to
the	DT	the
UN	NP	UN
,	,	,
a	DT	a
third	JJ	third
of	IN	of
all	DT	all
land	NN	land
has	VBZ	have
been	VBN	be
degraded	VBN	degrade
and	CC	and
we	PP	we
’re	VBP	be
losing	VBG	lose
24	CD	@card@
billion	NN	billion
tonnes	NNS	tonne
of	IN	of
fertile	JJ	fertile
soil	NN	soil
every	DT	every
year	NN	year
.	SENT	.
Clearly	RB	clearly
,	,	,
this	DT	this
will	MD	will
have	VB	have
an	DT	an
impact	NN	impact
on	IN	on
our	PP$	our
ability	NN	ability
to	TO	to
produce	VB	produce
food	NN	food
.	SENT	.
Cutting	VBG	cut
back	RB	back
on	IN	on
meat-heavy	NN	meat-heavy
diets	NNS	diet
and	CC	and
replacing	VBG	replace
intensive	JJ	intensive
farming	NN	farming
with	IN	with
a	DT	a
more	RBR	more
ecological	JJ	ecological
approach	NN	approach
will	MD	will
reduce	VB	reduce
pressure	NN	pressure
on	IN	on
the	DT	the
land	NN	land
and	CC	and
maintain	VB	maintain
soil	NN	soil
fertility	NN	fertility
.	SENT	.
And	CC	and
soil	NN	soil
is	VBZ	be
another	DT	another
major	JJ	major
carbon	NN	carbon
storage	NN	storage
space	NN	space
,	,	,
so	RB	so
keeping	VBG	keep
soils	NNS	soil
in	IN	in
good	JJ	good
condition	NN	condition
is	VBZ	be
another	DT	another
natural	JJ	natural
solution	NN	solution
to	TO	to
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
One	CD	one
in	IN	in
nine	CD	nine
people	NNS	people
on	IN	on
the	DT	the
planet	NN	planet
suffer	VBP	suffer
from	IN	from
hunger	NN	hunger
because	IN	because
they	PP	they
have	VBP	have
n’t	RB	n't
got	VBN	get
enough	RB	enough
to	TO	to
eat	VB	eat
,	,	,
so	IN	so
it	PP	it
does	VBZ	do
n’t	RB	n't
make	VB	make
sense	NN	sense
to	TO	to
use	VB	use
so	RB	so
much	JJ	much
land	NN	land
growing	VBG	grow
crops	NNS	crop
to	TO	to
feed	VB	feed
animals	NNS	animal
or	CC	or
produce	VB	produce
bioenergy	NN	bioenergy
.	SENT	.
Using	VBG	use
that	DT	that
land	NN	land
to	TO	to
grow	VB	grow
food	NN	food
for	IN	for
people	NNS	people
instead	RB	instead
means	VBZ	mean
providing	VBG	provide
enough	JJ	enough
food	NN	food
for	IN	for
everyone	NN	everyone
.	SENT	.
But	CC	but
for	IN	for
that	DT	that
,	,	,
we	PP	we
need	VBP	need
to	TO	to
reduce	VB	reduce
the	DT	the
amount	NN	amount
of	IN	of
meat	NN	meat
and	CC	and
dairy	NN	dairy
we	PP	we
produce	VBP	produce
and	CC	and
eat	VBP	eat
.	SENT	.
Growing	VBG	grow
crops	NNS	crop
for	IN	for
people	NNS	people
to	TO	to
eat	VB	eat
is	VBZ	be
a	DT	a
much	RB	much
more	RBR	more
efficient	JJ	efficient
use	NN	use
of	IN	of
land	NN	land
.	SENT	.
Shifting	VBG	shift
to	TO	to
largely	RB	largely
plant-based	JJ	<unknown>
diets	NNS	diet
with	IN	with
more	JJR	more
vegetables	NNS	vegetable
,	,	,
fruit	NN	fruit
,	,	,
nuts	NNS	nut
and	CC	and
pulses	NNS	pulse
will	MD	will
mean	VB	mean
less	JJR	less
land	NN	land
is	VBZ	be
needed	VBN	need
for	IN	for
agriculture	NN	agriculture
and	CC	and
more	RBR	more
can	MD	can
be	VB	be
given	VBN	give
back	RB	back
to	TO	to
the	DT	the
forests	NNS	forest
.	SENT	.
Cutting	VBG	cut
back	RB	back
on	IN	on
meat	NN	meat
can	MD	can
also	RB	also
reduce	VB	reduce
the	DT	the
risk	NN	risk
of	IN	of
medical	JJ	medical
conditions	NNS	condition
such	JJ	such
as	IN	as
heart	NN	heart
disease	NN	disease
and	CC	and
type	NN	type
2	CD	@card@
diabetes	NN	diabetes
and	CC	and
can	MD	can
ultimately	RB	ultimately
add	VB	add
up	RP	up
to	TO	to
three	CD	three
and	CC	and
a	DT	a
half	JJ	half
years	NNS	year
to	TO	to
people	NNS	people
’s	POS	's
lives	NNS	life
.	SENT	.
Making	VBG	make
these	DT	these
changes	NNS	change
is	VBZ	be
not	RB	not
only	RB	only
good	JJ	good
for	IN	for
our	PP$	our
health	NN	health
,	,	,
but	CC	but
the	DT	the
health	NN	health
of	IN	of
the	DT	the
planet	NN	planet
.	SENT	.
If	IN	if
we	PP	we
want	VBP	want
to	TO	to
keep	VB	keep
both	CC	both
our	PP$	our
bodies	NNS	body
and	CC	and
our	PP$	our
planet	NN	planet
healthy	JJ	healthy
,	,	,
we	PP	we
need	VBP	need
to	TO	to
make	VB	make
big	JJ	big
changes	NNS	change
to	TO	to
the	DT	the
way	NN	way
we	PP	we
look	VBP	look
after	IN	after
the	DT	the
land	NN	land
.	SENT	.
Dr.	NP	Dr.
Reyes	NP	Reyes
Tirado	NP	Tirado
works	VBZ	work
as	IN	as
part	NN	part
of	IN	of
the	DT	the
Greenpeace	NP	Greenpeace
Research	NP	Research
Laboratory	NP	Laboratory
at	IN	at
the	DT	the
University	NP	University
of	IN	of
Exeter	NP	Exeter
in	IN	in
the	DT	the
UK	NP	UK
.	SENT	.
She	PP	she
leads	VBZ	lead
field	NN	field
investigations	NNS	investigation
and	CC	and
scientific	JJ	scientific
analysis	NN	analysis
on	IN	on
climate	NN	climate
change	NN	change
and	CC	and
biodiversity	NN	biodiversity
,	,	,
agriculture	NN	agriculture
and	CC	and
food	NN	food
systems	NNS	system
.	SENT	.
Using	VBG	use
ecological	JJ	ecological
farming	NN	farming
practices	NNS	practice
and	CC	and
giving	VBG	give
more	RBR	more
of	IN	of
the	DT	the
land	NN	land
back	RB	back
to	TO	to
nature	NN	nature
is	VBZ	be
critical	JJ	critical
in	IN	in
guarding	VBG	guard
against	IN	against
the	DT	the
climate	NN	climate
crisis	NN	crisis
,	,	,
providing	VBG	provide
enough	JJ	enough
food	NN	food
for	IN	for
everyone	NN	everyone
,	,	,
and	CC	and
to	TO	to
ensure	VB	ensure
the	DT	the
survival	NN	survival
of	IN	of
Indigenous	JJ	indigenous
Peoples	NPS	Peoples
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
Unfortunately	RB	unfortunately
,	,	,
a	DT	a
major	JJ	major
new	JJ	new
report	NN	report
from	IN	from
the	DT	the
Intergovernmental	NP	Intergovernmental
Panel	NP	Panel
on	IN	on
Climate	NN	climate
Change	NP	Change
–	:	-
the	DT	the
UN	NP	UN
body	NN	body
providing	VBG	provide
the	DT	the
scientific	JJ	scientific
analysis	NN	analysis
informing	VBG	inform
global	JJ	global
action	NN	action
–	:	-
reveals	VBZ	reveal
how	WRB	how
land	NN	land
of	IN	of
all	DT	all
types	NNS	type
(	(	(
forests	NNS	forest
,	,	,
grasslands	NNS	grassland
and	CC	and
wetlands	NNS	wetland
to	TO	to
name	VB	name
a	DT	a
few	JJ	few
)	)	)
is	VBZ	be
being	VBG	be
mistreated	VBN	mistreat
,	,	,
causing	VBG	cause
a	DT	a
host	NN	host
of	IN	of
social	JJ	social
and	CC	and
environmental	JJ	environmental
problems	NNS	problem
.	SENT	.
Ironically	RB	ironically
,	,	,
the	DT	the
way	NN	way
we	PP	we
produce	VBP	produce
our	PP$	our
food	NN	food
is	VBZ	be
causing	VBG	cause
many	JJ	many
of	IN	of
these	DT	these
problems	NNS	problem
.	SENT	.
Industrial	JJ	industrial
agriculture	NN	agriculture
has	VBZ	have
expanded	VBN	expand
across	IN	across
the	DT	the
planet	NN	planet
at	IN	at
a	DT	a
phenomenal	JJ	phenomenal
rate	NN	rate
,	,	,
chewing	VBG	chew
up	RP	up
forests	NNS	forest
and	CC	and
other	JJ	other
natural	JJ	natural
areas	NNS	area
to	TO	to
produce	VB	produce
cheap	JJ	cheap
crops	NNS	crop
and	CC	and
meat	NN	meat
.	SENT	.
Here	RB	here
are	VBP	be
the	DT	the
top	JJ	top
five	CD	five
reasons	NNS	reason
we	PP	we
should	MD	should
take	VB	take
more	JJR	more
care	NN	care
with	IN	with
the	DT	the
land	NN	land
.	SENT	.
Forests	NNS	forest
provide	VBP	provide
an	DT	an
essential	JJ	essential
buffer	NN	buffer
against	IN	against
the	DT	the
ongoing	JJ	ongoing
climate	NN	climate
breakdown	NN	breakdown
.	SENT	.
Large	JJ	large
,	,	,
healthy	JJ	healthy
forests	NNS	forest
are	VBP	be
vital	JJ	vital
if	IN	if
we	PP	we
are	VBP	be
to	TO	to
keep	VB	keep
global	JJ	global
warming	NN	warming
below	IN	below
1.5ºC	NP	<unknown>
,	,	,
the	DT	the
level	NN	level
needed	VBD	need
to	TO	to
keep	VB	keep
the	DT	the
climate	NN	climate
under	IN	under
control	NN	control
,	,	,
as	RB	as
are	VBP	be
other	JJ	other
natural	JJ	natural
areas	NNS	area
like	IN	like
grasslands	NNS	grassland
and	CC	and
wetlands	NNS	wetland
.	SENT	.
They	PP	they
draw	VBP	draw
down	RP	down
carbon	NN	carbon
dioxide	NN	dioxide
from	IN	from
the	DT	the
atmosphere	NN	atmosphere
to	TO	to
lock	VB	lock
it	PP	it
away	RP	away
in	IN	in
plant	NN	plant
matter	NN	matter
and	CC	and
the	DT	the
soils	NNS	soil
.	SENT	.
So	IN	so
the	DT	the
remaining	VBG	remain
forests	NNS	forest
need	VBP	need
to	TO	to
be	VB	be
protected	VBN	protect
,	,	,
damaged	JJ	damaged
forests	NNS	forest
allowed	VBN	allow
to	TO	to
recover	VB	recover
and	CC	and
millions	NNS	million
of	IN	of
native	JJ	native
trees	NNS	tree
planted	VBN	plant
to	TO	to
restore	VB	restore
natural	JJ	natural
forests	NNS	forest
(	(	(
rather	RB	rather
than	IN	than
creating	VBG	create
commercial	JJ	commercial
tree	NN	tree
plantations	NNS	plantation
which	WDT	which
do	VBP	do
n’t	RB	n't
have	VB	have
anywhere	RB	anywhere
near	IN	near
the	DT	the
same	JJ	same
impact	NN	impact
on	IN	on
reducing	VBG	reduce
emissions	NNS	emission
)	)	)
.	SENT	.
But	CC	but
what	WP	what
’s	VBZ	be
happening	VBG	happen
instead	RB	instead
is	VBZ	be
that	IN	that
forests	NNS	forest
and	CC	and
grasslands	NNS	grassland
are	VBP	be
being	VBG	be
torn	VBN	tear
up	RP	up
at	IN	at
an	DT	an
ever-increasing	VBG	ever-increase
rate	NN	rate
,	,	,
largely	RB	largely
by	IN	by
industrial	JJ	industrial
agriculture	NN	agriculture
.	SENT	.
The	DT	the
drive	NN	drive
to	TO	to
produce	VB	produce
cheap	JJ	cheap
meat	NN	meat
has	VBZ	have
seen	VBN	see
vast	JJ	vast
areas	NNS	area
of	IN	of
forest	NN	forest
being	VBG	be
replaced	VBN	replace
with	IN	with
enormous	JJ	enormous
cattle	NNS	cattle
farms	NNS	farm
and	CC	and
soya	NN	soya
plantations	NNS	plantation
to	TO	to
feed	VB	feed
cows	NNS	cow
,	,	,
pigs	NNS	pig
and	CC	and
chickens	NNS	chicken
.	SENT	.
Converting	VBG	convert
forests	NNS	forest
into	IN	into
agricultural	JJ	agricultural
land	NN	land
releases	VBZ	release
carbon	NN	carbon
emissions	NNS	emission
.	SENT	.
So	RB	so
it	PP	it
’s	VBZ	be
no	DT	no
surprise	NN	surprise
that	IN	that
nearly	RB	nearly
a	DT	a
quarter	NN	quarter
of	IN	of
global	JJ	global
emissions	NNS	emission
comes	VBZ	come
from	IN	from
agriculture	NN	agriculture
,	,	,
forestry	NN	forestry
and	CC	and
other	JJ	other
types	NNS	type
of	IN	of
land	NN	land
use	NN	use
,	,	,
and	CC	and
meat	NN	meat
and	CC	and
dairy	NN	dairy
production	NN	production
is	VBZ	be
responsible	JJ	responsible
for	IN	for
a	DT	a
significant	JJ	significant
proportion	NN	proportion
of	IN	of
those	DT	those
.	SENT	.
Cutting	VBG	cut
back	RB	back
on	IN	on
the	DT	the
amount	NN	amount
of	IN	of
meat	NN	meat
and	CC	and
dairy	NN	dairy
we	PP	we
produce	VBP	produce
and	CC	and
eat	VBP	eat
will	MD	will
reduce	VB	reduce
the	DT	the
amount	NN	amount
of	IN	of
forests	NNS	forest
being	VBG	be
converted	VBN	convert
into	IN	into
agricultural	JJ	agricultural
land	NN	land
.	SENT	.
Reducing	VBG	reduce
meat	NN	meat
consumption	NN	consumption
around	IN	around
the	DT	the
world	NN	world
by	IN	by
50	CD	@card@
%	NN	%
in	IN	in
the	DT	the
next	JJ	next
30	CD	@card@
years	NNS	year
(	(	(
and	CC	and
by	IN	by
even	RB	even
greater	JJR	great
amounts	NNS	amount
in	IN	in
regions	NNS	region
where	WRB	where
meat	NN	meat
consumption	NN	consumption
is	VBZ	be
already	RB	already
high	JJ	high
,	,	,
like	IN	like
Europe	NP	Europe
and	CC	and
North	NP	North
America	NP	America
)	)	)
is	VBZ	be
crucial	JJ	crucial
to	TO	to
slash	VB	slash
emissions	NNS	emission
and	CC	and
fight	VB	fight
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
