“	``	"
The	DT	the
Brazilian	JJ	Brazilian
authorities	NNS	authority
have	VBP	have
abandoned	VBN	abandon
us	PP	us
and	CC	and
are	VBP	be
not	RB	not
doing	VBG	do
their	PP$	their
duties	NNS	duty
to	TO	to
protect	VB	protect
our	PP$	our
land	NN	land
from	IN	from
illegal	JJ	illegal
loggers	NNS	logger
and	CC	and
land	NN	land
grabbers	NNS	grabber
.	SENT	.
Now	RB	now
it	PP	it
’s	VBZ	be
in	IN	in
our	PP$	our
own	JJ	own
hands	NNS	hand
.	SENT	.
”	''	"
has	VBZ	have
never	RB	never
been	VBN	be
under	IN	under
such	JJ	such
serious	JJ	serious
attack	NN	attack
.	SENT	.
Ratified	VBN	ratify
in	IN	in
1998	CD	@card@
,	,	,
their	PP$	their
152,930-ha	NP	<unknown>
territory	NN	territory
has	VBZ	have
one	CD	one
of	IN	of
the	DT	the
highest	JJS	high
rates	NNS	rate
of	IN	of
deforestation	NN	deforestation
of	IN	of
all	DT	all
Indigenous	JJ	indigenous
areas	NNS	area
in	IN	in
the	DT	the
Amazon	NP	Amazon
.	SENT	.
They	PP	they
are	VBP	be
surrounded	VBN	surround
by	IN	by
cattle	NNS	cattle
farms	NNS	farm
and	CC	and
destroyed	VBN	destroy
rainforests	NNS	rainforest
,	,	,
and	CC	and
a	DT	a
view	NN	view
on	IN	on
google	NN	<unknown>
earth	NN	earth
is	VBZ	be
enough	JJ	enough
to	TO	to
show	VB	show
the	DT	the
scale	NN	scale
of	IN	of
deforestation	NN	deforestation
around	IN	around
their	PP$	their
territory	NN	territory
.	SENT	.
Illegal	JJ	illegal
roads	NNS	road
lead	VBP	lead
toward	IN	toward
and	CC	and
into	IN	into
their	PP$	their
land	NN	land
,	,	,
invading	VBG	invade
the	DT	the
forest	NN	forest
deeper	RBR	deeper
and	CC	and
deeper	RBR	deeper
,	,	,
allowing	VBG	allow
loggers	NNS	logger
to	TO	to
have	VB	have
more	JJR	more
access	NN	access
to	TO	to
their	PP$	their
territory	NN	territory
.	SENT	.
In	IN	in
the	DT	the
first	JJ	first
half	NN	half
of	IN	of
2017	CD	@card@
,	,	,
more	JJR	more
than	IN	than
1000	CD	@card@
hectares	NNS	hectare
of	IN	of
forest	NN	forest
were	VBD	be
taken	VBN	take
down	RP	down
,	,	,
an	DT	an
area	NN	area
the	DT	the
size	NN	size
of	IN	of
about	RB	about
1000	CD	@card@
soccer	NN	soccer
fields	NNS	field
.	SENT	.
Most	JJS	most
of	IN	of
the	DT	the
destruction	NN	destruction
remains	VBZ	remain
almost	RB	almost
invisible	JJ	invisible
to	TO	to
satellites	NNS	satellite
since	IN	since
small	JJ	small
areas	NNS	area
are	VBP	be
cleared	VBN	clear
(	(	(
sometimes	RB	sometimes
,	,	,
it	PP	it
’s	VBZ	be
single	JJ	single
trees	NNS	tree
like	IN	like
the	DT	the
precious	JJ	precious
Ipê	NP	<unknown>
,	,	,
that	WDT	that
are	VBP	be
cut	VBN	cut
down	RB	down
and	CC	and
sold	VBN	sell
.	SENT	.
)	)	)
Map	NN	map
of	IN	of
the	DT	the
Karipuna	NP	<unknown>
Indigenous	JJ	indigenous
land	NN	land
in	IN	in
the	DT	the
Brazilian	JJ	Brazilian
Amazon	NN	Amazon
©	SYM	©
Greenpeace	NP	Greenpeace
,	,	,
CIMI	NP	<unknown>
and	CC	and
Association	NP	Association
of	IN	of
Indigenous	JJ	indigenous
Peoples	NP	Peoples
Karipuna	NP	<unknown>
Abytucu	NP	<unknown>
Apoika	NP	<unknown>
Although	IN	although
the	DT	the
Karipuna	NP	<unknown>
face	NN	face
death	NN	death
threats	NNS	threat
and	CC	and
blackmailing	VBG	blackmail
from	IN	from
the	DT	the
logging	VBG	log
industry	NN	industry
,	,	,
they	PP	they
stand	VBP	stand
strong	JJ	strong
to	TO	to
protect	VB	protect
the	DT	the
forest	NN	forest
and	CC	and
their	PP$	their
community	NN	community
.	SENT	.
But	CC	but
they	PP	they
cannot	MD	can
do	VB	do
this	DT	this
alone	RB	alone
.	SENT	.
It	PP	it
’s	VBZ	be
time	NN	time
for	IN	for
the	DT	the
Brazilian	JJ	Brazilian
government	NN	government
to	TO	to
start	VB	start
fulfilling	VBG	fulfill
those	DT	those
promises	NNS	promise
and	CC	and
its	PP$	its
constitutional	JJ	constitutional
duties	NNS	duty
and	CC	and
protecting	VBG	protect
the	DT	the
Indigenous	JJ	indigenous
People	NNS	people
who	WP	who
are	VBP	be
under	IN	under
constant	JJ	constant
attack	NN	attack
from	IN	from
an	DT	an
industry	NN	industry
seeking	VBG	seek
profits	NNS	profit
at	IN	at
all	DT	all
costs	NNS	cost
.	SENT	.
Hope	NN	hope
was	VBD	be
sparked	VBN	spark
during	IN	during
our	PP$	our
meeting	NN	meeting
with	IN	with
the	DT	the
Karipuna	NP	<unknown>
in	IN	in
February	NP	February
when	WRB	when
we	PP	we
discussed	VBD	discuss
how	WRB	how
to	TO	to
end	VB	end
the	DT	the
illegal	JJ	illegal
invasion	NN	invasion
of	IN	of
their	PP$	their
land	NN	land
.	SENT	.
It	PP	it
was	VBD	be
clear	JJ	clear
to	TO	to
us	PP	us
that	IN	that
we	PP	we
had	VBD	have
to	TO	to
stand	VB	stand
with	IN	with
the	DT	the
Karipuna	NP	<unknown>
in	IN	in
their	PP$	their
struggle	NN	struggle
to	TO	to
protect	VB	protect
their	PP$	their
land	NN	land
.	SENT	.
By	IN	by
using	VBG	use
modern	JJ	modern
satellite	NN	satellite
mapping	NN	mapping
and	CC	and
monitoring	NN	monitoring
techniques	NNS	technique
,	,	,
the	DT	the
Karipuna	NP	<unknown>
,	,	,
Greenpeace	NP	Greenpeace
Brazil	NP	Brazil
and	CC	and
CIMI	NP	<unknown>
are	VBP	be
working	VBG	work
together	RB	together
to	TO	to
identify	VB	identify
those	DT	those
responsible	JJ	responsible
for	IN	for
ongoing	JJ	ongoing
illegal	JJ	illegal
trespassing	NN	trespassing
and	CC	and
deforestation	NN	deforestation
and	CC	and
hold	VB	hold
them	PP	them
accountable	JJ	accountable
.	SENT	.
The	DT	the
voices	NNS	voice
of	IN	of
the	DT	the
Karipuna	NP	<unknown>
must	MD	must
be	VB	be
heard	VBN	hear
,	,	,
which	WDT	which
is	VBZ	be
why	WRB	why
Adriano	NP	Adriano
—	:	-
one	CD	one
of	IN	of
their	PP$	their
leaders	NNS	leader
—	:	-
is	VBZ	be
travelling	VBG	travel
to	TO	to
New	NP	New
York	NP	York
to	TO	to
speak	VB	speak
at	IN	at
the	DT	the
UN	NP	UN
meeting	NN	meeting
on	IN	on
Indigenous	JJ	indigenous
Issues	NNS	issue
.	SENT	.
He	PP	he
will	MD	will
bring	VB	bring
the	DT	the
hopes	NNS	hope
of	IN	of
his	PP$	his
people	NNS	people
to	TO	to
the	DT	the
international	JJ	international
community	NN	community
.	SENT	.
This	DT	this
could	MD	could
be	VB	be
one	CD	one
of	IN	of
their	PP$	their
last	JJ	last
chances	NNS	chance
to	TO	to
protect	VB	protect
their	PP$	their
culture	NN	culture
,	,	,
language	NN	language
and	CC	and
community	NN	community
,	,	,
and	CC	and
prevent	VB	prevent
further	JJR	further
destruction	NN	destruction
to	TO	to
the	DT	the
forest	NN	forest
they	PP	they
depend	VBP	depend
on	IN	on
to	TO	to
survive	VB	survive
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
make	VB	make
sure	RB	sure
the	DT	the
world	NN	world
knows	VBZ	know
Adriano	NP	Adriano
and	CC	and
the	DT	the
Karipuna	NP	<unknown>
’s	POS	's
story	NN	story
.	SENT	.
We	PP	we
need	VBP	need
to	TO	to
stand	VB	stand
with	IN	with
the	DT	the
guardians	NNS	guardian
of	IN	of
the	DT	the
Amazon	NP	Amazon
.	SENT	.
Oliver	NP	Oliver
Salge	NP	Salge
is	VBZ	be
the	DT	the
project	NN	project
leader	NN	leader
of	IN	of
the	DT	the
All	NP	All
eyes	NNS	eye
on	IN	on
the	DT	the
Amazon	NP	Amazon
project	NN	project
,	,	,
based	VBN	base
in	IN	in
Brazil	NP	Brazil
.	SENT	.
