There	EX	there
the	DT	the
2022	CD	@card@
Academy	NP	Academy
Awards	NNS	award
—	:	-
uses	VBZ	use
the	DT	the
threat	NN	threat
of	IN	of
a	DT	a
large	JJ	large
comet	NN	comet
on	IN	on
a	DT	a
collision	NN	collision
course	NN	course
with	IN	with
Earth	NP	Earth
to	TO	to
represent	VB	represent
the	DT	the
very	RB	very
real	JJ	real
and	CC	and
very	JJ	very
urgent	JJ	urgent
threats	NNS	threat
of	IN	of
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
In	IN	in
the	DT	the
film	NN	film
,	,	,
astronomers	NNS	astronomer
are	VBP	be
consistently	RB	consistently
ignored	VBN	ignore
as	IN	as
they	PP	they
try	VBP	try
to	TO	to
alert	VB	alert
the	DT	the
media	NNS	medium
or	CC	or
to	TO	to
implore	VB	implore
the	DT	the
US	NP	US
president	NN	president
to	TO	to
take	VB	take
action	NN	action
before	IN	before
it	PP	it
’s	VBZ	be
too	RB	too
late	JJ	late
.	SENT	.
Perhaps	RB	perhaps
not	RB	not
surprisingly	RB	surprisingly
,	,	,
the	DT	the
film	NN	film
resonated	VBD	resonate
with	IN	with
Greenpeace	NP	Greenpeace
International	NP	International
co-founder	NN	co-founder
Rex	NP	Rex
Weyler	NP	Weyler
:	:	:
“	``	"
The	DT	the
film	NN	film
does	VBZ	do
not	RB	not
set	VB	set
out	RP	out
to	TO	to
articulate	VB	articulate
a	DT	a
full-system	NN	full-system
solution	NN	solution
or	CC	or
provide	VB	provide
action	NN	action
tips	NNS	tip
for	IN	for
those	DT	those
who	WP	who
might	MD	might
agree	VB	agree
with	IN	with
the	DT	the
message	NN	message
.	SENT	.
The	DT	the
film	NN	film
is	VBZ	be
a	DT	a
wake-up	JJ	wake-up
call	NN	call
.	SENT	.
Films	NNS	film
that	WDT	that
try	VBP	try
to	TO	to
deliver	VB	deliver
a	DT	a
message	NN	message
can	MD	can
feel	VB	feel
self-righteous	JJ	self-righteous
,	,	,
but	CC	but
this	DT	this
film	NN	film
avoids	VBZ	avoid
that	IN	that
,	,	,
primarily	RB	primarily
with	IN	with
humour	NN	humour
.	SENT	.
I	PP	I
identified	VBD	identify
with	IN	with
both	DT	both
characters	NNS	character
Kate	NP	Kate
and	CC	and
Dr.	NP	Dr.
Mindy	NP	Mindy
,	,	,
their	PP$	their
frustration	NN	frustration
at	IN	at
being	VBG	be
ignored	VBN	ignore
,	,	,
and	CC	and
their	PP$	their
embarrassment	NN	embarrassment
when	WRB	when
they	PP	they
lost	VBD	lose
control	NN	control
or	CC	or
failed	VBD	fail
to	TO	to
articulate	VB	articulate
their	PP$	their
concern	NN	concern
appropriately	RB	appropriately
.	SENT	.
I	PP	I
found	VBD	find
the	DT	the
final	JJ	final
scene	NN	scene
heart-wrenchingly	RB	heart-wrenchingly
beautiful	JJ	beautiful
,	,	,
even	RB	even
as	IN	as
cast	NN	cast
against	IN	against
impending	JJ	impending
disaster	NN	disaster
.	SENT	.
”	''	"
If	IN	if
you	PP	you
watched	VBN	watch
Do	VBP	do
n’t	RB	n't
Look	VB	look
Up	RP	up
And	CC	and
are	VBP	be
looking	VBG	look
for	IN	for
more	JJR	more
films	NNS	film
that	WDT	that
engage	VBP	engage
with	IN	with
the	DT	the
climate	NN	climate
crisis	NN	crisis
or	CC	or
can	MD	can
help	VB	help
you	PP	you
learn	VB	learn
more	RBR	more
about	IN	about
the	DT	the
environment	NN	environment
as	RB	as
well	RB	well
as	IN	as
our	PP$	our
relationship	NN	relationship
to	TO	to
it	PP	it
,	,	,
here	RB	here
are	VBP	be
several	JJ	several
options	NNS	option
:	:	:
The	DT	the
2020	CD	@card@
Academy	NP	Academy
Award	NN	award
Best	JJS	good
Picture	NP	Picture
winner	NN	winner
made	VBD	make
history	NN	history
when	WRB	when
it	PP	it
became	VBD	become
the	DT	the
first	JJ	first
non-English	JJ	non-English
language	NN	language
film	NN	film
to	TO	to
win	VB	win
Best	JJS	good
Picture	NN	picture
.	SENT	.
Yet	RB	yet
the	DT	the
win	NN	win
was	VBD	be
also	RB	also
remarkable	JJ	remarkable
in	IN	in
being	VBG	be
the	DT	the
first	JJ	first
winner	NN	winner
to	TO	to
tell	VB	tell
a	DT	a
story	NN	story
of	IN	of
the	DT	the
impacts	NNS	impact
of	IN	of
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
Centering	VBG	center
inequality	NN	inequality
,	,	,
the	DT	the
film	NN	film
demonstrates	VBZ	demonstrate
through	IN	through
two	CD	two
families	NNS	family
just	RB	just
how	WRB	how
the	DT	the
climate	NN	climate
emergency	NN	emergency
not	RB	not
only	RB	only
is	VBZ	be
exacerbated	VBN	exacerbate
by	IN	by
the	DT	the
existing	JJ	existing
social	JJ	social
orders	NNS	order
but	CC	but
how	WRB	how
it	PP	it
affects	VBZ	affect
all	DT	all
areas	NNS	area
of	IN	of
life	NN	life
—	:	-
housing	NN	housing
,	,	,
public	JJ	public
health	NN	health
,	,	,
transportation	NN	transportation
,	,	,
to	TO	to
name	VB	name
a	DT	a
few	JJ	few
—	:	-
and	CC	and
comes	VBZ	come
for	IN	for
the	DT	the
most	RBS	most
vulnerable	JJ	vulnerable
first	JJ	first
:	:	:
truths	NNS	truth
we	PP	we
are	VBP	be
already	RB	already
all	DT	all
too	RB	too
familiar	JJ	familiar
with	IN	with
today	NN	today
.	SENT	.
The	DT	the
life	NN	life
of	IN	of
the	DT	the
American	JJ	American
oceanographer	NN	oceanographer
Sylvia	NP	Sylvia
Earle	NP	Earle
is	VBZ	be
incredible	JJ	incredible
:	:	:
as	IN	as
a	DT	a
young	JJ	young
woman	NN	woman
,	,	,
she	PP	she
started	VBD	start
to	TO	to
dive	VB	dive
and	CC	and
be	VB	be
part	NN	part
of	IN	of
scientific	JJ	scientific
missions	NNS	mission
at	IN	at
a	DT	a
time	NN	time
when	WRB	when
women	NNS	woman
had	VBD	have
no	DT	no
space	NN	space
for	IN	for
that	DT	that
.	SENT	.
She	PP	she
made	VBD	make
history	NN	history
with	IN	with
her	PP$	her
commitment	NN	commitment
.	SENT	.
She	PP	she
became	VBD	become
the	DT	the
first	JJ	first
woman	NN	woman
to	TO	to
head	VB	head
the	DT	the
National	NP	National
Oceanic	JJ	oceanic
and	CC	and
Atmospheric	JJ	atmospheric
Administration	NP	Administration
(	(	(
NOAA	NP	NOAA
)	)	)
and	CC	and
,	,	,
in	IN	in
1998	CD	@card@
,	,	,
was	VBD	be
named	VBN	name
by	IN	by
Time	NP	Time
magazine	NN	magazine
as	IN	as
the	DT	the
first	JJ	first
female	JJ	female
Hero	NN	hero
of	IN	of
the	DT	the
Planet	NN	planet
.	SENT	.
At	IN	at
86	CD	@card@
,	,	,
Sylvia	NP	Sylvia
continues	VBZ	continue
to	TO	to
dive	VB	dive
and	CC	and
is	VBZ	be
an	DT	an
example	NN	example
of	IN	of
commitment	NN	commitment
and	CC	and
determination	NN	determination
for	IN	for
the	DT	the
environmental	JJ	environmental
cause	NN	cause
.	SENT	.
If	IN	if
we	PP	we
wanted	VBD	want
to	TO	to
be	VB	be
minimalistic	JJ	<unknown>
,	,	,
we	PP	we
could	MD	could
describe	VB	describe
this	DT	this
movie	NN	movie
in	IN	in
one	CD	one
sentence	NN	sentence
:	:	:
it	PP	it
is	VBZ	be
a	DT	a
film	NN	film
about	IN	about
having	VBG	have
fewer	JJR	few
things	NNS	thing
.	SENT	.
But	CC	but
the	DT	the
documentary	NN	documentary
is	VBZ	be
much	RB	much
more	JJR	more
than	IN	than
that	DT	that
.	SENT	.
It	PP	it
is	VBZ	be
rich	JJ	rich
in	IN	in
content	NN	content
and	CC	and
reflections	NNS	reflection
about	IN	about
the	DT	the
movement	NN	movement
that	WDT	that
shows	VBZ	show
how	WRB	how
we	PP	we
can	MD	can
live	VB	live
with	IN	with
less	JJR	less
and	CC	and
,	,	,
therefore	RB	therefore
,	,	,
demand	NN	demand
less	CC	less
natural	JJ	natural
resources	NNS	resource
from	IN	from
Earth	NP	Earth
.	SENT	.
With	IN	with
less	JJR	less
time	NN	time
for	IN	for
your	PP$	your
stuff	NN	stuff
,	,	,
you	PP	you
have	VBP	have
time	NN	time
for	IN	for
what	WP	what
really	RB	really
matters	VBZ	matter
,	,	,
like	IN	like
family	NN	family
and	CC	and
friends	NNS	friend
.	SENT	.
Climate	NN	climate
change	NN	change
is	VBZ	be
not	RB	not
just	RB	just
a	DT	a
prediction	NN	prediction
by	IN	by
scientists	NNS	scientist
.	SENT	.
It	PP	it
’s	VBZ	be
a	DT	a
reality	NN	reality
for	IN	for
many	JJ	many
people	NNS	people
around	IN	around
the	DT	the
world	NN	world
.	SENT	.
From	IN	from
the	DT	the
young	JJ	young
Krikati	NP	<unknown>
Indigenous	JJ	indigenous
woman	NN	woman
who	WP	who
became	VBD	become
a	DT	a
volunteer	NN	volunteer
firefighter	NN	firefighter
to	TO	to
protect	VB	protect
her	PP$	her
People	NNS	people
’s	POS	's
land	NN	land
,	,	,
to	TO	to
the	DT	the
small	JJ	small
farmer	NN	farmer
who	WP	who
faced	VBD	face
six	CD	six
years	NNS	year
of	IN	of
drought	NN	drought
in	IN	in
his	PP$	his
home	NN	home
state	NN	state
,	,	,
this	DT	this
film	NN	film
tells	VBZ	tell
the	DT	the
story	NN	story
of	IN	of
Brazilians	NNS	Brazilian
who	WP	who
have	VBP	have
already	RB	already
been	VBN	be
affected	VBN	affect
by	IN	by
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
