Earlier	RBR	earlier
,	,	,
many	JJ	many
folks	NNS	folk
have	VBP	have
no	DT	no
choice	NN	choice
but	CC	but
to	TO	to
resort	VB	resort
to	TO	to
the	DT	the
car	NN	car
or	CC	or
plane	NN	plane
for	IN	for
their	PP$	their
vacations	NNS	vacation
due	JJ	due
to	TO	to
the	DT	the
lack	NN	lack
of	IN	of
trains	NNS	train
.	SENT	.
We	PP	we
urgently	RB	urgently
need	VBP	need
European	JJ	European
governments	NNS	government
to	TO	to
invest	VB	invest
in	IN	in
a	DT	a
geographically	RB	geographically
robust	JJ	robust
and	CC	and
accessible	JJ	accessible
railway	NN	railway
system	NN	system
for	IN	for
everyone	NN	everyone
everywhere	RB	everywhere
,	,	,
not	RB	not
just	RB	just
those	DT	those
routes	NNS	route
with	IN	with
the	DT	the
highest	JJS	high
demand	NN	demand
.	SENT	.
In	IN	in
Eastern	NP	Eastern
and	CC	and
Northern	NP	Northern
Europe	NP	Europe
,	,	,
for	IN	for
example	NN	example
,	,	,
distances	NNS	distance
are	VBP	be
big	JJ	big
and	CC	and
alternatives	NNS	alternative
still	RB	still
need	VBP	need
to	TO	to
be	VB	be
designed	VBN	design
and	CC	and
delivered	VBN	deliver
.	SENT	.
If	IN	if
Europe	NP	Europe
truly	RB	truly
wants	VBZ	want
to	TO	to
be	VB	be
united	VBN	unite
,	,	,
train	NN	train
travel	NN	travel
time	NN	time
between	IN	between
places	NNS	place
like	IN	like
Bucharest	NP	Bucharest
(	(	(
Romania	NP	Romania
)	)	)
and	CC	and
Sofia	NP	Sofia
(	(	(
Bulgaria	NP	Bulgaria
)	)	)
,	,	,
the	DT	the
capitals	NNS	capital
of	IN	of
the	DT	the
two	CD	two
largest	JJS	large
countries	NNS	country
in	IN	in
Eastern	NP	Eastern
Europe	NP	Europe
,	,	,
should	MD	should
be	VB	be
5	CD	@card@
hours	NNS	hour
,	,	,
not	RB	not
11	CD	@card@
hours	NNS	hour
with	IN	with
multiple	JJ	multiple
transfers	NNS	transfer
.	SENT	.
Investing	VBG	invest
in	IN	in
trains	NNS	train
is	VBZ	be
a	DT	a
key	NN	key
to	TO	to
fighting	VBG	fight
the	DT	the
climate	NN	climate
emergency	NN	emergency
while	IN	while
connecting	VBG	connect
Europeans	NNS	European
and	CC	and
other	JJ	other
travelers	NNS	traveler
with	IN	with
their	PP$	their
cities	NNS	city
and	CC	and
countries	NNS	country
in	IN	in
a	DT	a
sustainable	JJ	sustainable
way	NN	way
.	SENT	.
But	CC	but
diminishing	VBG	diminish
connections	NNS	connection
has	VBZ	have
forced	VBN	force
people	NNS	people
to	TO	to
use	VB	use
more	JJR	more
polluting	VBG	pollute
means	NNS	mean
of	IN	of
transport	NN	transport
.	SENT	.
The	DT	the
European	NP	European
Commission	NP	Commission
has	VBZ	have
declared	VBN	declare
2021	CD	@card@
the	DT	the
“	``	"
European	JJ	European
Year	NN	year
of	IN	of
Rail	NP	Rail
”	''	"
,	,	,
highlighting	VBG	highlight
the	DT	the
essential	JJ	essential
role	NN	role
of	IN	of
the	DT	the
train	NN	train
in	IN	in
fighting	VBG	fight
the	DT	the
climate	NN	climate
crisis	NN	crisis
.	SENT	.
Traveling	VBG	travel
by	IN	by
plane	NN	plane
pollutes	VBZ	pollute
up	RP	up
to	TO	to
20	CD	@card@
times	NNS	time
more	RBR	more
than	IN	than
travelling	VBG	travel
by	IN	by
train	NN	train
.	SENT	.
Greenpeace	NP	Greenpeace
demands	VBZ	demand
that	IN	that
EU	NP	EU
institutions	NNS	institution
and	CC	and
national	JJ	national
governments	NNS	government
be	VB	be
consistent	JJ	consistent
with	IN	with
their	PP$	their
climate	NN	climate
objectives	NNS	objective
and	CC	and
promote	VB	promote
a	DT	a
system	NN	system
whereby	WRB	whereby
the	DT	the
train	NN	train
—	:	-
already	RB	already
climate-friendly	JJ	climate-friendly
,	,	,
safe	JJ	safe
—	:	-
is	VBZ	be
an	DT	an
affordable	JJ	affordable
alternative	NN	alternative
to	TO	to
short-haul	NN	short-haul
flights	NNS	flight
and	CC	and
the	DT	the
car	NN	car
.	SENT	.
With	IN	with
that	DT	that
in	IN	in
mind	NN	mind
,	,	,
Greenpeace	NP	Greenpeace
Spain	NP	Spain
produced	VBD	produce
a	DT	a
video	NN	video
to	TO	to
encourage	VB	encourage
citizens	NNS	citizen
to	TO	to
sign	VB	sign
a	DT	a
petition	NN	petition
addressed	VBN	address
to	TO	to
European	NP	European
Transport	NP	Transport
Ministers	NP	Ministers
with	IN	with
five	CD	five
proposals	NNS	proposal
that	WDT	that
would	MD	would
allow	VB	allow
us	PP	us
to	TO	to
travel	VB	travel
better	JJR	good
in	IN	in
the	DT	the
future	NN	future
:	:	:
Create	VB	create
at	IN	at
least	JJS	least
30	CD	@card@
new	JJ	new
day	NN	day
and	CC	and
night	NN	night
connections	NNS	connection
between	IN	between
European	JJ	European
countries	NNS	country
by	IN	by
2025	CD	@card@
Improve	VBP	improve
the	DT	the
compatibility	NN	compatibility
of	IN	of
trains	NNS	train
between	IN	between
countries	NNS	country
so	IN	so
that	DT	that
journeys	NNS	journey
between	IN	between
different	JJ	different
European	JJ	European
territories	NNS	territory
are	VBP	be
possible	RB	possible
Make	VB	make
the	DT	the
train	NN	train
easier	RBR	easier
and	CC	and
more	RBR	more
affordable	JJ	affordable
by	IN	by
eliminating	VBG	eliminate
subsidies	NNS	subsidy
to	TO	to
airlines	NNS	airline
,	,	,
e.g.	FW	e.g.
introducing	VBG	introduce
a	DT	a
kerosene	NN	kerosene
tax	NN	tax
.	SENT	.
End	NN	end
short-haul	NN	short-haul
flights	NNS	flight
when	WRB	when
there	EX	there
is	VBZ	be
a	DT	a
competitive	JJ	competitive
train	NN	train
alternative	NN	alternative
in	IN	in
terms	NNS	term
of	IN	of
time	NN	time
and	CC	and
price	NN	price
